prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P012__trial_05,71,P012,group_01,P012__trial_05,P012__trial_05,id_like_to_know,FM-1,A,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),0.0,10.452555601736451,6.413436088052699,-0.8463528556606708,22.39562470604117,0.0,False,False,False,laplace,0.043
real_loto__P012__trial_05,71,P012,group_01,P012__trial_05,P012__trial_05,id_like_to_know,FM-1,B,id_like_to_know_pxl_s3,mix_65f41f41d3ab,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),0.0,22.89894345120212,6.270765010956963,10.69713993559125,33.73718622694126,0.156,False,False,False,laplace,0.0
real_loto__P012__trial_05,71,P012,group_01,P012__trial_05,P012__trial_05,id_like_to_know,FM-1,C,id_like_to_know_pxl_s7,mix_b393d3919c78,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),0.0,17.537095139828445,6.1853376796355715,6.883021730782023,29.20221635847747,0.017,False,False,False,laplace,0.005
real_loto__P012__trial_05,71,P012,group_01,P012__trial_05,P012__trial_05,id_like_to_know,FM-1,D,id_like_to_know_pxl_s1,mix_9ffcd672af17,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),0.0,16.18241097054262,6.413474365786738,5.098758618003446,28.95296495915233,0.003,False,False,False,laplace,0.008
real_loto__P012__trial_05,71,P012,group_01,P012__trial_05,P012__trial_05,id_like_to_know,FM-1,E,id_like_to_know_pxl_s2,mix_6f8b655d7999,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),0.0,28.02393036548742,6.434275068839686,16.858538288195632,41.03381406435424,0.824,True,True,False,laplace,0.0
