prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P027__trial_02,158,P027,group_02,P027__trial_02,P027__trial_02,in_the_meantime,FM-1,A,in_the_meantime_du_k,mix_56e65a3ce054,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),0.0,11.109859552854823,6.57060233319101,0.011131624184155697,23.894681839702287,0.0,False,False,False,laplace,0.033
real_loto__P027__trial_02,158,P027,group_02,P027__trial_02,P027__trial_02,in_the_meantime,FM-1,B,in_the_meantime_qut_pro,mix_cdaef40f2b94,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),42.0,45.793506757642184,6.375959135868354,34.10575393524282,57.97859358419821,0.008,False,False,False,laplace,0.0
real_loto__P027__trial_02,158,P027,group_02,P027__trial_02,P027__trial_02,in_the_meantime,FM-1,C,in_the_meantime_du_h,mix_302f0efe8a80,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),86.0,58.96086486613749,6.6405490836487795,46.112974062400276,71.23325177370947,0.99,True,True,False,laplace,0.0
real_loto__P027__trial_02,158,P027,group_02,P027__trial_02,P027__trial_02,in_the_meantime,FM-1,D,in_the_meantime_qut_b,mix_c7bdcba64775,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),17.0,34.4408246208694,6.522343045073364,23.755905463572095,46.989925936661905,0.0,False,False,False,laplace,0.0
real_loto__P027__trial_02,158,P027,group_02,P027__trial_02,P027__trial_02,in_the_meantime,FM-1,E,in_the_meantime_du_i,mix_9baa86357fd4,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),76.0,44.27211798060014,6.433681078587012,32.47064866897932,56.483966655283375,0.002,False,False,False,laplace,0.0
