prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P004__trial_01,19,P004,group_01,P004__trial_01,P004__trial_01,lead_me,FM-1,A,lead_me_du_d,mix_f1f7973e5bac,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),88.0,31.957468914312013,6.386003125573726,18.74813621372837,42.643578524833934,0.071,False,False,False,laplace,0.0
real_loto__P004__trial_01,19,P004,group_01,P004__trial_01,P004__trial_01,lead_me,FM-1,B,lead_me_pxl_l1,mix_d5b28dfc8a93,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),9.0,26.433473935588957,6.490651090083855,15.50083447407329,39.90606552691262,0.004,False,False,False,laplace,0.0
real_loto__P004__trial_01,19,P004,group_01,P004__trial_01,P004__trial_01,lead_me,FM-1,C,lead_me_pxl_l4,mix_c7d9a071ba25,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),15.0,28.104869303154512,6.654666297904874,16.04924436101762,40.47077854349493,0.011,False,False,False,laplace,0.0
real_loto__P004__trial_01,19,P004,group_01,P004__trial_01,P004__trial_01,lead_me,FM-1,D,lead_me_du_e,mix_271852ba8676,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),0.0,16.067697273140332,6.470237152812426,1.849419502990525,26.656666248895174,0.0,False,False,False,laplace,0.005
real_loto__P004__trial_01,19,P004,group_01,P004__trial_01,P004__trial_01,lead_me,FM-1,E,lead_me_mcg_pro2,mix_d3e3580b6e30,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),60.0,39.51625884573854,6.70098747041155,26.520178752552816,51.05055543725416,0.914,True,True,False,laplace,0.0
