prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P020__trial_02,116,P020,group_02,P020__trial_02,P020__trial_02,pouring_room,FM-1,A,pouring_room_mcg_v,mix_e08faaf8bbb3,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),63.0,70.78222697040637,6.346306185036027,59.62845041121293,82.90879655478984,0.0,False,False,False,laplace,0.0
real_loto__P020__trial_02,116,P020,group_02,P020__trial_02,P020__trial_02,pouring_room,FM-1,B,pouring_room_mcg_r,mix_0ba76f420c1d,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),53.0,88.78870559015523,6.63777742850116,77.51702149433639,102.36759862119965,0.611,True,True,False,laplace,0.055
real_loto__P020__trial_02,116,P020,group_02,P020__trial_02,P020__trial_02,pouring_room,FM-1,C,pouring_room_mcg_pro1,mix_132e75f34470,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),44.0,87.03075696277962,6.830804519812365,75.20392559863288,101.02425149557781,0.389,False,False,False,laplace,0.033
real_loto__P020__trial_02,116,P020,group_02,P020__trial_02,P020__trial_02,pouring_room,FM-1,D,pouring_room_mcg_x,mix_cbf8555ee2b2,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),40.0,70.12491499931178,6.688516722043275,58.46040187911773,82.75622267629363,0.0,False,False,False,laplace,0.0
real_loto__P020__trial_02,116,P020,group_02,P020__trial_02,P020__trial_02,pouring_room,FM-1,E,pouring_room_mcg_t,mix_be2ccd4c43ff,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),29.0,47.54465536486419,6.626496473350489,36.43784799658139,61.03577328997573,0.0,False,False,False,laplace,0.0
