prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P017__trial_04,100,P017,group_02,P017__trial_04,P017__trial_04,in_the_meantime,EDR-1,A,in_the_meantime_qut_b,mix_c7bdcba64775,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),11.0,53.41943355039471,6.34220287546454,42.27392772176027,65.68985834327287,0.0,False,False,False,laplace,0.0
real_loto__P017__trial_04,100,P017,group_02,P017__trial_04,P017__trial_04,in_the_meantime,EDR-1,B,in_the_meantime_du_k,mix_56e65a3ce054,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),0.0,30.070357043789244,6.425472029804784,18.68386913867676,42.754368408446794,0.0,False,False,False,laplace,0.0
real_loto__P017__trial_04,100,P017,group_02,P017__trial_04,P017__trial_04,in_the_meantime,EDR-1,C,in_the_meantime_du_h,mix_302f0efe8a80,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),72.0,78.11950861554351,6.508356135832114,64.7945498210115,89.15025982641004,0.983,True,True,False,laplace,0.0
real_loto__P017__trial_04,100,P017,group_02,P017__trial_04,P017__trial_04,in_the_meantime,EDR-1,D,in_the_meantime_qut_pro,mix_cdaef40f2b94,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),100.0,63.55828216344537,6.261581279224065,51.851510820353816,74.62181303346472,0.002,False,False,False,laplace,0.0
real_loto__P017__trial_04,100,P017,group_02,P017__trial_04,P017__trial_04,in_the_meantime,EDR-1,E,in_the_meantime_du_i,mix_9baa86357fd4,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),24.0,64.37906217384833,6.424595805332952,52.98410011794578,76.62228411914677,0.015,False,False,False,laplace,0.0
