prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P012__trial_06,72,P012,group_01,P012__trial_06,P012__trial_06,lead_me,FM-1,A,lead_me_pxl_l1,mix_d5b28dfc8a93,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),0.0,6.032184759443821,6.46955173555056,-6.209442215735239,17.878762597841426,0.001,False,False,False,laplace,0.186
real_loto__P012__trial_06,72,P012,group_01,P012__trial_06,P012__trial_06,lead_me,FM-1,B,lead_me_mcg_pro2,mix_d3e3580b6e30,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),0.0,19.63286515363361,6.291244035037311,7.785026375562108,30.49650829452014,0.952,True,True,False,laplace,0.0
real_loto__P012__trial_06,72,P012,group_01,P012__trial_06,P012__trial_06,lead_me,FM-1,C,lead_me_pxl_l4,mix_c7d9a071ba25,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),74.0,6.567681446828741,6.487555655864484,-5.258144591232561,18.941312394164292,0.004,False,False,False,laplace,0.148
real_loto__P012__trial_06,72,P012,group_01,P012__trial_06,P012__trial_06,lead_me,FM-1,D,lead_me_du_d,mix_f1f7973e5bac,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),82.0,10.97944929499628,6.44455744800283,-0.5377736268926698,23.463813972442864,0.043,False,False,False,laplace,0.047
real_loto__P012__trial_06,72,P012,group_01,P012__trial_06,P012__trial_06,lead_me,FM-1,E,lead_me_du_e,mix_271852ba8676,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),2.0,-3.871818959481199,6.577753364053333,-16.048019072710797,8.2627045477258,0.0,False,False,False,laplace,0.724
