prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P027__trial_03,159,P027,group_02,P027__trial_03,P027__trial_03,pouring_room,EDR-1,A,pouring_room_mcg_pro1,mix_132e75f34470,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),92.0,65.6465616407647,6.5637883882995816,53.74561648672975,77.58409859979199,0.355,False,False,False,laplace,0.0
real_loto__P027__trial_03,159,P027,group_02,P027__trial_03,P027__trial_03,pouring_room,EDR-1,B,pouring_room_mcg_x,mix_cbf8555ee2b2,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),51.0,49.68585003919288,6.327238427381178,37.34184850668361,61.101016200984276,0.0,False,False,False,laplace,0.0
real_loto__P027__trial_03,159,P027,group_02,P027__trial_03,P027__trial_03,pouring_room,EDR-1,C,pouring_room_mcg_t,mix_be2ccd4c43ff,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),40.0,27.184006995658027,6.565135786800663,14.929111852628207,39.78294163167138,0.0,False,False,False,laplace,0.0
real_loto__P027__trial_03,159,P027,group_02,P027__trial_03,P027__trial_03,pouring_room,EDR-1,D,pouring_room_mcg_r,mix_0ba76f420c1d,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),78.0,67.96634450598276,6.548950251983423,56.39864408693235,80.68540268949818,0.645,True,True,False,laplace,0.0
real_loto__P027__trial_03,159,P027,group_02,P027__trial_03,P027__trial_03,pouring_room,EDR-1,E,pouring_room_mcg_v,mix_e08faaf8bbb3,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),23.0,51.658193811782525,6.615359811815248,39.06684026681835,63.7916928004572,0.0,False,False,False,laplace,0.0
