prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P027__trial_01,157,P027,group_02,P027__trial_01,P027__trial_01,pouring_room,FM-1,A,pouring_room_mcg_pro1,mix_132e75f34470,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),85.0,63.69164034808517,6.662299879527843,50.66131432810084,75.10013670135373,0.24,False,False,False,laplace,0.0
real_loto__P027__trial_01,157,P027,group_02,P027__trial_01,P027__trial_01,pouring_room,FM-1,B,pouring_room_mcg_t,mix_be2ccd4c43ff,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),20.0,25.70393920328063,6.588311826937828,13.764919224421526,37.549383648190684,0.0,False,False,False,laplace,0.0
real_loto__P027__trial_01,157,P027,group_02,P027__trial_01,P027__trial_01,pouring_room,FM-1,C,pouring_room_mcg_r,mix_0ba76f420c1d,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),10.0,67.77053165683955,6.431795355244385,55.26506064011231,79.42031376872913,0.76,True,True,False,laplace,0.0
real_loto__P027__trial_01,157,P027,group_02,P027__trial_01,P027__trial_01,pouring_room,FM-1,D,pouring_room_mcg_v,mix_e08faaf8bbb3,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),0.0,49.91581895176022,6.323235962014125,37.828851954606755,60.86133660690898,0.0,False,False,False,laplace,0.0
real_loto__P027__trial_01,157,P027,group_02,P027__trial_01,P027__trial_01,pouring_room,FM-1,E,pouring_room_mcg_x,mix_cbf8555ee2b2,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),35.0,48.14108578011169,6.655427970475712,35.223391895069646,60.61940411801575,0.0,False,False,False,laplace,0.0
