prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P011__trial_04,64,P011,group_02,P011__trial_04,P011__trial_04,in_the_meantime,FM-1,A,in_the_meantime_du_i,mix_9baa86357fd4,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),79.0,51.911041638969564,6.370234555689648,40.87534231145843,64.57204818873909,0.008,False,False,False,laplace,0.0
real_loto__P011__trial_04,64,P011,group_02,P011__trial_04,P011__trial_04,in_the_meantime,FM-1,B,in_the_meantime_qut_b,mix_c7bdcba64775,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),0.0,40.84064521658897,6.524824204076726,27.903254490718403,51.89868487451794,0.0,False,False,False,laplace,0.0
real_loto__P011__trial_04,64,P011,group_02,P011__trial_04,P011__trial_04,in_the_meantime,FM-1,C,in_the_meantime_du_k,mix_56e65a3ce054,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),19.0,18.171246022537126,6.5257251127171765,6.87918178372049,31.791757618624175,0.0,False,False,False,laplace,0.001
real_loto__P011__trial_04,64,P011,group_02,P011__trial_04,P011__trial_04,in_the_meantime,FM-1,D,in_the_meantime_du_h,mix_302f0efe8a80,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),100.0,64.40548180034725,6.261466145533815,52.78085924946756,75.5568303771376,0.979,True,True,False,laplace,0.0
real_loto__P011__trial_04,64,P011,group_02,P011__trial_04,P011__trial_04,in_the_meantime,FM-1,E,in_the_meantime_qut_pro,mix_cdaef40f2b94,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),61.0,51.68595104757246,6.4026861344551165,39.963679383706484,62.80972645621326,0.013,False,False,False,laplace,0.0
