prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P010__trial_02,56,P010,group_01,P010__trial_02,P010__trial_02,id_like_to_know,FM-1,A,id_like_to_know_pxl_s2,mix_6f8b655d7999,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),89.0,87.31365115012443,6.159318860877808,76.1158757495592,98.81494435508688,0.8,True,True,False,laplace,0.016
real_loto__P010__trial_02,56,P010,group_01,P010__trial_02,P010__trial_02,id_like_to_know,FM-1,B,id_like_to_know_pxl_s3,mix_65f41f41d3ab,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),76.0,82.47229491286305,6.2924096823177855,71.20664845221066,94.90277352818501,0.178,False,False,False,laplace,0.002
real_loto__P010__trial_02,56,P010,group_01,P010__trial_02,P010__trial_02,id_like_to_know,FM-1,C,id_like_to_know_pxl_s1,mix_9ffcd672af17,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),100.0,75.36613342331,6.239968807611219,64.77752379222713,87.8694545693487,0.003,False,False,False,laplace,0.0
real_loto__P010__trial_02,56,P010,group_01,P010__trial_02,P010__trial_02,id_like_to_know,FM-1,D,id_like_to_know_pxl_s7,mix_b393d3919c78,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),63.0,77.3041276079484,6.391337378835599,66.16539941314316,89.40335765000877,0.019,False,False,False,laplace,0.0
real_loto__P010__trial_02,56,P010,group_01,P010__trial_02,P010__trial_02,id_like_to_know,FM-1,E,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),51.0,70.45369624586968,6.292817437457398,57.518244894544935,81.34128021331301,0.0,False,False,False,laplace,0.0
