prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P011__trial_05,65,P011,group_02,P011__trial_05,P011__trial_05,in_the_meantime,EDR-1,A,in_the_meantime_du_k,mix_56e65a3ce054,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),0.0,25.81181635819302,6.588409096194179,14.431350723670239,38.666088112031,0.0,False,False,False,laplace,0.0
real_loto__P011__trial_05,65,P011,group_02,P011__trial_05,P011__trial_05,in_the_meantime,EDR-1,B,in_the_meantime_qut_b,mix_c7bdcba64775,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),16.0,49.351010054035726,6.688192371152722,36.707170435639526,60.84513438897101,0.0,False,False,False,laplace,0.0
real_loto__P011__trial_05,65,P011,group_02,P011__trial_05,P011__trial_05,in_the_meantime,EDR-1,C,in_the_meantime_du_h,mix_302f0efe8a80,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),76.0,73.80516806979071,6.590394674862566,62.22481369157117,87.17621914404042,0.986,True,True,False,laplace,0.0
real_loto__P011__trial_05,65,P011,group_02,P011__trial_05,P011__trial_05,in_the_meantime,EDR-1,D,in_the_meantime_qut_pro,mix_cdaef40f2b94,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),55.0,60.52238067995745,6.733111596180405,47.742968197901256,72.84018500482216,0.01,False,False,False,laplace,0.0
real_loto__P011__trial_05,65,P011,group_02,P011__trial_05,P011__trial_05,in_the_meantime,EDR-1,E,in_the_meantime_du_i,mix_9baa86357fd4,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),100.0,58.47158974144671,6.867956898093173,44.48481001723327,69.7747491361545,0.004,False,False,False,laplace,0.0
