prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P023__trial_04,136,P023,group_02,P023__trial_04,P023__trial_04,pouring_room,EDR-1,A,pouring_room_mcg_r,mix_0ba76f420c1d,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),75.0,74.66345436532588,6.484831070478846,63.120051777826106,87.0164378712229,0.649,True,True,False,laplace,0.0
real_loto__P023__trial_04,136,P023,group_02,P023__trial_04,P023__trial_04,pouring_room,EDR-1,B,pouring_room_mcg_pro1,mix_132e75f34470,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),91.0,72.53015155770676,6.5525657053555495,60.49473297730358,85.04092661180867,0.351,False,False,False,laplace,0.0
real_loto__P023__trial_04,136,P023,group_02,P023__trial_04,P023__trial_04,pouring_room,EDR-1,C,pouring_room_mcg_v,mix_e08faaf8bbb3,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),100.0,56.57712988846844,6.492593406716002,43.09405764236001,67.87773025124594,0.0,False,False,False,laplace,0.0
real_loto__P023__trial_04,136,P023,group_02,P023__trial_04,P023__trial_04,pouring_room,EDR-1,D,pouring_room_mcg_t,mix_be2ccd4c43ff,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),25.0,34.584707190817966,6.389835493027211,22.6687651220072,46.11014330448327,0.0,False,False,False,laplace,0.0
real_loto__P023__trial_04,136,P023,group_02,P023__trial_04,P023__trial_04,pouring_room,EDR-1,E,pouring_room_mcg_x,mix_cbf8555ee2b2,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),12.0,57.44074591484619,6.624939583715071,44.45339617631836,69.0045531545067,0.0,False,False,False,laplace,0.0
