prediction_example_id,fold_id,participant_id,group,trial_id,target_trial_id,song_id,episode,presentation_label,stimulus_id,mix_id,baseline_model,model_label,formula,observed_rating,posterior_mean_expected_rating,posterior_expected_sd,posterior_expected_hdi_lower,posterior_expected_hdi_upper,posterior_probability_highest,is_predicted_winner,is_final_predicted_winner,is_exact_predicted_tie,fit_method,posterior_expected_draws_outside_0_100_prop
real_loto__P006__trial_06,36,P006,group_01,P006__trial_06,P006__trial_06,lead_me,FM-1,A,lead_me_du_e,mix_271852ba8676,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),33.0,39.262610673293295,6.192828971671955,27.30270690286816,50.5150151924949,0.0,False,False,False,laplace,0.0
real_loto__P006__trial_06,36,P006,group_01,P006__trial_06,P006__trial_06,lead_me,FM-1,B,lead_me_du_d,mix_f1f7973e5bac,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),60.0,56.33290554321514,6.35470507957943,43.403808794605986,66.90900289456881,0.091,False,False,False,laplace,0.0
real_loto__P006__trial_06,36,P006,group_01,P006__trial_06,P006__trial_06,lead_me,FM-1,C,lead_me_pxl_l4,mix_c7d9a071ba25,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),26.0,51.66698468732722,6.240217550441937,39.999879860435335,63.47319195814845,0.006,False,False,False,laplace,0.0
real_loto__P006__trial_06,36,P006,group_01,P006__trial_06,P006__trial_06,lead_me,FM-1,D,lead_me_pxl_l1,mix_d5b28dfc8a93,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),16.0,50.24266171685125,6.306351220604344,37.90239611196322,61.22180012577588,0.003,False,False,False,laplace,0.0
real_loto__P006__trial_06,36,P006,group_01,P006__trial_06,P006__trial_06,lead_me,FM-1,E,lead_me_mcg_pro2,mix_d3e3580b6e30,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),54.0,63.32112538898734,6.218266865070216,51.88072597613298,75.20698413110485,0.9,True,True,False,laplace,0.0
