artist,song,original_dataset_filename,original_mix_name,mix_id,bark_pc_01,bark_pc_02,bark_pc_03,bark_pc_04,bark_pc_05,bark_pc_06,bark_pc_07,bark_pc_08,bark_pc_09,bark_pc_10,bark_pc_11,bark_pc_12,bark_pc_13,bark_pc_14,bark_pc_15,bark_pc_16,bark_pc_17,bark_pc_18,bark_pc_19,bark_pc_20,bark_pc_21,bark_pc_22,bark_pc_23,bark_pc_24,bark_pc_25,bark_pc_26,bark_pc_27,bark_pc_28,bark_pc_29,bark_pc_30,bark_pc_31,bark_pc_32,bark_pc_33,bark_pc_34,bark_pc_35,bark_pc_36,bark_pc_37
Broken Crank,Red To Blue,McG-C.mp3,McG-C,mix_5143d2ee3859,2.78432436152,-2.55600295944,-0.401645372593,-7.06254098292,0.918334623552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Crank,Red To Blue,McG-H.mp3,McG-H,mix_5b76bf1a027d,5.5369760599,3.1028867596,-6.86789074967,-0.574337934992,-1.82359927232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Crank,Red To Blue,McG-B.mp3,McG-B,mix_7ac13e0b6376,2.35227224571,-0.940673640755,1.66427456929,2.10575755079,3.93630158122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Crank,Red To Blue,McG-pro1.mp3,McG-pro1,mix_808780e357c9,-10.5267561407,-2.53663786758,-2.25005335061,0.577241667266,-0.517422270601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Crank,Red To Blue,McG-D.mp3,McG-D,mix_8978729ff911,2.64783653651,-9.12051075317,7.57657175914,0.441544057053,-1.7026156302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Crank,Red To Blue,McG-pro.mp3,McG-pro,mix_906e7f7daf44,-10.5267561407,-2.53663786758,-2.25005335061,0.577241667266,-0.517422270601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Crank,Red To Blue,McG-G.mp3,McG-G,mix_b4b312ffa4d6,-3.60117805381,13.4622863153,5.9065854678,-0.821536898326,-0.26407560015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Crank,Red To Blue,McG-F.mp3,McG-F,mix_dcc6aef84d67,7.83464883214,1.50026282743,-0.0940139731595,2.64591578784,-1.85338653895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Crank,Red To Blue,McG-A.mp3,McG-A,mix_e2654ec905ad,0.588205099023,-0.3060542345,0.274649910767,0.411843024432,-0.0676449707499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Crank,Red To Blue,McG-E.mp3,McG-E,mix_f4f9bdec5b71,2.91042720033,-0.0689185793525,-3.55842491035,1.69887206159,1.8915303488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,McG-pro.mp3,McG-pro,mix_027ec3f8b8f1,1.74281947922,3.77317241261,-2.52821892629,0.669878608544,1.38319208868,-0.196005680159,-1.0772933289,-0.247676613868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,QUT-A.mp3,QUT-A,mix_13f0eed08780,0.954966150976,-2.68791954549,3.11635856214,-1.02535079528,0.209201301367,0.808966096561,-1.21879093358,-0.203757945361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,McG-C.mp3,McG-C,mix_145577f61939,-0.325486413531,-2.21243882981,-0.099462978068,-1.84992211999,0.867041083059,-1.31947414868,-1.14315965898,0.3255646535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,UCP-A2.mp3,UCP-A2,mix_20a1372ac49d,0.0440467311202,1.46118328678,-0.612743095521,-0.220474901643,1.04496577643,2.53402130832,-0.660321252422,-1.28877959988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,DU-J.mp3,DU-J,mix_22efc79c8253,5.06740163172,-1.58843911585,2.92006821994,1.79988099838,0.539971355357,-0.623553557982,-0.53287047938,-0.259787775314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,DU-N.mp3,DU-N,mix_29131e66c9d7,-3.26653730994,-3.26308454338,-1.96963325828,-2.75609076506,0.572911641313,-2.02210169047,1.53974587915,-2.33306836391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,PXL-S2.mp3,PXL-S2,mix_2d589c003982,-0.105428460218,0.398529955525,-2.53730193335,1.71305818147,0.515554441894,-1.15736389395,0.174373523186,1.15564093627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,PXL-S1.mp3,PXL-S1,mix_2eae3034bad8,-0.916204409959,-1.14893014692,-0.999880273304,1.34901490428,0.723804746768,0.2664913946,1.80436397052,-0.100278183414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,QUT-I.mp3,QUT-I,mix_2f518e7b8633,2.41918594136,2.72983106936,-0.885531608044,0.683581465283,-1.72191139383,-0.844191993146,0.201772948761,0.648420518659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,DU-H.mp3,DU-H,mix_302f0efe8a80,-0.470008352134,-8.30219718694,-3.14165766977,-1.76758400865,0.375202106131,-1.10761119157,-1.49264832038,0.731005556238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,UCP-A1.mp3,UCP-A1,mix_3042da8a2eb5,-0.733096564599,-0.312591467441,-1.97005853597,-0.444294915042,1.63778577151,2.81666426399,-0.0382038463263,-0.769453222572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,PXL-S7.mp3,PXL-S7,mix_526612c31256,1.22442039954,-0.435817489654,-1.2815312521,-0.888422893601,-1.31537082514,1.34836302198,0.857533887923,0.994565470364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,McG-B.mp3,McG-B,mix_5383540067d5,3.58929965642,2.1449547406,2.01999316935,-0.0859131950853,0.1454090907,-1.02930497217,-0.534016175073,0.195514321081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredy V,In The Meantime,PXL-S5.mp3,PXL-S5,mix_54ac02ce9456,2.0177271415,-6.36650638764,0.262788937962,-1.06002535868,-0.512507413552,0.374306538207,0.541175937541,0.140671196339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
