artist,song,triplet_id,mix_1,mix_1_original_name,mix_2,mix_2_original_name,mix_3,mix_3_original_name,institution_1,institution_2,institution_3,unique_institution_count,contains_medoid,pairwise_distance_1,pairwise_distance_2,pairwise_distance_3,minimum_pairwise_distance,mean_pairwise_distance,maximum_pairwise_distance,scalar_only_minimum_distance,bark_only_minimum_distance,rms_excluded_minimum_distance,manhattan_minimum_distance,average_distance_to_song_centre,maximum_distance_to_song_centre,average_robust_outlier_score,maximum_robust_outlier_score,QC_warning_count,near_duplicate_flag,algorithm_eligibility,technical_rejection_reason
Broken Crank,Red To Blue,RedToBlue_00013,mix_5143d2ee3859,McG-C,mix_7ac13e0b6376,McG-B,mix_dcc6aef84d67,McG-F,McG,McG,McG,1,false,2.06563673812,2.29145238994,2.19763346655,2.06563673812,2.18490753154,2.29145238994,1.78055723458,0.893138671612,2.03267914361,4.74491747996,1.67033201412,2.08595068362,4.58116135462,6.00669682645,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00014,mix_5143d2ee3859,McG-C,mix_7ac13e0b6376,McG-B,mix_e2654ec905ad,McG-A,McG,McG,McG,1,true,2.06563673812,1.00898468726,1.90107445204,1.00898468726,1.65856529248,2.06563673812,0.532087467187,0.516083401683,1.019310206,2.3418843711,1.16282497608,1.99749017687,3.19971965049,6.00669682645,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00015,mix_5143d2ee3859,McG-C,mix_7ac13e0b6376,McG-B,mix_f4f9bdec5b71,McG-E,McG,McG,McG,1,false,2.06563673812,1.25996809174,2.45529832948,1.25996809174,1.92696771978,2.45529832948,0.748701587112,0.598052092962,1.24884822148,2.74179541803,1.24266786035,1.99749017687,3.70955635651,6.00669682645,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00016,mix_5143d2ee3859,McG-C,mix_808780e357c9,McG-pro1,mix_8978729ff911,McG-D,McG,McG,McG,1,false,1.87732310177,1.39849329802,2.04203337214,1.39849329802,1.77261659064,2.04203337214,0.310916264483,1.36349352074,1.38990397347,3.19417682608,1.18731951106,1.32797891013,2.99353700617,3.82323845602,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00017,mix_5143d2ee3859,McG-C,mix_808780e357c9,McG-pro1,mix_906e7f7daf44,McG-pro,McG,McG,McG,1,false,1.87732310177,1.87732310177,1.68830575362e-16,1.68830575362e-16,1.25154873451,1.87732310177,0,1.68830575362e-16,1.68830575362e-16,1.94289029309e-16,1.19450433405,1.32797891013,3.34452628202,3.82323845602,1,true,false,near_duplicate_pair
Broken Crank,Red To Blue,RedToBlue_00018,mix_5143d2ee3859,McG-C,mix_808780e357c9,McG-pro1,mix_b4b312ffa4d6,McG-G,McG,McG,McG,1,false,1.87732310177,2.13841161776,2.10439877562,1.87732310177,2.04004449838,2.13841161776,0.594739306367,1.62381021644,1.73544877502,4.1951575468,1.29528272597,1.6303140859,3.38534434086,3.94569263256,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00019,mix_5143d2ee3859,McG-C,mix_808780e357c9,McG-pro1,mix_dcc6aef84d67,McG-F,McG,McG,McG,1,false,1.87732310177,2.29145238994,3.00983848936,1.87732310177,2.39287132702,3.00983848936,0.942115921431,1.2550664744,1.73544877502,4.1951575468,1.44716159188,2.08595068362,3.85334189781,5.3496853034,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00020,mix_5143d2ee3859,McG-C,mix_808780e357c9,McG-pro1,mix_e2654ec905ad,McG-A,McG,McG,McG,1,true,1.87732310177,1.00898468726,1.50858652104,1.00898468726,1.46496477002,1.87732310177,0.532087467187,0.857282349283,1.019310206,2.3418843711,0.939654553835,1.32797891013,2.47190019368,3.82323845602,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00021,mix_5143d2ee3859,McG-C,mix_808780e357c9,McG-pro1,mix_f4f9bdec5b71,McG-E,McG,McG,McG,1,false,1.87732310177,1.25996809174,1.67457596096,1.25996809174,1.60395571816,1.87732310177,0.748701587112,1.0133930756,1.24884822148,2.74179541803,1.0194974381,1.32797891013,2.9817368997,3.82323845602,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00022,mix_5143d2ee3859,McG-C,mix_8978729ff911,McG-D,mix_906e7f7daf44,McG-pro,McG,McG,McG,1,false,1.39849329802,1.87732310177,2.04203337214,1.39849329802,1.77261659064,2.04203337214,0.310916264483,1.36349352074,1.38990397347,3.19417682608,1.18731951106,1.32797891013,2.99353700617,3.82323845602,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00023,mix_5143d2ee3859,McG-C,mix_8978729ff911,McG-D,mix_b4b312ffa4d6,McG-G,McG,McG,McG,1,false,1.39849329802,2.13841161776,2.53529929995,1.39849329802,2.02406807191,2.53529929995,0.310916264483,1.36349352074,1.38990397347,3.19417682608,1.28809790298,1.6303140859,3.03435506502,3.94569263256,1,false,true,
Broken Crank,Red To Blue,RedToBlue_00024,mix_5143d2ee3859,McG-C,mix_8978729ff911,McG-D,mix_dcc6aef84d67,McG-F,McG,McG,McG,1,false,1.39849329802,2.29145238994,2.42683208672,1.39849329802,2.03892592489,2.42683208672,0.310916264483,1.2550664744,1.38990397347,3.19417682608,1.43997676889,2.08595068362,3.50235262196,5.3496853034,1,false,true,
