artist,song,method,original_mix_names,mix_ids,contains_medoid,minimum_pairwise_distance,mean_pairwise_distance,maximum_pairwise_distance,unique_institution_count
The DoneFors,Lead Me,D_institution_aware_representative_plus_contrasts,McG-A|PXL-L1|DU-D,mix_9346b5d4ade2|mix_d5b28dfc8a93|mix_f1f7973e5bac,true,2.5765061173,2.85864759339,3.09351018348,3
The DoneFors,Lead Me,sensitivity_primary_combined,McG-A|PXL-L1|DU-D,mix_9346b5d4ade2|mix_d5b28dfc8a93|mix_f1f7973e5bac,true,2.5765061173,2.85864759339,3.09351018348,3
The DoneFors,Lead Me,sensitivity_rms_excluded,McG-A|PXL-L1|DU-D,mix_9346b5d4ade2|mix_d5b28dfc8a93|mix_f1f7973e5bac,true,2.5765061173,2.85864759339,3.09351018348,3
The DoneFors,Lead Me,sensitivity_scalar_only,DU-F|QUT-A|McG-pro2,mix_3a41a8db47bc|mix_864280f1b98b|mix_d3e3580b6e30,false,2.47559816518,2.5896908555,2.75081380926,3
The DoneFors,Lead Me,sensitivity_bark_only,McG-A|PXL-L1|DU-D,mix_9346b5d4ade2|mix_d5b28dfc8a93|mix_f1f7973e5bac,true,2.5765061173,2.85864759339,3.09351018348,3
The DoneFors,Lead Me,sensitivity_manhattan,McG-A|PXL-L4|DU-D,mix_9346b5d4ade2|mix_c7d9a071ba25|mix_f1f7973e5bac,true,2.09949637658,2.56835881644,2.90592647939,3
The DoneFors,Lead Me,sensitivity_equal_dimension_weighting,McG-A|PXL-L1|DU-D,mix_9346b5d4ade2|mix_d5b28dfc8a93|mix_f1f7973e5bac,true,2.5765061173,2.85864759339,3.09351018348,3
The DoneFors,Lead Me,sensitivity_paper_weight_inspired_secondary,DU-E|McG-A|PXL-L1,mix_271852ba8676|mix_9346b5d4ade2|mix_d5b28dfc8a93,true,2.26364515753,2.55622867987,2.82853476479,3
The DoneFors,Pouring Room,A_representative_plus_maximum_contrasts,McG-Q|McG-pro1|McG-X,mix_0ddb25d6180b|mix_132e75f34470|mix_cbf8555ee2b2,true,1.91632161813,2.01213224466,2.16557128399,1
The DoneFors,Pouring Room,B_unconstrained_maximum_dispersion,McG-U|McG-pro|McG-T,mix_37681ed84b6b|mix_9f79c0810c7e|mix_be2ccd4c43ff,false,2.09494644986,2.40039694177,2.6415347095,1
The DoneFors,Pouring Room,C_exact_k_medoids_k3,McG-Q|McG-pro1|McG-X,mix_0ddb25d6180b|mix_132e75f34470|mix_cbf8555ee2b2,true,1.91632161813,2.01213224466,2.16557128399,1
The DoneFors,Pouring Room,D_institution_aware_representative_plus_contrasts,McG-Q|McG-pro1|McG-X,mix_0ddb25d6180b|mix_132e75f34470|mix_cbf8555ee2b2,true,1.91632161813,2.01213224466,2.16557128399,1
The DoneFors,Pouring Room,sensitivity_primary_combined,McG-Q|McG-pro1|McG-X,mix_0ddb25d6180b|mix_132e75f34470|mix_cbf8555ee2b2,true,1.91632161813,2.01213224466,2.16557128399,1
The DoneFors,Pouring Room,sensitivity_rms_excluded,McG-R|McG-Q|McG-X,mix_0ba76f420c1d|mix_0ddb25d6180b|mix_cbf8555ee2b2,true,1.68073488725,2.21401976732,3.00682058284,1
The DoneFors,Pouring Room,sensitivity_scalar_only,McG-pro1|McG-W|McG-T,mix_132e75f34470|mix_786fc67a9418|mix_be2ccd4c43ff,false,2.00180859564,2.32247319763,2.50090133128,1
The DoneFors,Pouring Room,sensitivity_bark_only,McG-Q|McG-T|McG-X,mix_0ddb25d6180b|mix_be2ccd4c43ff|mix_cbf8555ee2b2,true,1.75348855756,1.8381488708,1.95450383185,1
The DoneFors,Pouring Room,sensitivity_manhattan,McG-Q|McG-T|McG-X,mix_0ddb25d6180b|mix_be2ccd4c43ff|mix_cbf8555ee2b2,true,1.75348855756,1.8381488708,1.95450383185,1
The DoneFors,Pouring Room,sensitivity_equal_dimension_weighting,McG-Q|McG-T|McG-X,mix_0ddb25d6180b|mix_be2ccd4c43ff|mix_cbf8555ee2b2,true,1.75348855756,1.8381488708,1.95450383185,1
The DoneFors,Pouring Room,sensitivity_paper_weight_inspired_secondary,McG-Q|McG-pro1|McG-X,mix_0ddb25d6180b|mix_132e75f34470|mix_cbf8555ee2b2,true,1.91632161813,2.01213224466,2.16557128399,1
