song,condition,mixes,automatic_pass,waveform_checked,rapid_switch_checked,audible_alignment_issue,alignment_accept,reviewer,date,comments
I'd Like To Know,Similar Ratings,PXL-S3|PXL-S5|PXL-S1,true,,,,,,,
I'd Like To Know,Wide Ratings,PXL-S2|PXL-S6|PXL-S7,true,,,,,,,
New Skin,Similar Ratings,DU-Q|DU-R|DU-O,true,,,,,,,
New Skin,Wide Ratings,DU-U|DU-T|DU-S,false,,,,,,,
No Prize,Similar Ratings,McG-L|McG-pro2|McG-N,false,,,,,,,
No Prize,Wide Ratings,McG-K|McG-P|McG-O,false,,,,,,,
Vermont,Similar Ratings,DU-P2|DU-O2|PXL-L3,false,,,,,,,
Vermont,Wide Ratings,PXL-L1|PXL-L4|PXL-L5,true,,,,,,,
