artist,song,six_mix_order,automatic_status,maximum_offset_ms,waveform_checked,rapid_switch_checked,audible_timing_jump,timing_drift,alignment_acceptable,reviewer,review_date,comments
The DoneFors,Lead Me,DU-D|DU-E|QUT-F|PXL-L1|PXL-L4|McG-pro2,FAIL,46.4399092971,,,,,,,,
Fredy V,In The Meantime,QUT-B|DU-H|DU-I|DU-K|QUT-pro|DU-N,FAIL,34.8299319728,,,,,,,,
Broken Crank,Red To Blue,McG-B|McG-G|McG-F|McG-C|McG-H|McG-pro1,REVIEW,11.6099773243,,,,,,,,
The DoneFors,Pouring Room,McG-R|McG-T|McG-X|McG-pro1|McG-U|McG-V,FAIL,58.0498866213,,,,,,,,
