method_key,model_key,model_label,condition,candidate_denominator,trial_denominator,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high,correlation,ci_method
gpt__non_history,gpt,GPT-5.5,non_history,990,198,29.767676767676768,27.17070707070707,32.31818181818182,35.74333306486482,32.91251028611056,38.45262072218278,0.032751907597588614,participant_bootstrap_percentile_95
gpt__personalised_history,gpt,GPT-5.5,personalised_history,990,198,21.747474747474747,18.84141414141414,24.56161616161616,30.224680529847014,26.89947616928289,33.353630184204036,0.5052625100323258,participant_bootstrap_percentile_95
claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,990,198,29.902020202020203,27.34747474747475,32.398989898989896,35.25899842163656,32.582684253009496,37.71287056245661,-0.05110299894406394,participant_bootstrap_percentile_95
claude_sonnet__personalised_history,claude_sonnet,Claude Sonnet 5,personalised_history,990,198,24.472727272727273,21.663636363636364,26.988888888888887,31.72705565611251,28.87174705101473,34.30855239844386,0.3773751190898764,participant_bootstrap_percentile_95
llama_3_1_70b_instruct__non_history,llama_3_1_70b_instruct,Llama 3.1 70B Instruct,non_history,990,198,30.43151515151515,28.058282828282827,32.95232323232323,36.56279253530558,33.89329989507923,39.25534474322052,0.02000360568480216,participant_bootstrap_percentile_95
llama_3_1_70b_instruct__personalised_history,llama_3_1_70b_instruct,Llama 3.1 70B Instruct,personalised_history,990,198,29.56222222222222,27.115757575757577,32.055757575757575,35.50268733604272,32.85089977704745,38.042440414979595,0.09672563829805893,participant_bootstrap_percentile_95
centaur__non_history,centaur,Centaur,non_history,0,198,,,,,,,,not_applicable_native_likelihood_no_0_100_ratings
centaur__personalised_history,centaur,Centaur,personalised_history,0,198,,,,,,,,not_applicable_native_likelihood_no_0_100_ratings
mixed_effects_primary_acoustic,mixed_effects_primary_acoustic,Mixed-effects primary acoustic,baseline,990,198,23.001028394865997,20.929041743825476,25.29028747482296,27.591188212475792,25.28628629655529,30.13535236227082,0.5035348273512485,participant_bootstrap_percentile_95
