mix,role,start_seconds,end_seconds,rms_mean,crest_factor_mean,stereo_width,stereo_imbalance,side_mid_db,bark_mid_01,bark_side_01,bark_mid_02,bark_side_02,bark_mid_03,bark_side_03,bark_mid_04,bark_side_04,bark_mid_05,bark_side_05,bark_mid_06,bark_side_06,bark_mid_07,bark_side_07,bark_mid_08,bark_side_08,bark_mid_09,bark_side_09,bark_mid_10,bark_side_10,bark_mid_11,bark_side_11,bark_mid_12,bark_side_12,bark_mid_13,bark_side_13,bark_mid_14,bark_side_14,bark_mid_15,bark_side_15,bark_mid_16,bark_side_16,bark_mid_17,bark_side_17,bark_mid_18,bark_side_18,bark_mid_19,bark_side_19,bark_mid_20,bark_side_20,bark_mid_21,bark_side_21,bark_mid_22,bark_side_22,bark_mid_23,bark_side_23,bark_mid_24,bark_side_24,pc1,pc2
DU-H,reference,50,56,0.06981814653,18.00104983,0.03435121849,0.03534353897,-14.6405784,6.759516188,4.666851068,6.283041422,4.099940715,5.730126708,4.148010861,5.223663377,3.917687484,4.989093423,3.652540273,4.859635801,4.155648955,4.920272268,4.434511045,4.782864008,4.242503635,5.008740747,4.346515755,4.959481129,4.505776794,4.896127627,4.165248509,4.673904236,3.997068763,4.483039933,3.765528461,4.531217782,3.812449859,4.547726855,3.761289456,4.801016115,3.841286847,5.09882716,4.053998605,5.135671877,4.295327627,5.547583589,4.682633559,5.554622168,4.549211679,5.64246389,4.56363741,5.787749031,4.66746351,5.784298098,4.573616616,4.260956613,2.625276458,0.2155016653,-0.5218668791
DU-H,reference,54,60,0.0681316033,18.19378567,0.04158461839,0.03484167159,-13.81067261,6.688534585,4.673944821,6.298956571,4.072643399,5.749757357,4.043326674,5.219551135,3.900953822,5.192531674,4.133491148,5.068198565,4.311896312,4.972801514,4.349237651,4.915216722,4.440702903,5.255109585,4.89392817,4.876021973,4.269891179,4.71666251,4.208179545,4.495424153,4.045859822,4.421151418,4.053735779,4.545531349,4.044978451,4.579411167,3.945701179,4.622713161,3.954689706,4.976109313,4.217948221,5.090427938,4.457827074,5.50082556,4.694287986,5.541236879,4.695308023,5.645634061,4.628886045,5.895347442,4.698740372,5.772868943,4.504114496,4.094314103,2.53863375,0.2381336581,-0.4243498267
DU-H,reference,58,64,0.06765982509,18.25413977,0.04279348627,0.03727068752,-13.68622296,6.650910692,4.676626418,6.113425789,3.964192026,5.571360662,3.964661478,5.176409318,3.974229191,5.172863483,3.971739215,4.956054623,4.139310452,4.822356283,4.391114955,5.006039101,4.564301917,5.182209557,4.796068153,5.088555068,4.542362273,4.803675222,4.173928205,4.52327657,3.93509265,4.363706368,3.806167379,4.368204868,3.742684863,4.456003839,3.713652726,4.494892296,3.732557515,4.933142905,3.902438357,5.048235187,4.166169043,5.384105604,4.462180172,5.512106297,4.388482467,5.66745989,4.446090351,5.943806266,4.657716792,5.846825583,4.530759896,4.237553467,2.618544403,0.1123571723,-0.4366624279
DU-H,reference,62,68,0.06422198564,17.46606803,0.03607500717,0.03451439366,-14.4279362,6.607579111,4.613674276,6.097809263,3.968831872,5.559443912,3.891547727,5.132878106,3.837149385,5.093119035,3.609909847,4.865689491,4.013634731,4.589874106,4.205091135,4.694097547,4.108466996,4.770924965,4.106551517,4.897711007,4.389639326,4.669774361,3.843462901,4.56493503,3.756045334,4.466270831,3.610327389,4.383393642,3.595526895,4.453061601,3.61673851,4.417596566,3.628279871,4.963349493,3.805705521,5.13358038,4.149890541,5.518737325,4.406504339,5.638343442,4.339599162,5.669530797,4.406307069,5.803878706,4.591490624,5.769855322,4.477688762,4.222801699,2.619764373,-0.1211170113,-0.5260093972
DU-I,candidate,10,16,0.04969459027,25.22532909,0.08940494806,-0.08696118742,,6.069396375,3.558834027,5.949562912,4.564660074,5.576048243,4.353771484,5.530454269,4.458929831,5.281237326,4.161532291,4.769734299,3.755379614,4.589006982,3.720939932,4.352204616,3.74760053,4.446441,4.181825604,4.5684673,3.84263608,4.63328959,4.015478913,4.582684785,3.891874464,4.904239454,4.224440815,4.997911613,4.122129446,5.03509725,4.34285759,5.146052281,4.290966535,5.517441152,4.569572535,5.713793871,4.643582586,6.1290403,4.961594523,6.253679518,4.839352638,6.406818343,5.181738084,6.522471274,5.571809343,6.561797967,5.735962322,5.142450259,4.344310592,-0.2059442327,0.9203273383
DU-J,candidate,10,16,0.04969459027,20.57517301,0.2258814871,0.6061226726,,5.990567177,5.072936357,5.981535293,5.289057532,5.749526474,5.072719988,5.588139034,4.756655225,5.278932885,4.448923238,4.950151077,4.186543352,4.934813455,4.21071334,4.730285168,4.093378954,4.744800552,4.382324556,4.776276989,4.115414284,4.862790502,4.227091707,4.738824788,4.057059174,4.897442695,4.299476615,4.894030366,4.178078682,4.740788609,4.165817646,4.73748761,4.109001917,5.015429747,4.339778985,5.150674443,4.481994108,5.4546626,4.801529666,5.542551406,4.850025764,5.637023412,4.980257258,5.508964137,5.002401099,5.333865013,4.956112506,3.680207577,3.316787054,-0.01013153209,0.9951031264
DU-K,candidate,10,16,0.04969458655,23.49591386,0.1680529565,0.01630482823,,5.825656373,4.887853402,5.764109994,4.815777864,5.647535811,4.105485889,5.292779733,3.840411163,4.818045974,3.316001221,4.495947371,2.688305284,4.428272346,2.843630257,4.208155868,3.165216359,4.529080948,2.645410827,4.202749274,3.011569733,4.278869944,3.220337754,4.086785198,2.845759628,4.439806132,3.011628673,4.32286062,3.32665047,4.49392622,3.318941629,4.495645109,3.588405754,4.791485611,3.922804272,4.883444628,3.87038724,5.164065169,4.065336669,5.180780646,3.694509194,5.152236905,3.71449901,4.867313752,3.341850395,4.429664794,1.963763871,2.68593458,-0.6026304229,-0.9711434171,1.054356755
DU-L,candidate,10,16,0.04969458655,20.38602509,0.02051261254,-0.01426153257,,6.064976505,1.181105538,5.634388936,2.084955965,5.46035847,2.61775104,5.431936211,2.839249665,5.169487639,2.86075582,4.791262974,2.820779579,4.757205446,2.80423657,4.598582959,2.921939907,4.786727099,3.423161989,4.880272401,3.063130925,4.945545942,3.347154456,4.841815634,3.177893435,5.112413233,3.697289727,5.162861811,3.555282713,5.137586795,3.880849912,5.200089357,3.827985071,5.494812288,4.038098524,5.66298815,4.154089513,6.046666432,4.612116896,6.140889954,4.507033667,6.355431044,4.941612542,6.543949984,5.343204464,6.633287891,5.645985826,5.229132204,4.158402716,-0.6127014465,-0.1756703457
DU-M,candidate,10,16,0.04969458655,19.51303435,0.063953951,-0.007017062511,,6.172179805,2.666492254,6.0127871,4.004833685,5.69325377,4.09781733,5.587481764,3.917971706,5.252492254,3.659486315,4.877590226,3.511752372,4.818691849,3.604055608,4.60607405,3.661723155,4.618456231,4.133126576,4.714313301,3.648342973,4.845085185,3.779031659,4.660934253,3.520121573,4.794966238,3.832767387,4.813724427,3.576602364,4.699923192,3.855465856,4.705511204,3.699941541,5.046979597,3.844146955,5.233725842,3.937721904,5.566928366,4.255841391,5.631981299,4.164508688,5.819710692,4.258492303,5.994723797,4.465969374,6.045505387,4.4634366,4.607628864,2.606702315,-0.5210831301,0.002908443919
DU-N,candidate,10,16,0.04969459027,17.65618055,0.01387732755,-0.01385795977,,6.244436886,2.115328107,6.134063138,3.632281772,5.543272216,3.956368002,4.953695841,3.832485871,4.784260637,3.322822347,4.832809045,3.057383193,4.756843125,3.140836702,4.32958674,3.073911906,4.534191421,3.145791243,4.730793611,3.118668673,4.561081457,3.155707842,4.515573667,3.104997193,4.585561677,3.422125866,4.617773312,3.257713118,4.635068217,3.016994976,4.760203642,2.940444208,5.016217368,3.086682642,5.119193387,3.178244082,5.555226941,3.312107408,5.669272965,3.18574172,5.977399682,3.119223959,6.276327402,2.427046159,6.345497856,1.409258053,4.939668422,-0.7949904839,-0.9919461466,-0.5548284109
PXL-S6,candidate,10,16,0.04969459027,18.80767352,0.02924863435,-0.006185508799,,6.308900222,3.089832034,5.904025339,4.223341499,5.461191977,4.058991678,5.28795892,3.971977078,5.015007174,3.747261864,4.610451532,3.480683276,4.487477265,3.360634655,4.283035781,3.049094741,4.461621809,3.400536488,4.410806869,3.342795701,4.465802612,3.516220135,4.341345871,3.328813341,4.5996273,3.446395863,4.636410449,3.515056453,4.67649975,3.687573184,4.771020404,3.632503694,5.191085663,4.021338429,5.390750422,4.32153616,5.699410674,4.702951027,5.709484504,4.60655976,5.731697281,4.842340441,5.705291583,5.185211514,5.69529796,5.299423048,4.19846468,3.804647902,-0.687829639,-0.1740953493
UCP-A1,candidate,10,16,0.04969459027,20.58716676,0.02194389887,-0.0009238547063,,6.262696847,2.664880052,6.126152462,3.614364661,5.73891391,3.492809603,5.706224707,3.507472089,5.132962908,3.361049026,4.644934718,3.204903401,4.607069893,3.12039811,4.460849213,3.090601729,4.520760203,3.386245661,4.539622892,3.441944893,4.72389536,3.74655668,4.655342214,3.428016595,4.812092169,3.565574178,4.805962508,3.718619026,4.794976032,3.928775761,4.740892825,3.776758823,5.05901379,4.082077639,5.263139815,4.361124155,5.530057181,4.670636643,5.566026136,4.503056527,5.67734297,4.752961021,5.789245223,5.055276761,5.892640515,5.161546626,4.458019873,3.661092032,-0.6586750682,-0.03359327273
UCP-A2,candidate,10,16,0.04969459027,21.47651654,0.02935634553,0.004172855522,,6.208070699,2.375747965,5.995922871,3.682211061,5.705518479,3.65605843,5.646450596,3.616997775,5.18531899,3.545955988,4.784190934,3.431636388,4.691961154,3.357958527,4.496715002,3.276167186,4.698118309,3.570682803,4.741375221,3.630344714,4.857159612,3.918392413,4.799268151,3.616333256,4.974479977,3.738633119,4.95367294,3.837534532,4.906614559,4.065031098,4.870853356,3.96219707,5.171725331,4.221736708,5.405633256,4.499012463,5.687033924,4.807272843,5.729468845,4.641630602,5.799296272,4.914511487,5.871825996,5.195393189,5.944898809,5.33659841,4.450001808,3.864666779,-0.5075636555,0.1184221908
McG-A,candidate,10,16,0.04969458655,16.54331151,0.02124067955,0.0133663835,,6.276329835,3.244280287,5.783494607,3.932440046,5.515660076,3.825895273,5.358165572,3.69696329,4.998101715,3.703089936,4.74516725,3.494560131,4.798530788,3.577432788,4.574286629,3.262980171,4.795471371,3.579585049,4.769367881,3.458347982,4.93948313,3.611535917,4.792802908,3.473722441,4.957705319,3.615510607,4.931165969,3.551379128,4.775978198,3.456285308,4.684499722,3.364698871,5.00473048,3.570697561,5.154845029,3.813306575,5.398224684,4.02505965,5.414401093,4.029712056,5.428272987,4.193906227,5.332071322,4.336103857,5.342614196,4.497479742,4.651966933,3.95959578,-0.7005610103,-0.5634939878
McG-C,candidate,10,16,0.04969458655,18.27168738,0.03844866902,-0.01357017085,,6.278562767,2.463025261,5.923759972,4.085185946,5.488123161,4.049177477,5.167734993,3.47530803,4.861323514,3.302409375,4.570781525,2.957357742,4.523033604,3.051337607,4.272479382,2.923871238,4.469475604,3.273097869,4.49985101,2.951222408,4.60570455,3.210278705,4.552791978,3.058417624,4.734498804,3.326564205,4.729996976,3.212698245,4.622125724,3.435160804,4.516522433,3.359120098,4.796445994,3.548110582,5.031007468,3.72138305,5.465667473,3.992848015,5.604971053,4.132258517,5.694900559,4.388705029,5.576224377,4.719019307,5.558978221,4.975215453,4.807181563,4.391215667,-0.8856280317,-0.2853360358
McG-H,candidate,10,16,0.04969459027,22.34687092,0.0250248313,-0.02650607005,,6.20862908,3.183138728,5.974553952,3.881077169,5.53587389,3.729974663,5.31556536,3.48440694,5.081519348,3.401459024,4.704650826,3.210263051,4.650727807,3.188336647,4.573519901,3.012113697,4.68288559,3.379155461,4.660182452,3.354174875,4.745928095,3.569697003,4.677687807,3.41422253,4.872725574,3.540991888,4.916202235,3.552576079,4.894293249,3.764312914,4.905329156,3.703335713,5.302129406,4.005482065,5.53040202,4.277590478,5.933006779,4.642915679,6.034004954,4.707571999,6.147862816,5.039044338,6.162578383,5.44280141,6.238823227,5.775401254,5.646864606,5.125365465,-0.6020890155,0.1758043438
DU-I,candidate,14,20,0.04828307778,25.43785834,0.0930397585,-0.08593214303,,6.102845556,3.54752736,5.87477596,4.495610183,5.449601921,4.331142653,5.40142328,4.321964244,5.30690077,4.119538329,4.761971221,3.736058749,4.449623,3.696356056,4.319987602,3.748063859,4.508985196,4.122594971,4.674317988,3.977375571,4.641112647,3.976344003,4.466700109,3.793005996,4.726122903,4.124312346,4.899647226,4.045166461,5.088806833,4.278033217,5.148606336,4.304117957,5.452185099,4.617117904,5.558440066,4.6876699,5.960255237,4.994916354,6.001537894,4.836334221,6.287367457,5.267772415,6.465382294,5.637202402,6.581346365,5.850018041,5.201002013,4.495767451,-0.3086557,0.9732239185
DU-J,candidate,14,20,0.04828308895,21.58270402,0.2252229303,0.6100821495,,6.01156543,5.096062978,5.934894709,5.230313623,5.608175794,4.964044031,5.2568854,4.504332953,5.162241682,4.334902798,4.9102622,4.16416843,4.426569683,3.971862529,4.475914113,3.968123907,4.754154099,4.372757475,4.925863235,4.260101902,4.889019094,4.238422557,4.601582073,3.960471818,4.656595493,4.157558395,4.81988016,4.127759315,4.923530697,4.234616262,4.795483419,4.166759036,5.069337377,4.418754068,5.059371996,4.452084222,5.311927196,4.742431069,5.266950378,4.71486863,5.473441626,4.906371363,5.355207253,4.95769552,5.262314485,4.935543551,3.655455826,3.320726558,-0.1696280798,1.127904563
DU-K,candidate,14,20,0.04828308523,24.29402858,0.1809397936,0.02374566346,,5.849470913,4.943715056,5.689955742,4.852958558,5.573064904,4.155711222,5.136829596,3.884148017,4.744051888,3.364786463,4.496419366,2.76265679,4.346950501,2.919212722,4.161406028,3.205950041,4.476493694,2.720800615,4.330519872,3.035920365,4.276504343,3.271141958,3.974795224,2.882746593,4.286156566,3.0830338,4.222126247,3.377153113,4.52324147,3.368758543,4.606076861,3.647142806,4.861128956,3.962624898,4.833755196,3.944687933,5.073778234,4.127402278,4.920684418,3.760569983,4.963037235,3.760582014,4.644366898,3.377506405,4.256546398,2.001219491,2.642879623,-0.596662842,-1.025175964,1.237550078
DU-L,candidate,14,20,0.04828308895,20.98699732,0.02235059813,-0.01283493824,,6.077378261,1.171853264,5.551953667,1.923202535,5.296294116,2.533276298,5.162143453,2.715368133,5.105444168,2.845873406,4.720273782,2.824607006,4.358691655,2.790062249,4.418796635,2.882109565,4.791462782,3.290585035,5.002310148,3.1000674,4.943905822,3.269414749,4.719945666,3.081355364,4.914008579,3.568268289,5.08369739,3.502018856,5.264176528,3.766859945,5.241385609,3.82778447,5.497138235,4.091731703,5.562263713,4.259776793,5.952000947,4.711052873,5.999381924,4.690153452,6.333754089,5.075495449,6.55123115,5.465956733,6.657986735,5.782148895,5.25814498,4.27985799,-0.7321829729,-0.07831057153
DU-M,candidate,14,20,0.04828308523,19.06104392,0.05438085645,-0.00371699105,,6.161301134,2.568323375,5.932720611,3.78283655,5.541461431,4.011446627,5.335069741,3.741047852,5.184172449,3.545125335,4.882983912,3.425450437,4.40233,3.551859241,4.497018571,3.591892838,4.677553478,3.996406971,4.907923287,3.688355825,4.969845657,3.709494563,4.569253693,3.407432984,4.587810642,3.698270775,4.765011095,3.457602061,4.953493181,3.710629101,4.806413072,3.688189143,5.153116399,3.843952985,5.225190723,3.974108589,5.581445265,4.298175412,5.562648363,4.232751379,5.850596516,4.333374936,5.973173072,4.497669909,6.041266232,4.492544211,4.609217371,2.613255379,-0.633185243,-0.0882752015
DU-N,candidate,14,20,0.0482830815,17.66577804,0.01220861915,-0.01140899491,,6.280314334,1.954872455,6.085165713,3.478568979,5.48303464,3.78716548,4.815764919,3.553251414,4.709611345,3.145627423,4.794638463,2.924776104,4.59899606,2.780624727,4.290090833,2.77978518,4.561680946,3.045300577,4.854528005,3.184326178,4.545681461,3.072169156,4.39813491,2.861614919,4.496895165,3.065981374,4.621164748,2.989818269,4.68977796,2.981413819,4.78648939,2.961075294,5.084898847,3.072765883,5.10874972,2.928303054,5.562570756,2.982123073,5.61908372,2.581650477,5.977030079,2.588127793,6.277083828,1.718296259,6.342178706,0.9019106166,4.94031896,-1.03041402,-1.170788416,-0.5859229157
PXL-S6,candidate,14,20,0.04828309268,18.72499573,0.03049239516,-0.006939707324,,6.321730872,3.133782032,5.829515046,4.1165577,5.300862205,3.970403522,5.0796749,3.828514637,4.931502114,3.748331837,4.604177035,3.48828549,4.226469651,3.294793829,4.197822654,3.089535855,4.45494467,3.418824246,4.525153784,3.461703139,4.492232269,3.577557675,4.222488128,3.337356203,4.400381325,3.444434517,4.547843428,3.588868715,4.819365827,3.809403579,4.800936297,3.700536108,5.209440977,4.069812614,5.290839082,4.349688897,5.606023256,4.719617912,5.531257483,4.627824777,5.674750133,4.876544447,5.647215372,5.165600807,5.674480016,5.301295078,4.20582363,3.83156022,-0.7710006129,-0.1595277534
UCP-A1,candidate,14,20,0.04828308523,20.72676161,0.02432008088,-0.0007502491935,,6.263721366,2.780639256,6.073272077,3.548955043,5.600439316,3.447936837,5.544906025,3.427980108,5.049636597,3.437793561,4.567396364,3.250542797,4.281732607,3.1454597,4.30677579,3.189573333,4.505372932,3.432552639,4.699723495,3.537342661,4.75955404,3.765152287,4.470324377,3.493957652,4.614459776,3.658042646,4.740145934,3.806693258,4.916333819,3.999721328,4.816671365,3.872051626,5.182002968,4.187830314,5.195091728,4.470723191,5.47218961,4.748969725,5.42457868,4.607930686,5.676669941,4.856431396,5.778871122,5.11926337,5.946436706,5.21174537,4.532616057,3.735335567,-0.7123634931,0.02204379431
UCP-A2,candidate,14,20,0.0482830815,21.94476826,0.03252290934,0.008866165765,,6.214936384,2.568017842,5.916835997,3.614234546,5.537018257,3.563721529,5.448418434,3.521466277,5.093938157,3.619626917,4.720350356,3.498290753,4.309647214,3.36005115,4.308676348,3.376668546,4.687308507,3.620363177,4.880692134,3.743918843,4.885938009,3.965017069,4.618026344,3.690162796,4.762864959,3.818586765,4.868646814,3.960831358,5.055232527,4.14627152,4.96377091,4.013636953,5.291545168,4.308687281,5.332752134,4.626750565,5.623903341,4.895082625,5.566332553,4.722702616,5.7707282,4.991871444,5.837158058,5.21880526,5.97761538,5.368380913,4.528464035,3.908181056,-0.5741500094,0.2178513058
McG-A,candidate,14,20,0.0482830815,17.16611081,0.02172764763,0.002816231921,,6.275681691,3.25844542,5.662504154,3.799773945,5.278019136,3.644378874,5.065820375,3.546377925,4.875328142,3.709497609,4.690705256,3.441180751,4.366491213,3.388974234,4.355344703,3.213704535,4.749590357,3.617578722,4.86270482,3.644188226,4.926143273,3.673479333,4.587266058,3.341887376,4.639318724,3.445460201,4.734218929,3.484242231,4.903122653,3.567083864,4.700566875,3.372161302,4.977419356,3.523589984,4.944121677,3.687690395,5.180639236,3.940377831,5.122759651,3.91884638,5.307998602,4.155473213,5.245770762,4.288387929,5.315238738,4.468833056,4.711878221,3.941694001,-0.8827489422,-0.4721242028
McG-C,candidate,14,20,0.0482830815,20.00224951,0.06946798414,-0.004339203238,,6.299722484,2.676749348,5.866818967,4.037918572,5.249138152,4.216005171,4.813798636,3.568178176,4.679982516,3.707434017,4.392473235,3.647939226,4.134007128,3.211296315,4.047360907,3.188655312,4.411484175,3.652560746,4.491170687,3.594078653,4.448337679,3.82215978,4.272423167,3.568687745,4.397504213,3.6636352,4.50296278,3.826862811,4.606591434,4.018833185,4.469308181,3.789346085,4.629473283,4.116332113,4.696952235,4.22082322,5.06824856,4.484771505,5.056687043,4.497560859,5.286698766,4.748449565,5.310413164,4.780506189,5.397697478,4.98251489,4.822412175,4.420807582,-0.8502084906,0.154193974
