mix,source_file,reference_mix,start_seconds,end_seconds,candidate_source_start_seconds,duration_seconds,alignment_offset_ms,alignment_confidence,is_current_nonmatch,is_perceptual_note_mix,is_main_study_mix,excluded,exclusion_reasons,stereo_width_diff_db,mono_corr,null_diff_db_rel,raw_level_delta_db,true_peak_ref_dbfs,true_peak_cand_dbfs,rms_mean,crest_factor_mean,stereo_width,stereo_imbalance,side_mid_db,bark_mid_01,bark_side_01,bark_mid_02,bark_side_02,bark_mid_03,bark_side_03,bark_mid_04,bark_side_04,bark_mid_05,bark_side_05,bark_mid_06,bark_side_06,bark_mid_07,bark_side_07,bark_mid_08,bark_side_08,bark_mid_09,bark_side_09,bark_mid_10,bark_side_10,bark_mid_11,bark_side_11,bark_mid_12,bark_side_12,bark_mid_13,bark_side_13,bark_mid_14,bark_side_14,bark_mid_15,bark_side_15,bark_mid_16,bark_side_16,bark_mid_17,bark_side_17,bark_mid_18,bark_side_18,bark_mid_19,bark_side_19,bark_mid_20,bark_side_20,bark_mid_21,bark_side_21,bark_mid_22,bark_side_22,bark_mid_23,bark_side_23,bark_mid_24,bark_side_24,standardised_full_distance,scalar_distance,bark_distance,distance_band,recommendation_score_lower_better,shortlisted,recommended
UCP-A2,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A2.mp3,DU-H,14,20,13.999,6,-1,0.3280724438,false,false,false,false,,1.063254388,0.4163762943,-0.8268818786,-6.701616138e-07,-6.241330467,-4.379331912,0.0482830815,21.94476826,0.03252290934,0.008866165765,-14.878106,6.214936384,2.568017842,5.916835997,3.614234546,5.537018257,3.563721529,5.448418434,3.521466277,5.093938157,3.619626917,4.720350356,3.498290753,4.309647214,3.36005115,4.308676348,3.376668546,4.687308507,3.620363177,4.880692134,3.743918843,4.885938009,3.965017069,4.618026344,3.690162796,4.762864959,3.818586765,4.868646814,3.960831358,5.055232527,4.14627152,4.96377091,4.013636953,5.291545168,4.308687281,5.332752134,4.626750565,5.623903341,4.895082625,5.566332553,4.722702616,5.7707282,4.991871444,5.837158058,5.21880526,5.97761538,5.368380913,4.528464035,3.908181056,0.9319768686,0.3462626932,0.8652647172,too_far,0.4908911608,false,false
McG-A,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-A.mp3,DU-H,14,20,14.022,6,22,0.2330510863,false,false,false,false,,-0.6885125188,0.2893586899,-0.3797579876,-6.701616138e-07,-6.241330467,-9.157989882,0.0482830815,17.16611081,0.02172764763,0.002816231921,-16.62987291,6.275681691,3.25844542,5.662504154,3.799773945,5.278019136,3.644378874,5.065820375,3.546377925,4.875328142,3.709497609,4.690705256,3.441180751,4.366491213,3.388974234,4.355344703,3.213704535,4.749590357,3.617578722,4.86270482,3.644188226,4.926143273,3.673479333,4.587266058,3.341887376,4.639318724,3.445460201,4.734218929,3.484242231,4.903122653,3.567083864,4.700566875,3.372161302,4.977419356,3.523589984,4.944121677,3.687690395,5.180639236,3.940377831,5.122759651,3.91884638,5.307998602,4.155473213,5.245770762,4.288387929,5.315238738,4.468833056,4.711878221,3.941694001,0.8073562048,0.5379344059,0.6020387166,close_to_moderate,0.2468479204,true,false
McG-C,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-C.mp3,DU-H,14,20,14.022,6,22,0.2738106804,false,false,false,false,,4.359207684,0.3414441306,-0.5383468789,-6.701616138e-07,-6.241330467,-6.321850966,0.0482830815,20.00224951,0.06946798414,-0.004339203238,-11.58215271,6.299722484,2.676749348,5.866818967,4.037918572,5.249138152,4.216005171,4.813798636,3.568178176,4.679982516,3.707434017,4.392473235,3.647939226,4.134007128,3.211296315,4.047360907,3.188655312,4.411484175,3.652560746,4.491170687,3.594078653,4.448337679,3.82215978,4.272423167,3.568687745,4.397504213,3.6636352,4.50296278,3.826862811,4.606591434,4.018833185,4.469308181,3.789346085,4.629473283,4.116332113,4.696952235,4.22082322,5.06824856,4.484771505,5.056687043,4.497560859,5.286698766,4.748449565,5.310413164,4.780506189,5.397697478,4.98251489,4.822412175,4.420807582,0.5737881838,0.2935592845,0.4930069232,too_close,9999,false,false
McG-H,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-H.mp3,DU-H,14,20,14.022,6,22,0.2619281979,false,false,false,false,,0.3820496203,0.3241999379,-0.4822805161,-6.701616138e-07,-6.241330467,-3.799011743,0.0482830815,22.52508861,0.0278015472,-0.01289386582,-15.55931077,6.170188285,3.334465201,5.929295557,3.845710433,5.386560345,3.675088212,5.076664158,3.421989887,5.040909848,3.507398804,4.719043593,3.348749075,4.388207582,3.212118413,4.435870984,3.109604044,4.692397993,3.466105914,4.797519997,3.532735513,4.763609061,3.62771065,4.549448131,3.40052437,4.66818058,3.554745638,4.865644414,3.646836636,5.066517857,3.847659095,5.00121301,3.752684895,5.359036848,4.036384146,5.449794305,4.313186477,5.844488372,4.653162595,5.824369047,4.711750294,6.05504213,5.048162901,6.058945838,5.424072818,6.172390484,5.756706608,5.631430833,5.097703834,0.9407602427,0.450238309,0.8260237885,too_far,0.2612528662,false,false
DU-I,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-I.mp3,DU-H,18,24,18,6,0,0.5350754071,false,true,false,false,,5.32413083,0.5440143513,-1.523973309,-1.600783594e-13,-6.241330467,-0.8908977148,0.05410442874,24.44444549,0.09639922529,-0.09003137052,-10.15926442,6.235073708,3.740329723,5.95080186,4.635848579,5.567794719,4.445762485,5.379561069,4.443662398,5.412821619,4.258186556,4.994585935,3.985560207,4.570887869,3.878617607,4.677065935,3.966256419,4.672188979,4.196076791,4.903998867,4.075088498,4.934346267,4.192382793,4.80079089,4.073148067,4.974792627,4.299098086,5.152294511,4.268048285,5.260369246,4.480895192,5.403094585,4.573654109,5.969283308,5.002053404,6.026763575,5.08333258,6.377317232,5.36162845,6.53128129,5.295599821,6.674184505,5.59831677,6.707957787,5.880293969,6.655493823,5.946887131,5.195094648,4.517709007,1.518153393,1.085167552,1.061697278,too_far,2.56837444,false,false
DU-J,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-J.mp3,DU-H,18,24,17.998,6,-2,0.188704674,true,false,false,true,poor_global_alignment_confidence;extreme_stereo_width_difference;extreme_stereo_imbalance,8.799522303,0.1518985001,-0.1013781891,-5.980558515e-07,-6.241330467,-4.878786202,0.05410442501,20.45655833,0.2145915627,0.5968024731,-6.683872947,6.056211477,5.169630847,6.010926799,5.30976392,5.859977259,5.135204319,4.984059957,4.527703739,5.416358681,4.571922463,5.414254347,4.587051629,4.63926219,4.198138699,5.059104887,4.392309751,4.962046942,4.495993033,5.270781324,4.496761631,5.277652082,4.536438199,4.993458336,4.294480665,4.964477063,4.36249616,5.107665389,4.356159203,5.117561409,4.430133189,5.037221177,4.410676063,5.571692602,4.834614102,5.510779594,4.850449862,5.817019942,5.154733309,5.920282675,5.243380275,5.964516471,5.320937804,5.698666058,5.228755076,5.438613092,5.114874779,3.706588888,3.409141379,1.65693359,1.266283285,1.068623209,excluded,9999,false,false
DU-K,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-K.mp3,DU-H,18,24,18.004,6,4,0.2325206703,false,false,true,true,extreme_stereo_width_difference,8.120401977,0.2695850126,-0.3276844675,-1.600783594e-13,-6.241330467,-1.90970957,0.05410442874,23.42563433,0.1835272908,0.02191386744,-7.362993273,6.027096316,5.133418338,5.887236363,5.060032624,5.773706646,4.342763788,5.230295901,4.052227623,5.013080362,3.581290269,4.799771853,2.982141743,4.496929649,3.13492378,4.447140268,3.421173456,4.580657914,2.966926764,4.486043265,3.21845226,4.561325352,3.469394855,4.305572641,3.119456998,4.478470567,3.352344489,4.533337827,3.673136093,4.761008036,3.62229728,4.832767643,3.875565109,5.253595184,4.177817279,5.183518871,4.160821823,5.502729042,4.375946822,5.550469979,4.016824791,5.519568703,3.982947022,5.156284513,3.615633599,4.612900982,2.291107181,2.849159896,-0.428159611,1.502844678,1.306310238,0.7430314187,excluded,9999,false,false
DU-L,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-L.mp3,DU-H,18,24,18,6,0,0.6474959252,false,true,false,false,,0.5069564044,0.6857662316,-2.759499351,5.980554902e-07,-6.241330467,-5.798062249,0.05410443246,19.53728121,0.03179480135,-0.03058660403,-14.97643885,6.170965725,2.317085237,5.598377718,2.827510788,5.437117664,3.052373613,4.887204485,3.157404402,5.26868435,3.292892901,5.113329414,3.498783196,4.503710506,3.481377832,4.939118585,3.626223591,4.972838337,3.795466629,5.260573386,3.660733007,5.310085271,3.738537011,5.155372448,3.589864249,5.233697938,3.952180262,5.365527077,3.824429888,5.460667629,4.093356241,5.538545472,4.212900908,6.013987861,4.488491856,5.96881091,4.597344338,6.348903257,4.974477249,6.482397217,4.960390532,6.646982063,5.275274095,6.722263371,5.547196294,6.676455416,5.724109438,5.229375977,4.128698851,0.9884241113,0.08493585959,0.9847680557,too_far,0.3526341093,false,false
DU-M,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-M.mp3,DU-H,18,24,18,6,0,0.4214250155,true,false,false,false,,2.474283812,0.4492424516,-0.9789851504,5.980554902e-07,-6.241330467,-6.45045136,0.05410443246,18.88489213,0.05001368746,-0.006421656348,-13.00911144,6.262300516,2.90117674,6.059592478,4.055292537,5.758576179,4.115754835,5.32726164,3.998508319,5.382999496,3.734505089,5.324235271,3.705942112,4.608545302,3.765698534,5.071173659,3.808588104,4.922391587,4.053273668,5.241221926,3.759383353,5.298266931,3.834387908,4.952282877,3.596238728,4.916704097,3.839128997,5.065501745,3.645805104,5.132349787,3.859425521,5.091304678,3.912073927,5.639295286,4.149725927,5.614145894,4.321774119,5.971836942,4.597440213,6.045726933,4.561186024,6.155033746,4.670261576,6.136354547,4.688664099,6.046494296,4.496477216,4.547355682,2.497777277,0.7563111883,0.1497548123,0.7413367047,close_to_moderate,1.27291289,false,false
DU-N,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-N.mp3,DU-H,18,24,18,6,0,0.6569947399,false,true,true,false,,-3.579353701,0.6567914773,-2.451740795,-1.600783594e-13,-6.241330467,-8.600691588,0.05410442874,16.73465227,0.01240866724,-0.006378507707,-19.06274895,6.420574734,1.521275378,6.224093551,3.565318977,5.639331469,3.964939534,4.963109872,3.512484837,4.921174041,3.359620403,5.126916406,3.339658444,4.759447494,2.959762841,4.578384659,3.291937556,4.758345477,3.191240006,5.123541579,3.452869057,4.790926854,3.498505443,4.692063969,3.321847468,4.795486862,3.355824249,4.87031939,3.310200807,4.905336858,3.199211895,5.040583656,3.147799258,5.483902926,3.571226353,5.484627897,3.35888224,5.872621578,3.489592351,5.969423435,3.311017939,6.251152902,3.11151472,6.45855971,2.26889721,6.425729545,1.294327568,4.982085086,-1.034245368,1.068634477,0.4473779497,0.9704806109,too_far,1.758183529,false,false
PXL-S6,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S6.mp3,DU-H,18,24,17.999,6,-1,0.3458613705,false,false,false,false,,1.118852877,0.3483472926,-0.5618189699,-1.600783594e-13,-6.241330467,-3.803136179,0.05410442874,21.53220777,0.03660545498,0.00317960931,-14.36454237,6.422635234,3.248992567,5.929261891,4.1954544,5.547537539,4.134965016,5.121799124,3.939441629,5.188795441,3.935293194,4.949179672,3.79525352,4.419874702,3.530833602,4.631614405,3.535613814,4.621571689,3.617607204,4.812981514,3.711335994,4.887820271,3.792914213,4.625710982,3.634359052,4.725550049,3.792081999,4.899812156,3.866134922,5.088873707,4.043713893,5.134412756,4.040941056,5.761520186,4.563532172,5.768776443,4.770591092,6.106143186,5.102318968,6.183462223,5.089325882,6.185238951,5.25437791,6.00484834,5.383897612,5.827150084,5.394367599,4.253399455,3.833351962,0.7491233854,0.4526097279,0.5969340674,close_to_moderate,0.4556998651,false,false
UCP-A1,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A1.mp3,DU-H,18,24,17.999,6,-1,0.3683306341,false,false,false,false,,0.04547489065,0.4150492721,-0.8210876151,-5.980558515e-07,-6.241330467,-5.750159467,0.05410442501,19.58518444,0.02858958952,-0.005927409045,-15.43792036,6.390217703,2.932582553,6.171881021,3.680832391,5.779112373,3.525309826,5.546820915,3.58977546,5.287488599,3.583694638,5.001681616,3.437658806,4.504793079,3.277617111,4.887969654,3.35536838,4.761129858,3.483633973,5.116176986,3.558169783,5.178244318,3.79316161,4.901394539,3.660019751,4.947592512,3.879704183,5.073230005,4.028089246,5.126750704,4.2109979,5.153322325,4.237749389,5.733059475,4.631567609,5.711418711,4.869639057,6.006954358,5.085956784,6.085729645,4.984563883,6.120790687,5.192077837,6.035158155,5.305681053,5.98059407,5.286825706,4.456698532,3.70904024,0.7265482828,0.09051412546,0.7208880637,close_to_moderate,0.1025926725,true,true
UCP-A2,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A2.mp3,DU-H,18,24,17.999,6,-1,0.3280724438,false,false,false,false,,1.111031546,0.3756764454,-0.6607398278,-1.600783594e-13,-6.241330467,-5.186746315,0.05410442874,20.14859765,0.0365395844,-0.01324772649,-14.3723637,6.326844192,3.11173891,6.029937947,3.814462121,5.771194338,3.674489761,5.427167458,3.669999307,5.308544431,3.69742276,5.140115563,3.592351256,4.526718929,3.465417836,5.00185307,3.548065078,4.9488699,3.669249781,5.294712788,3.767143367,5.327300446,3.935799121,5.021127678,3.787296889,5.088319922,3.993811953,5.170508845,4.142935792,5.227867882,4.320902909,5.248757554,4.323970851,5.830443121,4.716070482,5.801568088,4.969977308,6.116757864,5.165012013,6.199404336,5.051483523,6.212892144,5.255730998,6.075101302,5.38251258,5.979487796,5.399479469,4.42059511,3.834854553,0.8467105832,0.2019148593,0.8222829204,close_to_moderate,0.4223468808,false,false
McG-A,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-A.mp3,DU-H,18,24,18.022,6,22,0.2330510863,false,false,false,false,,-0.1757793338,0.2427414702,-0.2637496312,-1.600783594e-13,-6.241330467,-5.515046726,0.05410442874,19.82029691,0.02716955356,-0.001047395868,-15.65917458,6.378856016,3.271975727,5.816509215,3.811031521,5.568984679,3.912552568,4.92881567,3.681939256,5.094496299,3.911341651,5.103718928,3.932791513,4.551299765,3.773656346,4.914330461,3.880502498,4.922472246,3.934359783,5.181647341,4.040397774,5.326260092,4.047524541,4.996887306,3.768792338,4.964754224,3.858266431,5.059371812,3.78273428,5.114810907,3.815377666,4.971324978,3.692183055,5.57987098,4.122209059,5.436675038,4.17031324,5.722556794,4.420146029,5.796617604,4.478014443,5.773059857,4.569601557,5.566244479,4.581679173,5.42971279,4.608549096,4.622366112,3.901250583,0.6375076275,0.134017741,0.623261759,too_close,9999,false,false
McG-C,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-C.mp3,DU-H,18,24,18.022,6,22,0.2738106804,false,false,false,false,,4.948482141,0.2946138528,-0.3943288969,1.794166665e-06,-6.241330467,-6.469719997,0.05410443991,18.86562177,0.08841148019,-0.01974247023,-10.53491311,6.440904972,3.178896247,5.992853421,4.355603108,5.437689262,4.571288468,4.673008546,3.943208778,4.918841017,4.055935647,4.811203143,4.222973137,4.312862853,3.66511922,4.585237164,3.887766841,4.636354795,3.953152752,4.817707758,4.140827194,4.847195202,4.236399498,4.646113141,3.936312392,4.624962091,4.085144755,4.747319938,4.169340698,4.749965122,4.312873834,4.645010217,4.118167135,5.088220592,4.606711391,5.117755972,4.66327086,5.542901036,5.093592184,5.697039146,5.173512881,5.733358715,5.258901596,5.61374887,5.115517835,5.537150024,5.112500693,4.780882204,4.382001318,0.6917929915,0.4027287354,0.5624829854,too_close,9999,false,false
McG-H,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-H.mp3,DU-H,18,24,18.022,6,22,0.2619281979,false,false,false,false,,1.639093328,0.2909426293,-0.3841168269,1.196111097e-06,-6.241330467,-4.371971185,0.05410443619,20.96337103,0.04126385599,-0.0106706908,-13.84430192,6.266222923,3.496038567,5.987741875,3.988393542,5.536489122,3.838857769,4.954097132,3.578981752,5.205418658,3.791945246,5.0797019,3.848268347,4.546593424,3.678273959,4.836828473,3.772164341,4.815496771,3.809056049,5.06421688,3.841112953,5.132968023,3.855053664,4.897215267,3.687561362,4.904233717,3.889959502,5.094571656,3.87431721,5.210693675,4.050847385,5.234248107,4.059755866,5.858825584,4.489360286,5.860854543,4.739407266,6.287143105,5.034900367,6.396006382,5.158499254,6.476979977,5.46167976,6.360656178,5.704572341,6.298369536,5.903386496,5.563387338,5.092554095,0.8592991282,0.355084008,0.7825026128,close_to_moderate,0.6197570496,false,false
DU-I,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-I.mp3,DU-H,22,28,22,6,0,0.5350754071,false,true,false,false,,6.598928476,0.5339858665,-1.4577965,-1.822578912e-13,-5.472789673,-1.651526152,0.0476715602,24.78328611,0.1146781668,-0.0980379805,-9.405192105,6.069383303,3.525058875,5.844631559,4.443187821,5.463641179,4.436674647,5.373407567,4.605958639,5.267564705,4.124904038,4.809973118,3.872384018,4.538536537,3.878173901,4.49921945,4.028758821,4.59988876,4.306400296,4.758034869,4.238807284,4.755931152,4.219460809,4.685972698,4.108225919,4.655894023,4.197777153,4.775441862,4.096794772,4.884127607,4.315544001,5.114285192,4.375788475,5.573640721,4.687869034,5.609733557,4.702979122,5.950864347,4.900569639,6.13918275,4.811502117,6.243376881,5.085137126,6.339418446,5.424574898,6.33134092,5.585805293,4.908534728,4.269487924,1.536027641,0.9229479807,1.227822438,too_far,3.032427865,false,false
DU-J,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-J.mp3,DU-H,22,28,21.998,6,-2,0.188704674,true,false,false,true,poor_global_alignment_confidence;extreme_stereo_width_difference;extreme_stereo_imbalance,9.992086589,0.1712181102,-0.1292195937,1.357516028e-06,-5.472789673,-6.594277179,0.04767156765,19.84053382,0.2504935861,0.601337254,-6.012033993,5.935688281,5.044800542,5.914747901,5.161157971,5.599944899,5.037786879,4.919416811,4.694160131,5.3288195,4.446686043,5.11081809,4.356429652,4.639502852,4.1792163,4.768710012,4.291842921,4.931793233,4.514201343,5.036560247,4.460100245,5.033286105,4.409567813,4.737683589,4.185641233,4.48981373,4.097008322,4.555647719,3.993301492,4.596331912,4.104079821,4.654267144,4.132320745,5.065031708,4.435027668,5.017811033,4.417800678,5.277944204,4.648224453,5.411736404,4.735775487,5.401797889,4.792196579,5.322815664,4.85132789,5.179510271,4.817805977,3.515777374,3.19130611,1.880585664,1.515780349,1.113109327,excluded,9999,false,false
DU-K,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-K.mp3,DU-H,22,28,22.004,6,4,0.2325206703,false,false,true,true,extreme_stereo_width_difference,8.135860862,0.1829697793,-0.1478802122,6.787579497e-07,-5.472789673,-2.323888275,0.04767156392,24.11092363,0.163370654,0.01190581825,-7.86825972,5.81513393,4.90986269,5.581158644,4.822234103,5.666536136,4.108132547,5.403617164,3.851572329,4.849573151,3.33345988,4.675084632,2.711343778,4.509355735,2.835869987,4.476226292,3.204028173,4.656990406,2.669729291,4.586153424,2.967201548,4.540356497,3.197707264,4.23996018,2.857323764,4.275499798,3.074266439,4.217110824,3.281472642,4.459645337,3.306447198,4.548023757,3.575007405,4.909756576,3.921759062,4.820062612,3.872180119,5.072612287,4.015492214,5.128258514,3.703373482,4.989473643,3.642046309,4.743205194,3.275668817,4.289590835,1.868756544,2.527687015,-0.8451667549,1.346101269,1.088666956,0.7917025243,excluded,9999,false,false
DU-L,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-L.mp3,DU-H,22,28,22,6,0,0.6474959252,false,true,false,false,,1.496705484,0.683191418,-2.730694748,6.787579497e-07,-5.472789673,-5.755035789,0.04767156392,20.67977643,0.03542081267,-0.05262114853,-14.5074151,6.003607988,1.342887802,5.443243322,2.116443343,5.192184221,2.935507939,4.768459031,3.263345247,5.153449312,2.916978254,4.935663404,3.059359422,4.493794775,3.1543369,4.738703454,3.402516278,5.035421124,3.746025529,5.220753446,3.712426952,5.217250504,3.693673977,5.125610981,3.708187537,5.053828779,3.958972809,5.03910801,3.792184198,5.138605899,4.058914989,5.282254616,4.163715255,5.60361554,4.317821013,5.552753096,4.289137768,5.903035646,4.531080737,6.078784768,4.456345797,6.247851755,4.806009551,6.445699456,5.216335343,6.494294765,5.423317831,5.088947514,3.896652344,1.194156871,0.08623414441,1.19103917,too_far,0.904779047,false,false
DU-M,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-M.mp3,DU-H,22,28,22,6,0,0.4214250155,true,false,false,false,,4.859322116,0.444503328,-0.9559980629,-1.822578912e-13,-5.472789673,-6.666281691,0.0476715602,19.76853104,0.07682810724,-0.008360768668,-11.14479847,6.082778012,2.757894048,5.91227151,3.698668283,5.575234238,4.178198036,5.293852748,4.292526653,5.307733826,3.566610497,5.120168167,3.624076985,4.644278706,3.737541113,4.809121884,3.873725623,4.899281522,4.11730261,5.027889052,3.962140443,5.039851302,3.852993793,4.783042284,3.701579766,4.554308428,3.801054773,4.572563394,3.554973555,4.624146412,3.783540663,4.686936521,3.789223724,5.104391544,3.920565675,5.102289684,3.981083659,5.430282852,4.190003192,5.573537946,4.090475665,5.7077885,4.24577669,5.839198301,4.426717043,5.848365883,4.32179009,4.391231113,2.413421115,0.9207073863,0.408821434,0.8249649242,close_to_moderate,2.158245383,false,false
DU-N,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-N.mp3,DU-H,22,28,22,6,0,0.6569947399,false,true,true,false,,-1.662089081,0.6664455303,-2.550415311,1.357516028e-06,-5.472789673,-8.473900075,0.04767156765,17.96091106,0.01711508445,-0.02015454881,-17.66620966,6.270556647,1.456229844,6.014597173,3.387028595,5.470767763,3.899835954,4.922181463,3.760918002,4.758042631,3.315242975,4.971369666,3.155343217,4.711589681,3.048402858,4.365234571,3.143309921,4.622827623,3.350144547,4.875190369,3.475087734,4.580340769,3.477624373,4.528138012,3.279576682,4.513249564,3.124576649,4.551254921,2.891614782,4.591824726,2.871758502,4.721601621,2.918501456,5.062484409,3.212043796,5.03395654,3.03265192,5.434473452,3.103141437,5.554837156,2.946587378,5.859745245,2.669769159,6.172034529,2.001843996,6.224716835,1.110653688,4.8111607,-1.18568115,1.109442472,0.5554688522,0.9603733404,too_far,1.127948907,false,false
PXL-S6,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S6.mp3,DU-H,22,28,21.999,6,-1,0.3458613705,false,false,false,false,,0.8757203208,0.3859214565,-0.7003734104,6.787579497e-07,-5.472789673,-7.014946492,0.04767156392,19.41986592,0.03070152551,-0.01703718863,-15.12840026,6.272094753,2.957780164,5.794445355,4.060820294,5.421450897,4.089901893,5.134789886,4.057123807,4.987673584,3.688765751,4.75951517,3.625126372,4.401414616,3.393034062,4.441780402,3.258013813,4.58498913,3.497007022,4.650125261,3.47121174,4.660660038,3.469473329,4.443161377,3.32894694,4.325049093,3.37188519,4.384932378,3.489209227,4.553828449,3.65937225,4.723660297,3.649969798,5.232777046,4.065843409,5.255249214,4.288156858,5.549670928,4.560568528,5.651444666,4.52927783,5.601722061,4.721191628,5.564071105,4.981967974,5.528867288,5.086578822,4.016818268,3.595763665,0.670702233,0.28656853,0.6063991779,too_close,9999,false,false
UCP-A1,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A1.mp3,DU-H,22,28,21.999,6,-1,0.3683306341,false,false,false,false,,-0.3706246466,0.4051178486,-0.778559071,-1.822578912e-13,-5.472789673,-5.969248252,0.0476715602,20.4655644,0.02304228023,-0.004701480735,-16.37474523,6.250532405,2.670706724,6.025010996,3.424922318,5.662512744,3.521976925,5.529467666,3.656036956,5.191864689,3.334410709,4.805534198,3.25570665,4.448454191,3.217330131,4.611217627,3.222368117,4.733080054,3.419889138,4.882460461,3.456790366,4.922420858,3.593869491,4.706074285,3.444338339,4.521799413,3.600529675,4.600063755,3.784081737,4.679077737,3.920302192,4.72804043,3.867596766,5.151956598,4.164755496,5.145803887,4.365669717,5.375238041,4.527913972,5.54494474,4.392829591,5.546136325,4.620758802,5.634264998,4.894924034,5.707428771,4.989836863,4.253803909,3.522973923,0.7442573414,0.0924832793,0.738488885,close_to_moderate,0.1986860285,false,false
UCP-A2,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A2.mp3,DU-H,22,28,21.999,6,-1,0.3280724438,false,false,false,false,,0.761863312,0.3872830384,-0.7057504939,-1.822578912e-13,-5.472789673,-5.189470888,0.0476715602,21.24534208,0.02990709431,-2.407627107e-05,-15.24225727,6.170270481,2.416548963,5.887046134,3.547118916,5.633421905,3.704644732,5.445924581,3.756000115,5.230321374,3.473094183,4.933112883,3.467221948,4.495580734,3.416754134,4.671427091,3.390358696,4.86182462,3.569536374,5.026822375,3.613065247,5.035523597,3.732021277,4.813370838,3.624215076,4.645087786,3.790365566,4.694909025,3.942043967,4.800269887,4.029757281,4.856375856,3.981690533,5.280066103,4.300690194,5.290104762,4.497181943,5.536233071,4.650301277,5.68948419,4.515466643,5.648103814,4.730551979,5.697074723,5.002577719,5.733170131,5.103170694,4.242314479,3.680529091,0.8689309902,0.06125674345,0.8667691026,close_to_moderate,0.3223584059,false,false
McG-A,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-A.mp3,DU-H,22,28,22.022,6,22,0.2330510863,false,false,false,false,,-0.8962848708,0.2742921343,-0.3396917274,-6.787583672e-07,-5.472789673,-9.389817332,0.04767155647,17.04499605,0.02041547187,0.04114707187,-16.90040545,6.236335444,2.859101562,5.610282804,3.550604013,5.323945065,3.788720914,4.954583836,3.714888486,4.908544822,3.615142819,4.813446268,3.512579417,4.532523106,3.472738497,4.652473993,3.421659223,4.858794953,3.67261899,5.000605606,3.694863796,5.078464727,3.69140302,4.794001269,3.481600773,4.49727743,3.389116283,4.486365211,3.314200952,4.521246855,3.322428482,4.491821963,3.240712185,4.971540548,3.574907575,4.896236638,3.67836075,5.112048215,3.855400846,5.246872304,3.926661473,5.209475951,4.039221778,5.181694789,4.207798064,5.199043127,4.362967004,4.602136163,3.889658369,0.9284816649,0.7223383227,0.5833571373,too_far,0.4329521322,false,false
