mix,source_file,reference_mix,start_seconds,end_seconds,candidate_source_start_seconds,duration_seconds,alignment_offset_ms,alignment_confidence,is_current_nonmatch,is_perceptual_note_mix,is_main_study_mix,excluded,exclusion_reasons,stereo_width_diff_db,mono_corr,null_diff_db_rel,raw_level_delta_db,true_peak_ref_dbfs,true_peak_cand_dbfs,rms_mean,crest_factor_mean,stereo_width,stereo_imbalance,side_mid_db,bark_mid_01,bark_side_01,bark_mid_02,bark_side_02,bark_mid_03,bark_side_03,bark_mid_04,bark_side_04,bark_mid_05,bark_side_05,bark_mid_06,bark_side_06,bark_mid_07,bark_side_07,bark_mid_08,bark_side_08,bark_mid_09,bark_side_09,bark_mid_10,bark_side_10,bark_mid_11,bark_side_11,bark_mid_12,bark_side_12,bark_mid_13,bark_side_13,bark_mid_14,bark_side_14,bark_mid_15,bark_side_15,bark_mid_16,bark_side_16,bark_mid_17,bark_side_17,bark_mid_18,bark_side_18,bark_mid_19,bark_side_19,bark_mid_20,bark_side_20,bark_mid_21,bark_side_21,bark_mid_22,bark_side_22,bark_mid_23,bark_side_23,bark_mid_24,bark_side_24,standardised_full_distance,scalar_distance,bark_distance,distance_band,recommendation_score_lower_better,shortlisted,recommended
McG-C,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-C.mp3,DU-H,10,16,10.022,6,22,0.2738106804,false,false,false,false,,2.045707064,0.3121973402,-0.4453697261,-6.511266136e-07,-6.303614293,-7.802130734,0.04969458655,18.27168738,0.03844866902,-0.01357017085,-14.15118703,6.278562767,2.463025261,5.923759972,4.085185946,5.488123161,4.049177477,5.167734993,3.47530803,4.861323514,3.302409375,4.570781525,2.957357742,4.523033604,3.051337607,4.272479382,2.923871238,4.469475604,3.273097869,4.49985101,2.951222408,4.60570455,3.210278705,4.552791978,3.058417624,4.734498804,3.326564205,4.729996976,3.212698245,4.622125724,3.435160804,4.516522433,3.359120098,4.796445994,3.548110582,5.031007468,3.72138305,5.465667473,3.992848015,5.604971053,4.132258517,5.694900559,4.388705029,5.576224377,4.719019307,5.558978221,4.975215453,4.807181563,4.391215667,0.5692225986,0.2923710996,0.4883989218,too_close,9999,false,false
McG-H,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-H.mp3,DU-H,10,16,10.022,6,22,0.2619281979,false,false,false,false,,0.1806063123,0.297306131,-0.401912554,-1.745432714e-13,-6.303614293,-3.726946969,0.04969459027,22.34687092,0.0250248313,-0.02650607005,-16.01628778,6.20862908,3.183138728,5.974553952,3.881077169,5.53587389,3.729974663,5.31556536,3.48440694,5.081519348,3.401459024,4.704650826,3.210263051,4.650727807,3.188336647,4.573519901,3.012113697,4.68288559,3.379155461,4.660182452,3.354174875,4.745928095,3.569697003,4.677687807,3.41422253,4.872725574,3.540991888,4.916202235,3.552576079,4.894293249,3.764312914,4.905329156,3.703335713,5.302129406,4.005482065,5.53040202,4.277590478,5.933006779,4.642915679,6.034004954,4.707571999,6.147862816,5.039044338,6.162578383,5.44280141,6.238823227,5.775401254,5.646864606,5.125365465,0.9586396337,0.4747686498,0.8328173127,too_far,0.2086270994,true,false
DU-I,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-I.mp3,DU-H,14,20,14,6,0,0.5350754071,false,true,false,false,,5.628046445,0.5405039818,-1.500553413,-1.3403231e-06,-6.241330467,-0.8862427279,0.04828307778,25.43785834,0.0930397585,-0.08593214303,-10.31331394,6.102845556,3.54752736,5.87477596,4.495610183,5.449601921,4.331142653,5.40142328,4.321964244,5.30690077,4.119538329,4.761971221,3.736058749,4.449623,3.696356056,4.319987602,3.748063859,4.508985196,4.122594971,4.674317988,3.977375571,4.641112647,3.976344003,4.466700109,3.793005996,4.726122903,4.124312346,4.899647226,4.045166461,5.088806833,4.278033217,5.148606336,4.304117957,5.452185099,4.617117904,5.558440066,4.6876699,5.960255237,4.994916354,6.001537894,4.836334221,6.287367457,5.267772415,6.465382294,5.637202402,6.581346365,5.850018041,5.201002013,4.495767451,1.577389064,1.084481966,1.145449749,too_far,2.733980577,false,false
DU-J,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-J.mp3,DU-H,14,20,13.998,6,-2,0.188704674,true,false,false,true,poor_global_alignment_confidence;extreme_stereo_width_difference;extreme_stereo_imbalance,9.467486414,0.1362297979,-0.081355024,6.701612024e-07,-6.241330467,-4.741395219,0.04828308895,21.58270402,0.2252229303,0.6100821495,-6.473873976,6.01156543,5.096062978,5.934894709,5.230313623,5.608175794,4.964044031,5.2568854,4.504332953,5.162241682,4.334902798,4.9102622,4.16416843,4.426569683,3.971862529,4.475914113,3.968123907,4.754154099,4.372757475,4.925863235,4.260101902,4.889019094,4.238422557,4.601582073,3.960471818,4.656595493,4.157558395,4.81988016,4.127759315,4.923530697,4.234616262,4.795483419,4.166759036,5.069337377,4.418754068,5.059371996,4.452084222,5.311927196,4.742431069,5.266950378,4.71486863,5.473441626,4.906371363,5.355207253,4.95769552,5.262314485,4.935543551,3.655455826,3.320726558,1.7338523,1.359230366,1.076446289,excluded,9999,false,false
DU-K,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-K.mp3,DU-H,14,20,14.004,6,4,0.2325206703,false,false,true,true,extreme_stereo_width_difference,8.516701153,0.255298281,-0.2927054632,-1.793649088e-13,-6.241330467,-2.030070807,0.04828308523,24.29402858,0.1809397936,0.02374566346,-7.424659237,5.849470913,4.943715056,5.689955742,4.852958558,5.573064904,4.155711222,5.136829596,3.884148017,4.744051888,3.364786463,4.496419366,2.76265679,4.346950501,2.919212722,4.161406028,3.205950041,4.476493694,2.720800615,4.330519872,3.035920365,4.276504343,3.271141958,3.974795224,2.882746593,4.286156566,3.0830338,4.222126247,3.377153113,4.52324147,3.368758543,4.606076861,3.647142806,4.861128956,3.962624898,4.833755196,3.944687933,5.073778234,4.127402278,4.920684418,3.760569983,4.963037235,3.760582014,4.644366898,3.377506405,4.256546398,2.001219491,2.642879623,-0.596662842,1.506851059,1.294182726,0.7718103305,excluded,9999,false,false
DU-L,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-L.mp3,DU-H,14,20,14,6,0,0.6474959252,false,true,false,false,,-0.5657483724,0.6815105081,-2.712047811,6.701612024e-07,-6.241330467,-5.337101545,0.04828308895,20.98699732,0.02235059813,-0.01283493824,-16.50710876,6.077378261,1.171853264,5.551953667,1.923202535,5.296294116,2.533276298,5.162143453,2.715368133,5.105444168,2.845873406,4.720273782,2.824607006,4.358691655,2.790062249,4.418796635,2.882109565,4.791462782,3.290585035,5.002310148,3.1000674,4.943905822,3.269414749,4.719945666,3.081355364,4.914008579,3.568268289,5.08369739,3.502018856,5.264176528,3.766859945,5.241385609,3.82778447,5.497138235,4.091731703,5.562263713,4.259776793,5.952000947,4.711052873,5.999381924,4.690153452,6.333754089,5.075495449,6.55123115,5.465956733,6.657986735,5.782148895,5.25814498,4.27985799,1.119718662,0.1678764439,1.107062501,too_far,0.5045058489,false,false
DU-M,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-M.mp3,DU-H,14,20,14,6,0,0.4214250155,true,false,false,false,,3.295820597,0.4292324555,-0.8843773582,-1.793649088e-13,-6.241330467,-7.263056194,0.04828308523,19.06104392,0.05438085645,-0.00371699105,-12.64553979,6.161301134,2.568323375,5.932720611,3.78283655,5.541461431,4.011446627,5.335069741,3.741047852,5.184172449,3.545125335,4.882983912,3.425450437,4.40233,3.551859241,4.497018571,3.591892838,4.677553478,3.996406971,4.907923287,3.688355825,4.969845657,3.709494563,4.569253693,3.407432984,4.587810642,3.698270775,4.765011095,3.457602061,4.953493181,3.710629101,4.806413072,3.688189143,5.153116399,3.843952985,5.225190723,3.974108589,5.581445265,4.298175412,5.562648363,4.232751379,5.850596516,4.333374936,5.973173072,4.497669909,6.041266232,4.492544211,4.609217371,2.613255379,0.8121358921,0.2693641116,0.7661642661,close_to_moderate,1.50462606,false,false
DU-N,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-N.mp3,DU-H,14,20,14,6,0,0.6569947399,false,true,true,false,,-3.191974529,0.6638723717,-2.523755809,-6.701616138e-07,-6.241330467,-8.658322552,0.0482830815,17.66577804,0.01220861915,-0.01140899491,-19.13333492,6.280314334,1.954872455,6.085165713,3.478568979,5.48303464,3.78716548,4.815764919,3.553251414,4.709611345,3.145627423,4.794638463,2.924776104,4.59899606,2.780624727,4.290090833,2.77978518,4.561680946,3.045300577,4.854528005,3.184326178,4.545681461,3.072169156,4.39813491,2.861614919,4.496895165,3.065981374,4.621164748,2.989818269,4.68977796,2.981413819,4.78648939,2.961075294,5.084898847,3.072765883,5.10874972,2.928303054,5.562570756,2.982123073,5.61908372,2.581650477,5.977030079,2.588127793,6.277083828,1.718296259,6.342178706,0.9019106166,4.94031896,-1.03041402,1.126441422,0.4539688046,1.030913479,too_far,1.680407764,false,false
PXL-S6,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S6.mp3,DU-H,14,20,13.999,6,-1,0.3458613705,false,false,false,false,,0.7832758104,0.3814715144,-0.6829825141,1.340322534e-06,-6.241330467,-7.599102994,0.04828309268,18.72499573,0.03049239516,-0.006939707324,-15.15808458,6.321730872,3.133782032,5.829515046,4.1165577,5.300862205,3.970403522,5.0796749,3.828514637,4.931502114,3.748331837,4.604177035,3.48828549,4.226469651,3.294793829,4.197822654,3.089535855,4.45494467,3.418824246,4.525153784,3.461703139,4.492232269,3.577557675,4.222488128,3.337356203,4.400381325,3.444434517,4.547843428,3.588868715,4.819365827,3.809403579,4.800936297,3.700536108,5.209440977,4.069812614,5.290839082,4.349688897,5.606023256,4.719617912,5.531257483,4.627824777,5.674750133,4.876544447,5.647215372,5.165600807,5.674480016,5.301295078,4.20582363,3.83156022,0.6315261941,0.2523898398,0.5788995617,too_close,9999,false,false
UCP-A1,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A1.mp3,DU-H,14,20,13.999,6,-1,0.3683306341,false,false,false,false,,-0.1989891626,0.4380141629,-0.9251048902,-1.793649088e-13,-6.241330467,-5.597337978,0.04828308523,20.72676161,0.02432008088,-0.0007502491935,-16.14034955,6.263721366,2.780639256,6.073272077,3.548955043,5.600439316,3.447936837,5.544906025,3.427980108,5.049636597,3.437793561,4.567396364,3.250542797,4.281732607,3.1454597,4.30677579,3.189573333,4.505372932,3.432552639,4.699723495,3.537342661,4.75955404,3.765152287,4.470324377,3.493957652,4.614459776,3.658042646,4.740145934,3.806693258,4.916333819,3.999721328,4.816671365,3.872051626,5.182002968,4.187830314,5.195091728,4.470723191,5.47218961,4.748969725,5.42457868,4.607930686,5.676669941,4.856431396,5.778871122,5.11926337,5.946436706,5.21174537,4.532616057,3.735335567,0.7333157518,0.1188908148,0.7236138238,close_to_moderate,0.1495551987,false,false
