mix,start_seconds,end_seconds,mono_corr,stereo_width_diff_db,crest_diff_db,imbalance,simple_score
QUT-J,38.0,44.0,0.004202307597032421,2.5260601568754986,-1.5268515431757308,-0.026500818484436143,2.043653194720044
PXL-S7,30.0,36.0,0.0031572043775224268,2.313328267722067,2.2485366595720357,-0.012886913895083184,2.047630224041794
McG-C,58.0,64.0,-0.09717895787475848,2.5801445614177556,-0.10578551393994573,-0.004896080454225496,2.060298023549387
DU-L,42.0,48.0,0.6192453198640585,4.01717188989732,0.39625679780598233,-0.028402839304134408,2.0680244646195574
PXL-S3,14.0,20.0,0.005032921748168311,2.589427284617736,1.509582878205915,0.02612227612450447,2.0710852305434186
PXL-S4,54.0,60.0,-0.013067575641722473,2.6076011877785223,1.232052231087252,-0.0018779690813654872,2.074743579835794
McG-C,30.0,36.0,-0.04787697138618634,2.5745384413661743,-0.8865733928983914,-0.0035944604007824912,2.0760091723902185
PXL-S7,10.0,16.0,0.008208136482395573,2.6316602269272984,1.456398522366129,-0.024999768477266673,2.0778736188537774
PXL-S7,54.0,60.0,-0.010724240627890158,1.976893870607352,3.396694600163986,-0.007627237456040395,2.0793996065840545
McG-C,62.0,68.0,-0.12292369379562093,2.4735862378599407,-0.3027172347039411,-0.0028032896061455322,2.0880480917268036
PXL-S2,34.0,40.0,0.016071487830311277,3.0567770957427314,-0.24908891808916422,-0.029166266735741138,2.093608909924118
QUT-A,30.0,36.0,0.001072642605233295,1.6842481966595084,-4.711243948240524,-0.07792787622049567,2.106665405355366
UCP-A4,30.0,36.0,0.12241668227657222,3.1035305720377977,-1.6108266437300252,-0.01941115976921146,2.1085559180252584
QUT-A,22.0,28.0,0.011673470734549914,1.210531476345034,-6.446518535328769,-0.04577084810677587,2.1088965770027324
McG-G,18.0,24.0,0.03155625195400392,2.618466858924819,2.025138544823868,-0.010517880382879298,2.109891707277982
UCP-A4,58.0,64.0,0.30536532497947905,3.9175618668955643,-1.077111137930629,-0.008281506240174302,2.1203476041373763
DU-L,62.0,68.0,0.6163531975171566,3.598017990219896,2.159848996717127,-0.0342885629163428,2.122986344617517
