artist,song,similar_rating_spread,wide_rating_spread,full_six_mix_rating_range,minimum_mean_preference,maximum_mean_preference,median_of_mix_means,minimum_rating_count,maximum_rating_count,all_rated,similar_condition_valid,wide_condition_valid,ordered_prior_mean_ratings,uncertainty_ci_summary,preference_regions_represented,notes
The DoneFors,Lead Me,0.056415128416,0.215558455603,0.25885199709,0.288513454805,0.547365451895,0.338367789757,6,45,true,true,true,DU-E:0.288513|QUT-F:0.320525|PXL-L1:0.331807|DU-D:0.344929|PXL-L4:0.516818|McG-pro2:0.547365,DU-D:0.293875043746-0.395982122695|DU-E:0.245796682216-0.331230227393|QUT-F:0.216056884999-0.424992859478|PXL-L1:0.254175526757-0.409438465827|PXL-L4:0.281501536825-0.752134604811|McG-pro2:0.495827259282-0.598903644508,low|medium|high,"Prior ratings are historical within-song stratification variables, not ground-truth quality scores."
Fredy V,In The Meantime,0.390847391526,0.448325994554,0.448325994554,0.136285256921,0.584611251475,0.479663538825,16,54,true,true,true,DU-K:0.136285|QUT-B:0.169541|DU-N:0.428149|DU-I:0.531178|DU-H:0.560388|QUT-pro:0.584611,QUT-B:0.111135579236-0.227945766051|DU-H:0.511340339981-0.609435788356|DU-I:0.471573593056-0.590782837245|DU-K:0.0959163532267-0.176654160615|QUT-pro:0.466134177326-0.703088325624|DU-N:0.366587742992-0.489709982005,low|medium|high,"Prior ratings are historical within-song stratification variables, not ground-truth quality scores."
Broken Crank,Red To Blue,0.207260722208,0.228365662709,0.269667453641,0.320184670736,0.589852124377,0.479035346986,26,26,true,true,true,McG-F:0.320185|McG-pro1:0.361486|McG-H:0.444789|McG-G:0.513282|McG-B:0.527445|McG-C:0.589852,McG-B:0.430010079753-0.624880706134|McG-G:0.435340928738-0.591222913717|McG-F:0.231772994814-0.408596346657|McG-C:0.498586424446-0.681117824308|McG-H:0.348949500994-0.540628044496|McG-pro1:0.261783933824-0.461188989512,low|medium|high,"Prior ratings are historical within-song stratification variables, not ground-truth quality scores."
The DoneFors,Pouring Room,0.075551855144,0.282128519389,0.425808297579,0.315778789267,0.741587086846,0.425394605934,40,40,true,true,true,McG-T:0.315779|McG-X:0.326821|McG-R:0.391331|McG-U:0.459459|McG-V:0.510319|McG-pro1:0.741587,McG-R:0.294606954059-0.488054334762|McG-T:0.234402259275-0.397155319258|McG-X:0.248789649692-0.404853304332|McG-pro1:0.677670785524-0.805503388168|McG-U:0.383139817355-0.53577731756|McG-V:0.436596419482-0.5840412471,low|medium|high,"Prior ratings are historical within-song stratification variables, not ground-truth quality scores."
