metric,categorical_design,primary_acoustic,primary_acoustic_minus_categorical_design
strict_unique_winner_accuracy,0.2865853658536585,0.2804878048780488,-0.006097560975609706
tie_compatible_accuracy,0.3388888888888889,0.3333333333333333,-0.005555555555555591
top2_hit_rate,0.6,0.6,0.0
mean_spearman,0.3354994736060601,0.33524505599214954,-0.0002544176139105403
mean_ndcg,0.918473986137143,0.9183366989155816,-0.00013728722156147732
mae,23.628764556494577,23.60604798199027,-0.022716574504308085
rmse,28.23092088622385,28.223586295523557,-0.007334590700292409
mean_predicted_winner_probability,0.8318444444444443,0.8310611111111111,-0.000783333333333136
mean_observed_winner_probability_mass,0.3261333333333334,0.32557222222222215,-0.0005611111111112344
mean_entropy,0.44736797103259346,0.4264383307358295,-0.020929640296763974
mean_top2_margin,0.6789277777777778,0.6727833333333333,-0.006144444444444508
