artist,song,rating_condition,original_mix_name,mix_id,stereo_imbalance,absolute_stereo_imbalance,stereo_imbalance_qc_flag,sample_peak_dbfs,true_peak_dbfs,clipped_sample_count,near_clipped_sample_count,clipping_qc_flag,left_rms,right_rms,channel_energy_difference_db,silent_channel_flag,mono_duplicate_flag,phase_correlation,phase_qc_flag,crest_factor_mean,dynamics_qc_flag,duration_seconds,sample_count,decoder_qc_flag,missing_content_flag,boundary_fade_in_ms,boundary_fade_out_ms,boundary_click_qc_flag,alignment_automatic_status,maximum_alignment_offset_ms,technical_qc_status,manual_review_required,qc_reasons,reviewer,reviewer_comments
The DoneFors,Lead Me,Similar Ratings,DU-D,mix_f1f7973e5bac,-0.0521329641342,0.0521329641342,false,-6.22078636515,-6.22078636515,0,0,false,0.0833540782332,0.0791229531169,0.452487302402,false,false,0.7906484255,PASS,13.8143320084,PASS,28,1234800,PASS,false,5,5,PASS,FAIL,46.4399092971,REVIEW,true,alignment_review,,
The DoneFors,Lead Me,Similar Ratings,DU-E,mix_271852ba8676,0.0436125770211,0.0436125770211,false,-5.00246205427,-5.00246205427,0,0,false,0.0591726303101,0.0618114098907,0.378955500725,false,false,0.918406536904,PASS,19.2538223267,PASS,28,1234800,PASS,false,5,5,PASS,FAIL,46.4399092971,REVIEW,true,alignment_review,,
The DoneFors,Lead Me,Similar Ratings,QUT-F,mix_4e2cf7c970a8,0.0952272340655,0.0952272340655,false,-6.83858853862,-6.83858853862,0,0,false,0.0715859681368,0.0787626951933,0.829853322596,false,false,0.916233924332,PASS,15.3614368439,PASS,28,1234800,PASS,false,5,5,PASS,FAIL,46.4399092971,REVIEW,true,alignment_review,,
The DoneFors,Lead Me,Wide Ratings,PXL-L1,mix_d5b28dfc8a93,-0.0129087874666,0.0129087874666,false,-6.23085609022,-6.23085609022,0,0,false,0.0684473663568,0.067571669817,0.111841824597,false,false,0.966468780009,PASS,16.9195213318,PASS,28,1234800,PASS,false,5,5,PASS,FAIL,46.4399092971,REVIEW,true,alignment_review,,
The DoneFors,Lead Me,Wide Ratings,PXL-L4,mix_c7d9a071ba25,0.109930999577,0.109930999577,false,-7.20442489316,-7.20442489316,0,0,false,0.0645270124078,0.0720564201474,0.958622484749,false,false,0.745080910937,PASS,15.6746520996,PASS,28,1234800,PASS,false,5,5,PASS,FAIL,46.4399092971,REVIEW,true,alignment_review,,
The DoneFors,Lead Me,Wide Ratings,McG-pro2,mix_d3e3580b6e30,-0.00143597240094,0.00143597240094,false,-1.97546644827,-1.97546644827,0,0,false,0.0754118934274,0.0753025561571,0.0126025292469,false,false,0.924415321237,PASS,20.1463222504,PASS,28,1234800,PASS,false,5,5,PASS,FAIL,46.4399092971,REVIEW,true,alignment_review,,
Fredy V,In The Meantime,Similar Ratings,QUT-B,mix_c7bdcba64775,0.000562923552934,0.000562923552934,false,-6.37127994269,-6.37127994269,0,0,false,0.0644965916872,0.0645328983665,0.00488812003011,false,false,0.998913573179,PASS,17.366355896,PASS,28,1234800,PASS,false,5,5,PASS,FAIL,34.8299319728,REVIEW,true,alignment_review,,
Fredy V,In The Meantime,Similar Ratings,DU-H,mix_302f0efe8a80,0.0354086197913,0.0354086197913,false,-3.2377331524,-3.2377331524,0,0,false,0.0760618299246,0.078804589808,0.307694863463,false,false,0.918434382594,PASS,18.601518631,PASS,28,1234800,PASS,false,5,5,PASS,FAIL,34.8299319728,REVIEW,true,alignment_review,,
Fredy V,In The Meantime,Similar Ratings,DU-I,mix_9baa86357fd4,-0.0380811542273,0.0380811542273,false,-0.907077946224,-0.907077946224,0,0,false,0.0644140541553,0.0620063990355,0.330882464882,false,false,0.769053773575,PASS,22.9316368103,PASS,28,1234800,PASS,false,5,5,PASS,FAIL,34.8299319728,REVIEW,true,alignment_review,,
Fredy V,In The Meantime,Wide Ratings,DU-K,mix_56e65a3ce054,0.0170408543199,0.0170408543199,false,-0.0872955014284,-0.0872955014284,0,2,false,0.067103177309,0.0682565569878,0.148025867777,false,false,0.727622137013,PASS,22.5979270935,PASS,28,1234800,PASS,false,5,5,PASS,FAIL,34.8299319728,REVIEW,true,near_clipped_samples|loudness_normalisation_review,,
Fredy V,In The Meantime,Wide Ratings,QUT-pro,mix_cdaef40f2b94,-0.0385963246226,0.0385963246226,false,-9.06103913558,-9.06103913558,0,0,false,0.0694580674171,0.0668258517981,0.335563844693,false,false,0.649792108895,PASS,14.1143035889,PASS,28,1234800,PASS,false,5,5,PASS,FAIL,34.8299319728,REVIEW,true,alignment_review,,
Fredy V,In The Meantime,Wide Ratings,DU-N,mix_29131e66c9d7,-0.0127661842853,0.0127661842853,false,-6.50853548494,-6.50853548494,0,0,false,0.0698032975197,0.0689176246524,0.110912776386,false,false,0.903923408434,PASS,16.6369094849,PASS,28,1234800,PASS,false,5,5,PASS,FAIL,34.8299319728,REVIEW,true,alignment_review,,
Broken Crank,Red To Blue,Similar Ratings,McG-B,mix_7ac13e0b6376,0.126785472035,0.126785472035,true,-5.35612524096,-5.35612524096,0,0,false,0.0646418482065,0.0734312459826,1.10734264636,false,false,0.769527600127,PASS,17.6194152832,PASS,28,1234800,PASS,false,5,5,PASS,REVIEW,11.6099773243,REVIEW,true,stereo_imbalance_qc_flag,,
Broken Crank,Red To Blue,Similar Ratings,McG-G,mix_b4b312ffa4d6,0.00244334270246,0.00244334270246,false,-7.34814549927,-7.34814549927,0,0,false,0.0696563348174,0.0698286518455,0.0214607677226,false,false,0.881636760567,PASS,15.4310493469,PASS,28,1234800,PASS,false,5,5,PASS,REVIEW,11.6099773243,REVIEW,true,alignment_review,,
Broken Crank,Red To Blue,Similar Ratings,McG-F,mix_dcc6aef84d67,0.0995422303677,0.0995422303677,false,-8.89716078993,-8.89716078993,0,0,false,0.0645302087069,0.0713073983788,0.86743043909,false,false,0.603289495627,PASS,14.4258899689,PASS,28,1234800,PASS,false,5,5,PASS,REVIEW,11.6099773243,REVIEW,true,alignment_review,,
Broken Crank,Red To Blue,Wide Ratings,McG-C,mix_5143d2ee3859,0.00644245976582,0.00644245976582,false,-6.51482406291,-6.51482406291,0,0,false,0.0709785446525,0.0714398026466,0.0562631166095,false,false,0.818928955179,PASS,16.3483963013,PASS,28,1234800,PASS,false,5,5,PASS,REVIEW,11.6099773243,REVIEW,true,alignment_review,,
Broken Crank,Red To Blue,Wide Ratings,McG-H,mix_5b76bf1a027d,-0.0336204059422,0.0336204059422,false,-8.92667005136,-8.92667005136,0,0,false,0.0688012242317,0.0665265768766,0.292019772442,false,false,0.799578535205,PASS,14.4373073578,PASS,28,1234800,PASS,false,5,5,PASS,REVIEW,11.6099773243,REVIEW,true,alignment_review,,
Broken Crank,Red To Blue,Wide Ratings,McG-pro1,mix_808780e357c9,-0.00970399286598,0.00970399286598,false,-6.61589249558,-6.61589249558,0,0,false,0.0700379610062,0.0693607479334,0.0843945303732,false,false,0.955969248844,PASS,15.9809007645,PASS,28,1234800,PASS,false,5,5,PASS,REVIEW,11.6099773243,REVIEW,true,alignment_review,,
The DoneFors,Pouring Room,Similar Ratings,McG-R,mix_0ba76f420c1d,-0.0638295859098,0.0638295859098,false,-5.8327293392,-5.8327293392,0,0,false,0.0710797980428,0.0666815713048,0.55480720123,false,false,0.744621280341,PASS,16.5152053833,PASS,28,1234800,PASS,false,5,5,PASS,FAIL,58.0498866213,REVIEW,true,alignment_review,,
