song,retained_mix_count,rated_retained_mix_count,unrated_retained_mix_count,acoustic_candidate_pool_size,rated_acoustic_pool_count,unrated_acoustic_pool_count,total_rating_rows,rating_count_minimum,rating_count_median,rating_count_maximum,mixes_below_warning_threshold,evaluator_institutions_represented,years_represented,sessions_represented,experiments_represented
In The Meantime,36,35,1,20,20,0,949,0,20,65,1,DU|McG|PXL|QM|QUT|SMC|UCP,2015|2017,111,7
Lead Me,37,36,1,20,20,0,1030,0,30,77,1,CNS|DU|McG|PXL|QM|QUT|SMC|UCP,2013|2015|2017,122,8
Pouring Room,9,8,1,9,8,1,320,0,40,40,1,McG|QM|SMC,2015,40,3
Red To Blue,10,9,1,10,9,1,234,0,26,26,1,McG|QM|SMC,2014|2015,26,3
