model_name,term,mean,sd,hdi_3,hdi_97,mcse,mcse_sd,ess_bulk,ess_tail,r_hat
si_sensitivity,Intercept,46.255,5.928,35.065,57.477,0.152,0.134,1522.0,1862.0,1.0
si_sensitivity,episode[EDR-2],2.219,2.082,-1.693,6.051,0.028,0.03,5469.0,3396.0,1.0
si_sensitivity,episode[FM-1],-6.688,2.075,-10.481,-2.746,0.029,0.032,5111.0,3272.0,1.0
si_sensitivity,group[group_02],14.069,8.982,-2.838,31.087,0.259,0.212,1234.0,1435.0,1.0
si_sensitivity,z_RMS,4.964,2.923,-0.121,10.759,0.07,0.06,1763.0,1645.0,1.01
si_sensitivity,z_CF,-5.791,3.26,-11.972,0.402,0.081,0.073,1621.0,1323.0,1.0
si_sensitivity,z_SW,-2.854,3.092,-8.393,3.107,0.076,0.069,1680.0,1848.0,1.0
si_sensitivity,z_SI,-2.089,3.277,-7.891,4.337,0.08,0.06,1692.0,1934.0,1.0
