scenario,transition,from_n,to_n,cell_mean_rmse_change,winner_accuracy_change,true_winner_probability_change,uncertainty_width_change,coverage_change,operational_success_rate_change
higher_noise_moderate_effects,20 -> 30,20,30,-0.3343302382543385,0.012500000000000067,0.021265624999999844,-1.5648049814530545,0.022499999999999964,-0.09999999999999998
higher_noise_moderate_effects,30 -> 40,30,40,-0.21424320321374735,0.0025000000000000577,0.01296562499999998,-1.3289019853398898,-0.014166666666666772,-0.09999999999999998
higher_noise_moderate_effects,40 -> 50,40,50,-0.5799269504940332,0.0024999999999998357,0.016221875000000052,-0.6832961780083497,0.060833333333333406,-0.2
higher_noise_moderate_effects,50 -> 60,50,60,-0.04053728673563328,0.01000000000000012,0.004031250000000153,-0.5193855885947354,-0.022499999999999964,-0.25
higher_noise_moderate_effects,60 -> 80,60,80,0.17536067240128816,-0.02000000000000013,0.0006812499999998556,-0.9855309622088075,-0.0625,0.14999999999999997
moderate_effects,20 -> 30,20,30,-0.36141440636126765,-0.015000000000000013,0.007637500000000075,-1.5829413372734171,0.010833333333333361,-0.09999999999999998
moderate_effects,30 -> 40,30,40,-0.03816436720452265,0.022500000000000187,0.02140625000000007,-0.7514383024730105,-0.03166666666666662,-0.09999999999999998
moderate_effects,40 -> 50,40,50,-0.31093741549519227,-0.007500000000000173,-0.004590625000000181,-0.555729850526749,0.016666666666666607,-0.30000000000000004
moderate_effects,50 -> 60,50,60,0.18513782877341867,-0.0024999999999999467,0.005484374999999986,-0.46236559729124416,-0.07333333333333325,0.15000000000000002
moderate_effects,60 -> 80,60,80,-0.4770501886540972,0.02499999999999991,0.015965625000000205,-0.6728771471412154,0.0774999999999999,0.0
smaller_effects_harder_study,20 -> 30,20,30,-0.19755214199979343,0.02000000000000013,0.03384374999999984,-1.3821931775415255,-0.009166666666666656,-0.30000000000000004
smaller_effects_harder_study,30 -> 40,30,40,0.01769067652680545,0.03749999999999998,0.03689687500000005,-1.021169718032672,-0.0658333333333333,-0.15000000000000002
smaller_effects_harder_study,40 -> 50,40,50,-0.1974125001193736,-0.025000000000000022,-0.013121874999999839,-0.7102561459609387,0.02416666666666667,0.0
smaller_effects_harder_study,50 -> 60,50,60,-0.1409179382368868,0.0025000000000000577,0.01838749999999989,-0.45946982810703574,0.0025000000000000577,0.0
smaller_effects_harder_study,60 -> 80,60,80,-0.06695805144800171,0.03500000000000003,0.01789062500000005,-0.49322558384961557,-0.02750000000000008,0.0
