run_tag,config_hash,scenario,participant_count,replication,seed,divergences,max_rhat,min_ess,operational_success,strict_convergence,episode_specific_interaction_slope_bias_mean,episode_specific_interaction_slope_mae,episode_specific_interaction_slope_rmse,episode_specific_interaction_slope_coverage,episode_specific_interaction_slope_sign_recovery,episode_specific_interaction_slope_hdi_width_mean,main_effect_bias_mean,main_effect_mae,main_effect_rmse,main_effect_coverage,main_effect_sign_recovery,main_effect_hdi_width_mean,coefficient_rmse,coefficient_coverage,coefficient_sign_recovery,coefficient_hdi_width_mean,cell_mean_rmse,cell_mean_mae,cell_mean_coverage,average_cell_hdi_width,winner_accuracy,mean_probability_true_winner,true_winner_probability_gt_0_50_rate,true_winner_tie_count,rows,clipped_ratings,failed,error_type,error_summary,warning_count,warning_summary,elapsed_seconds
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,1,325501,0,1.02,115.0,True,False,-0.1947426592835936,0.933941697669948,1.0352265968144765,1.0,0.9,4.626102070491127,0.1170062776334575,0.4791455572018518,0.5223813599083017,1.0,1.0,3.3721751888291105,0.918401958693135,1.0,0.9285714285714286,4.267837247159123,3.028815442036311,2.661982152871849,0.9666666666666668,9.818286568566815,0.9,0.8349374999999999,0.9,0,600,1,False,,,0,,5.957088232040405
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,2,325502,0,1.06,54.0,False,False,-0.2357870400331486,0.8043469704476726,1.2087396452775694,0.9,1.0,4.589287865524685,0.6275181510377384,1.2685903164167829,1.5592416562875708,0.75,0.75,3.222067098326051,1.318425832776862,0.8571428571428571,0.9285714285714286,4.19865336061079,3.279767136625039,2.820237052927778,0.9333333333333332,11.976913652385065,0.8,0.7419999999999999,0.75,0,600,11,False,,,0,,6.094913005828857
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,3,325503,0,1.02,66.0,True,False,-0.1096301771549317,0.5359116789727432,0.6572367239128104,1.0,0.9,4.713774823927743,0.5341297828362712,0.5360578461594465,0.7365837610217334,1.0,1.0,3.198190955298488,0.6808515498256642,1.0,0.9285714285714286,4.2807508614622405,1.3541413356998486,1.1114850921636157,1.0,12.597766955764728,0.9,0.8575000000000002,0.9,0,600,13,False,,,0,,6.920064687728882
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,4,325504,0,1.01,196.0,True,True,0.116325163024546,0.7702700483155447,0.8694937695322885,1.0,0.9,4.73917118994668,0.0236343721211715,0.5851603973080801,0.6905889470146697,1.0,1.0,3.33525911665366,0.822359259670006,1.0,0.9285714285714286,4.338053454720103,2.037202869611766,1.4942887200104369,0.9833333333333332,8.427946144947239,0.95,0.8488125,0.95,0,600,3,False,,,0,,6.45663595199585
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,5,325505,0,1.01,78.0,True,False,0.0021903506524731,1.1603341234558144,1.4512920206171875,0.9,0.9,4.461539048190863,0.2121156802405883,0.839714304962573,1.0968963443282318,0.75,0.75,3.0836972315388227,1.3594960109192185,0.8571428571428571,0.8571428571428571,4.067869957718852,3.5732646453664003,2.9861627578202965,0.8833333333333333,11.015207195819734,0.85,0.85125,0.85,0,600,16,False,,,0,,6.304084777832031
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,6,325506,0,1.02,94.0,True,False,0.4487391169279471,1.5320974312488147,1.7138991348691943,0.9,0.7,4.773158105363732,0.9014368704774588,1.3497673193358837,1.79393524004776,0.5,0.75,3.269036884944078,1.7371429135014151,0.7857142857142857,0.7142857142857143,4.34340918524383,2.1536410059507114,1.6922763487548669,0.9833333333333332,10.145946602847886,0.8,0.8059375000000001,0.8,0,600,6,False,,,0,,5.675365686416626
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,7,325507,0,1.01,152.0,True,True,-0.3029934890944624,0.7504185677602785,0.8110439252240321,1.0,0.9,4.479879898824881,-0.1357500379425048,0.5858903250575057,0.7138982407933037,1.0,1.0,3.2170526096456853,0.7845164697924789,1.0,0.9285714285714286,4.119072101916539,4.922128982259342,4.747096113370926,0.4166666666666667,8.9360941400251,0.9,0.8214375,0.9,0,600,1,False,,,0,,5.5527777671813965
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,8,325508,0,1.02,122.0,True,False,0.0161572728436317,1.024867561790282,1.412944357792832,0.9,0.8,4.512713467404774,0.071981041091611,0.2291778767510796,0.2897611341090887,1.0,1.0,3.13807474913988,1.204158379519747,0.9285714285714286,0.8571428571428571,4.119959547900518,2.0478119952429883,1.3973658343219169,0.9333333333333332,10.287923809557068,0.8,0.7685625,0.8,0,600,9,False,,,0,,8.065486192703247
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,9,325509,0,1.03,108.0,True,False,0.2058028011843517,1.0686725200381173,1.2302055025906489,1.0,0.9,4.791889861220454,0.2475998783848162,0.9308624398280444,1.0562629451667618,0.75,0.75,3.362265039283425,1.183120010316927,0.9285714285714286,0.8571428571428571,4.383425626381303,2.007605888137531,1.6615940330181649,1.0,11.394262841111535,0.85,0.853875,0.85,0,600,17,False,,,0,,5.602853059768677
phase3c_final_highrep_v1,350ccb9c668fdd57,higher_noise_moderate_effects,20,10,325510,0,1.04,79.0,True,False,0.4026081940194851,0.8386800583910207,1.1260312203504832,1.0,0.7,4.54395178366405,0.4038146215080462,0.7629546581562088,1.0055706614422129,1.0,0.75,3.1965461529061803,1.0929694974391455,1.0,0.7142857142857143,4.158978746304659,3.800453256672507,3.3716595334207216,0.9166666666666666,11.246425578104292,0.8,0.7957500000000002,0.8,0,600,27,False,,,0,,5.705190658569336
