model_name,group,episode,song_id,stimulus_id,mix_id,z_RMS,z_CF,z_SW,mean,median,sd,hdi_3,hdi_97,probability_above_zero,probability_below_zero
primary_feature,group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s1,mix_9ffcd672af17,-0.5659114167269081,-0.579304038497624,-0.4851205015292653,50.18407206094095,50.26004678179255,4.899231079021861,40.908382927972596,59.10016593491787,1.0,0.0
primary_feature,group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s2,mix_6f8b655d7999,0.5329997864789321,-1.1874673519330532,-0.7637519766505488,61.89978537771937,61.9887506002451,5.013600420916631,51.4995411322004,70.50823134746814,1.0,0.0
primary_feature,group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s3,mix_65f41f41d3ab,0.3234844364321996,-1.065060189455143,-1.1651773700507613,57.08707053800073,57.20383117080589,5.000519172696202,47.528013306414344,66.233826119622,1.0,0.0
primary_feature,group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,-0.3583378408524605,-0.1527662554529231,0.7972705919658362,44.44223338222096,44.423633068330275,4.93626740668453,34.71183614394176,53.02911669335593,1.0,0.0
primary_feature,group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s7,mix_b393d3919c78,-0.867056238017743,-0.6188407399054331,-0.3229009373128245,51.269289472629744,51.326401058104295,5.010453673755597,41.5941998560716,60.639817207824166,1.0,0.0
primary_feature,group_01,EDR-1,lead_me,lead_me_du_d,mix_f1f7973e5bac,0.7402857811167308,-1.548717422055362,0.3280479404435016,54.29192614017642,54.36256998580194,4.994204745798854,45.22597063976133,63.970845774350956,1.0,0.0
primary_feature,group_01,EDR-1,lead_me,lead_me_du_e,mix_271852ba8676,-1.0250576971995913,0.5199952869185839,-0.8666083508697964,36.72365809322312,36.772258690961834,4.988545624679475,27.783671490896985,46.35927814849123,1.0,0.0
primary_feature,group_01,EDR-1,lead_me,lead_me_mcg_pro2,mix_d3e3580b6e30,2.9805308263561203,0.8594252384169624,-0.9263284806752846,60.70837633766382,60.62795335451945,4.9204608590134855,51.0658855477664,69.73203521354408,1.0,0.0
primary_feature,group_01,EDR-1,lead_me,lead_me_pxl_l1,mix_d5b28dfc8a93,-0.0024436394808062,-0.3677713699084406,-1.2816942263900757,47.53488924554212,47.50891553053746,4.964172692792599,38.344026994832866,56.80407254532874,1.0,0.0
primary_feature,group_01,EDR-1,lead_me,lead_me_pxl_l4,mix_c7d9a071ba25,-0.0552007785055364,-0.8412121981784734,0.8321106863211235,48.70036337919199,48.764962213705005,4.896063402075537,39.658055847217256,57.90334445321526,1.0,0.0
primary_feature,group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s1,mix_9ffcd672af17,-0.5659114167269081,-0.579304038497624,-0.4851205015292653,52.34687606480662,52.453061565469554,4.940879215776466,42.42808735184634,61.19492849253,1.0,0.0
primary_feature,group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s2,mix_6f8b655d7999,0.5329997864789321,-1.1874673519330532,-0.7637519766505488,64.06258938158506,64.10165400683087,4.956396429108502,54.04471884223908,72.75546938707777,1.0,0.0
primary_feature,group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s3,mix_65f41f41d3ab,0.3234844364321996,-1.065060189455143,-1.1651773700507613,59.249874541866404,59.37265203428121,5.062211736319529,49.94426234006491,68.76760474875317,1.0,0.0
primary_feature,group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,-0.3583378408524605,-0.1527662554529231,0.7972705919658362,46.60503738608665,46.676312308840025,4.953859698394292,37.32395866921268,55.82687504526231,1.0,0.0
primary_feature,group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s7,mix_b393d3919c78,-0.867056238017743,-0.6188407399054331,-0.3229009373128245,53.43209347649543,53.38935649443222,5.00557473848367,44.13031410931309,62.88176842610039,1.0,0.0
primary_feature,group_01,EDR-2,lead_me,lead_me_du_d,mix_f1f7973e5bac,0.7402857811167308,-1.548717422055362,0.3280479404435016,56.45473014404212,56.516620840639405,5.074573492815719,47.89369237397962,66.7938809834638,1.0,0.0
primary_feature,group_01,EDR-2,lead_me,lead_me_du_e,mix_271852ba8676,-1.0250576971995913,0.5199952869185839,-0.8666083508697964,38.886462097088796,38.97120675807939,5.014231214178094,28.632574940835212,47.487782140239204,1.0,0.0
primary_feature,group_01,EDR-2,lead_me,lead_me_mcg_pro2,mix_d3e3580b6e30,2.9805308263561203,0.8594252384169624,-0.9263284806752846,62.8711803415295,62.8945804879002,4.925837937430115,53.56506109572682,72.15533101293809,1.0,0.0
primary_feature,group_01,EDR-2,lead_me,lead_me_pxl_l1,mix_d5b28dfc8a93,-0.0024436394808062,-0.3677713699084406,-1.2816942263900757,49.697693249407806,49.773013319538784,4.989150238360901,40.227183978570494,58.84067560800916,1.0,0.0
primary_feature,group_01,EDR-2,lead_me,lead_me_pxl_l4,mix_c7d9a071ba25,-0.0552007785055364,-0.8412121981784734,0.8321106863211235,50.86316738305768,50.91227617681403,4.92418497232777,41.045749442350846,59.6908453438761,1.0,0.0
primary_feature,group_01,FM-1,id_like_to_know,id_like_to_know_pxl_s1,mix_9ffcd672af17,-0.5659114167269081,-0.579304038497624,-0.4851205015292653,43.88065236837825,43.849781876385,4.945370738637124,33.51303896710296,52.383539005121186,1.0,0.0
primary_feature,group_01,FM-1,id_like_to_know,id_like_to_know_pxl_s2,mix_6f8b655d7999,0.5329997864789321,-1.1874673519330532,-0.7637519766505488,55.59636568515668,55.64429373581331,4.998010134694146,46.056405118143644,64.7035766717412,1.0,0.0
primary_feature,group_01,FM-1,id_like_to_know,id_like_to_know_pxl_s3,mix_65f41f41d3ab,0.3234844364321996,-1.065060189455143,-1.1651773700507613,50.78365084543804,50.84602013364372,4.983755359750114,41.065978232883126,59.9018958391972,1.0,0.0
