model_name,term,mean,sd,hdi_3,hdi_97,mcse,mcse_sd,ess_bulk,ess_tail,r_hat
si_sensitivity,Intercept,47.178,5.671,36.541,57.917,0.143,0.138,1592.0,2052.0,1.0
si_sensitivity,episode[EDR-2],2.184,2.277,-2.153,6.328,0.033,0.041,4820.0,2782.0,1.0
si_sensitivity,episode[FM-1],-6.263,2.266,-10.468,-2.1,0.032,0.04,4898.0,3053.0,1.0
si_sensitivity,group[group_02],15.35,8.687,-1.02,31.776,0.225,0.209,1493.0,1675.0,1.0
si_sensitivity,z_RMS,5.338,2.862,-0.388,10.489,0.064,0.067,1984.0,2210.0,1.0
si_sensitivity,z_CF,-5.933,3.246,-12.093,0.125,0.074,0.068,1874.0,2137.0,1.0
si_sensitivity,z_SW,-3.194,3.081,-9.228,2.284,0.073,0.067,1822.0,1811.0,1.0
si_sensitivity,z_SI,-1.642,3.351,-7.775,4.519,0.078,0.12,1878.0,1820.0,1.0
