model_name,term,mean,sd,hdi_3,hdi_97,mcse,mcse_sd,ess_bulk,ess_tail,r_hat
primary_feature,1|participant_id_sigma,11.644,1.987,8.158,15.346,0.063,0.039,1010.0,1560.0,1.0
primary_feature,1|stimulus_id_sigma,10.714,2.534,6.499,15.647,0.076,0.063,1127.0,1662.0,1.0
primary_feature,sigma,27.474,0.68,26.161,28.713,0.01,0.01,4977.0,3214.0,1.0
si_sensitivity,1|participant_id_sigma,11.675,1.992,8.214,15.435,0.056,0.043,1279.0,1875.0,1.0
si_sensitivity,1|stimulus_id_sigma,11.316,2.874,6.846,16.663,0.087,0.11,1201.0,1728.0,1.0
si_sensitivity,sigma,27.452,0.662,26.217,28.647,0.009,0.011,5199.0,2821.0,1.0
