song_id,episode,stimulus_id,observed_credit,observed_winner_rows,observed_tie_rows,human_trials,observed_share_fractional_ties,posterior_probability_highest,is_final_predicted_winner,model_winner_stimulus_id,observed_top_stimulus_id,in_sample_descriptive_agreement,comparison_scope
in_the_meantime,FM-1,in_the_meantime_du_i,3.45,5.0,2.0,14.0,0.24642857142857144,0.003,False,in_the_meantime_du_h,in_the_meantime_du_h,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
in_the_meantime,FM-1,in_the_meantime_du_k,1.2,2.0,1.0,14.0,0.08571428571428572,0.0,False,in_the_meantime_du_h,in_the_meantime_du_h,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
in_the_meantime,FM-1,in_the_meantime_qut_b,0.45,2.0,2.0,14.0,0.03214285714285715,0.0,False,in_the_meantime_du_h,in_the_meantime_du_h,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,EDR-1,lead_me_mcg_pro2,6.0,6.0,0.0,16.0,0.375,0.8765,True,lead_me_mcg_pro2,lead_me_mcg_pro2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,EDR-1,lead_me_du_d,4.0,4.0,0.0,16.0,0.25,0.11325,False,lead_me_mcg_pro2,lead_me_mcg_pro2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,EDR-1,lead_me_pxl_l4,3.0,3.0,0.0,16.0,0.1875,0.00775,False,lead_me_mcg_pro2,lead_me_mcg_pro2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,EDR-1,lead_me_pxl_l1,3.0,3.0,0.0,16.0,0.1875,0.0025,False,lead_me_mcg_pro2,lead_me_mcg_pro2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,EDR-1,lead_me_du_e,0.0,0.0,0.0,,0.0,0.0,False,lead_me_mcg_pro2,lead_me_mcg_pro2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,EDR-2,lead_me_mcg_pro2,4.333333333333333,5.0,1.0,16.0,0.2708333333333333,0.8765,True,lead_me_mcg_pro2,lead_me_mcg_pro2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,EDR-2,lead_me_du_d,4.0,4.0,0.0,16.0,0.25,0.11325,False,lead_me_mcg_pro2,lead_me_mcg_pro2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,EDR-2,lead_me_pxl_l4,1.5,2.0,1.0,16.0,0.09375,0.00775,False,lead_me_mcg_pro2,lead_me_mcg_pro2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,EDR-2,lead_me_pxl_l1,3.833333333333333,5.0,2.0,16.0,0.23958333333333331,0.0025,False,lead_me_mcg_pro2,lead_me_mcg_pro2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,EDR-2,lead_me_du_e,2.3333333333333335,3.0,1.0,16.0,0.14583333333333334,0.0,False,lead_me_mcg_pro2,lead_me_mcg_pro2,True,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,FM-1,lead_me_mcg_pro2,5.0,5.0,0.0,16.0,0.3125,0.8765,True,lead_me_mcg_pro2,lead_me_du_d,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,FM-1,lead_me_du_d,6.0,6.0,0.0,16.0,0.375,0.11325,False,lead_me_mcg_pro2,lead_me_du_d,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,FM-1,lead_me_pxl_l4,2.0,2.0,0.0,16.0,0.125,0.00775,False,lead_me_mcg_pro2,lead_me_du_d,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,FM-1,lead_me_pxl_l1,2.0,2.0,0.0,16.0,0.125,0.0025,False,lead_me_mcg_pro2,lead_me_du_d,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
lead_me,FM-1,lead_me_du_e,1.0,1.0,0.0,16.0,0.0625,0.0,False,lead_me_mcg_pro2,lead_me_du_d,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
pouring_room,EDR-1,pouring_room_mcg_r,4.4,6.0,2.0,14.0,0.31428571428571433,0.60175,True,pouring_room_mcg_r,pouring_room_mcg_pro1,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
pouring_room,EDR-1,pouring_room_mcg_pro1,4.4,6.0,2.0,14.0,0.31428571428571433,0.398,False,pouring_room_mcg_r,pouring_room_mcg_pro1,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
pouring_room,EDR-1,pouring_room_mcg_v,4.4,6.0,2.0,14.0,0.31428571428571433,0.00025,False,pouring_room_mcg_r,pouring_room_mcg_pro1,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
pouring_room,EDR-1,pouring_room_mcg_t,0.4,2.0,2.0,14.0,0.028571428571428574,0.0,False,pouring_room_mcg_r,pouring_room_mcg_pro1,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
pouring_room,EDR-1,pouring_room_mcg_x,0.4,2.0,2.0,14.0,0.028571428571428574,0.0,False,pouring_room_mcg_r,pouring_room_mcg_pro1,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
pouring_room,EDR-2,pouring_room_mcg_r,4.733333333333333,7.0,3.0,14.0,0.3380952380952381,0.60175,True,pouring_room_mcg_r,pouring_room_mcg_pro1,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
pouring_room,EDR-2,pouring_room_mcg_pro1,5.4,7.0,2.0,14.0,0.38571428571428573,0.398,False,pouring_room_mcg_r,pouring_room_mcg_pro1,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
pouring_room,EDR-2,pouring_room_mcg_v,0.7333333333333334,3.0,3.0,14.0,0.05238095238095238,0.00025,False,pouring_room_mcg_r,pouring_room_mcg_pro1,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
pouring_room,EDR-2,pouring_room_mcg_t,1.7333333333333334,4.0,3.0,14.0,0.12380952380952381,0.0,False,pouring_room_mcg_r,pouring_room_mcg_pro1,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
pouring_room,EDR-2,pouring_room_mcg_x,1.4,3.0,2.0,14.0,0.09999999999999999,0.0,False,pouring_room_mcg_r,pouring_room_mcg_pro1,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
pouring_room,FM-1,pouring_room_mcg_r,3.4,5.0,2.0,14.0,0.24285714285714285,0.60175,True,pouring_room_mcg_r,pouring_room_mcg_x,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
pouring_room,FM-1,pouring_room_mcg_pro1,2.4,4.0,2.0,14.0,0.17142857142857143,0.398,False,pouring_room_mcg_r,pouring_room_mcg_x,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
pouring_room,FM-1,pouring_room_mcg_v,2.4,4.0,2.0,14.0,0.17142857142857143,0.00025,False,pouring_room_mcg_r,pouring_room_mcg_x,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
pouring_room,FM-1,pouring_room_mcg_t,0.4,2.0,2.0,14.0,0.028571428571428574,0.0,False,pouring_room_mcg_r,pouring_room_mcg_x,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
pouring_room,FM-1,pouring_room_mcg_x,5.4,7.0,2.0,14.0,0.38571428571428573,0.0,False,pouring_room_mcg_r,pouring_room_mcg_x,False,in-sample descriptive agreement; not out-of-sample predictive accuracy
