group,episode,song_id,stimulus_id,mix_id,mean,median,sd,hdi_3,hdi_97,probability_above_zero,probability_below_zero
group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s1,mix_9ffcd672af17,49.30421659715722,49.316156655021786,4.945239098956189,40.52992273775965,59.626596008907065,1.0,0.0
group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s2,mix_6f8b655d7999,59.92288233267769,59.968560698051334,4.859092451286651,51.01033774254371,69.16682599556161,1.0,0.0
group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s3,mix_65f41f41d3ab,55.679148340516605,55.86958686221572,4.929633503745706,46.518277144112226,65.21632578269289,1.0,0.0
group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,43.84852981905446,43.934818295468204,4.873860153048974,34.360550561783576,52.63342062781585,1.0,0.0
group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s7,mix_b393d3919c78,53.36364866431238,53.35821863163996,4.905980496272599,43.87835141916182,62.590178195366015,1.0,0.0
group_01,EDR-1,lead_me,lead_me_du_d,mix_f1f7973e5bac,52.65531151402107,52.58113334393973,4.771336210814386,43.60463993905649,61.69821522434597,1.0,0.0
group_01,EDR-1,lead_me,lead_me_du_e,mix_271852ba8676,36.74596858358774,36.80271639336182,5.020769725665489,27.50873855093325,46.03893004994077,1.0,0.0
group_01,EDR-1,lead_me,lead_me_mcg_pro2,mix_d3e3580b6e30,58.46372616917969,58.46908282087361,4.894574925319314,49.819871619100965,68.32881858536935,1.0,0.0
group_01,EDR-1,lead_me,lead_me_pxl_l1,mix_d5b28dfc8a93,45.07957623270639,45.06926224600943,4.895864902696839,35.161788025599286,53.57387574037855,1.0,0.0
group_01,EDR-1,lead_me,lead_me_pxl_l4,mix_c7d9a071ba25,47.84512098846592,47.888774694327076,4.882669323803892,38.732295068421834,57.05252650957663,1.0,0.0
group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s1,mix_9ffcd672af17,51.50667671755941,51.600102353071854,4.927255231935904,42.4801693492195,61.35873076887268,1.0,0.0
group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s2,mix_6f8b655d7999,62.12534245307987,62.17560605989014,4.943485187026642,52.56460527641692,71.38279136095105,1.0,0.0
group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s3,mix_65f41f41d3ab,57.881608460918784,57.96926960403464,4.962084295056309,48.29239366611135,66.75483756536597,1.0,0.0
group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,46.05098993945664,46.08788096650588,4.9199759794089015,37.243338269970565,55.85174825446345,1.0,0.0
group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s7,mix_b393d3919c78,55.56610878471455,55.63539557233719,4.894795196847865,47.058289179339305,65.5236193074455,1.0,0.0
group_01,EDR-2,lead_me,lead_me_du_d,mix_f1f7973e5bac,54.857771634423244,54.83007398973117,4.767859394274643,45.9758762453681,63.949606305948826,1.0,0.0
group_01,EDR-2,lead_me,lead_me_du_e,mix_271852ba8676,38.948428703989904,38.908594366843374,5.008416450001496,29.866746917196817,48.27854995406582,1.0,0.0
group_01,EDR-2,lead_me,lead_me_mcg_pro2,mix_d3e3580b6e30,60.666186289581866,60.636261606993415,4.879958547166591,51.105889345839856,69.60620620130271,1.0,0.0
group_01,EDR-2,lead_me,lead_me_pxl_l1,mix_d5b28dfc8a93,47.28203635310856,47.217192476596864,4.893111911090755,38.08821010482809,56.240292198468495,1.0,0.0
group_01,EDR-2,lead_me,lead_me_pxl_l4,mix_c7d9a071ba25,50.0475811088681,50.002140878842404,4.903530293422626,40.85020771340944,59.15077218746029,1.0,0.0
group_01,FM-1,id_like_to_know,id_like_to_know_pxl_s1,mix_9ffcd672af17,42.628749651081485,42.62761711360827,4.9842126714662145,33.02831158209521,52.10836727495922,1.0,0.0
group_01,FM-1,id_like_to_know,id_like_to_know_pxl_s2,mix_6f8b655d7999,53.24741538660195,53.389326147019744,4.852923729142998,44.45460086507646,62.4523849128361,1.0,0.0
group_01,FM-1,id_like_to_know,id_like_to_know_pxl_s3,mix_65f41f41d3ab,49.003681394440854,49.053405686833415,4.954388363948153,39.91749333773364,58.343043325502194,1.0,0.0
group_01,FM-1,id_like_to_know,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,37.17306287297871,37.28766369202373,4.950104373323898,28.039312698137568,46.38548603184986,1.0,0.0
group_01,FM-1,id_like_to_know,id_like_to_know_pxl_s7,mix_b393d3919c78,46.68818171823662,46.69467439448887,4.9537376473700085,37.47647457748937,55.98887129609959,1.0,0.0
group_01,FM-1,lead_me,lead_me_du_d,mix_f1f7973e5bac,45.97984456794532,45.92659265589458,4.8592099362507195,35.962552857933105,54.669988876343666,1.0,0.0
group_01,FM-1,lead_me,lead_me_du_e,mix_271852ba8676,30.070501637511985,30.068701913543514,5.047532050527638,20.584516560183495,39.383661713336785,1.0,0.0
group_01,FM-1,lead_me,lead_me_mcg_pro2,mix_d3e3580b6e30,51.78825922310393,51.79066202022905,4.967936380010554,42.56671692123906,61.10813547932512,1.0,0.0
group_01,FM-1,lead_me,lead_me_pxl_l1,mix_d5b28dfc8a93,38.404109286630636,38.436162516187096,4.931513548257262,29.296742971985303,47.82665957201994,1.0,0.0
group_01,FM-1,lead_me,lead_me_pxl_l4,mix_c7d9a071ba25,41.16965404239018,41.19608504792407,4.865898489074395,32.480478397474215,50.57120264932099,1.0,0.0
group_02,EDR-1,in_the_meantime,in_the_meantime_du_h,mix_302f0efe8a80,71.65757427451632,71.65268680459849,4.806606712535639,62.72688955133588,80.46758026259005,1.0,0.0
group_02,EDR-1,in_the_meantime,in_the_meantime_du_i,mix_9baa86357fd4,61.40539735523221,61.50101844248722,4.971968943286062,51.97304319809311,70.53356044968612,1.0,0.0
group_02,EDR-1,in_the_meantime,in_the_meantime_du_k,mix_56e65a3ce054,25.936169607113847,26.013167701839368,5.011080287893369,16.811901674721,35.73716820936142,1.0,0.0
group_02,EDR-1,in_the_meantime,in_the_meantime_qut_b,mix_c7bdcba64775,46.271245461424215,46.29100112838376,4.893127765635129,37.14442957107954,55.302383493664735,1.0,0.0
group_02,EDR-1,in_the_meantime,in_the_meantime_qut_pro,mix_cdaef40f2b94,60.88931945808385,61.070899695169516,4.971422012138638,51.38168089212901,69.79912592891878,1.0,0.0
group_02,EDR-1,pouring_room,pouring_room_mcg_pro1,mix_132e75f34470,74.10848234644801,74.16613702919523,5.008620870449758,64.18771100327154,82.66061930607705,1.0,0.0
group_02,EDR-1,pouring_room,pouring_room_mcg_r,mix_0ba76f420c1d,72.0482303069158,72.0227936942012,4.904772492208316,62.721577693856965,81.05188966055046,1.0,0.0
group_02,EDR-1,pouring_room,pouring_room_mcg_t,mix_be2ccd4c43ff,36.74341707194156,36.67294227343541,4.986296585591563,27.526873212945084,46.35251244071934,1.0,0.0
group_02,EDR-1,pouring_room,pouring_room_mcg_v,mix_e08faaf8bbb3,58.31425382427278,58.21052208586505,4.956893475413858,48.93123122873448,67.36140331129826,1.0,0.0
group_02,EDR-1,pouring_room,pouring_room_mcg_x,mix_cbf8555ee2b2,56.49947172558569,56.52897568408703,4.892814894946097,47.436180984975394,65.7715203611152,1.0,0.0
group_02,EDR-2,in_the_meantime,in_the_meantime_du_h,mix_302f0efe8a80,73.86003439491849,73.84374340129179,4.782464851117179,64.70629000161273,82.49504657840271,1.0,0.0
group_02,EDR-2,in_the_meantime,in_the_meantime_du_i,mix_9baa86357fd4,63.60785747563439,63.63052235914311,4.975538687202006,54.39725118298051,72.93080014076077,1.0,0.0
group_02,EDR-2,in_the_meantime,in_the_meantime_du_k,mix_56e65a3ce054,28.138629727516022,28.193325102087307,4.959050728912566,18.768962718725206,37.229660988050895,1.0,0.0
group_02,EDR-2,in_the_meantime,in_the_meantime_qut_b,mix_c7bdcba64775,48.47370558182639,48.47136311976949,4.911311980943715,39.34139515182442,57.678731566925336,1.0,0.0
group_02,EDR-2,in_the_meantime,in_the_meantime_qut_pro,mix_cdaef40f2b94,63.09177957848601,63.205918040947395,5.0044314416529225,53.431494844204494,72.40101260782772,1.0,0.0
group_02,EDR-2,pouring_room,pouring_room_mcg_pro1,mix_132e75f34470,76.3109424668502,76.26668509793542,5.081050384990322,66.52901360476231,85.3272349038748,1.0,0.0
group_02,EDR-2,pouring_room,pouring_room_mcg_r,mix_0ba76f420c1d,74.25069042731795,74.1520086717974,4.897470835801746,65.56141475774662,83.64324513856775,1.0,0.0
group_02,EDR-2,pouring_room,pouring_room_mcg_t,mix_be2ccd4c43ff,38.94587719234373,38.99049033958672,4.978110246046826,30.001213386140133,48.929593184832356,1.0,0.0
group_02,EDR-2,pouring_room,pouring_room_mcg_v,mix_e08faaf8bbb3,60.516713944674954,60.50665157967431,4.893569509876372,51.659446882696045,70.07951710669981,1.0,0.0
group_02,EDR-2,pouring_room,pouring_room_mcg_x,mix_cbf8555ee2b2,58.70193184598788,58.73548777476533,4.923119631781286,49.283728473702624,67.58111109482965,1.0,0.0
group_02,FM-1,in_the_meantime,in_the_meantime_du_h,mix_302f0efe8a80,64.98210732844056,65.02893024527609,4.8141436440681735,56.03548493477122,73.67711501195217,1.0,0.0
group_02,FM-1,in_the_meantime,in_the_meantime_du_i,mix_9baa86357fd4,54.72993040915645,54.77907198343664,4.975920907921398,45.94079996259267,64.49662701802522,1.0,0.0
group_02,FM-1,in_the_meantime,in_the_meantime_du_k,mix_56e65a3ce054,19.260702661038092,19.284932151403467,5.024815889807549,9.790464957442229,28.606428858932862,1.0,0.0
group_02,FM-1,in_the_meantime,in_the_meantime_qut_b,mix_c7bdcba64775,39.59577851534846,39.624185764735,4.932186134379179,30.236588353212127,48.88526013993491,1.0,0.0
group_02,FM-1,in_the_meantime,in_the_meantime_qut_pro,mix_cdaef40f2b94,54.21385251200809,54.34060908495215,5.004330505085087,44.55424239817624,63.16453956381009,1.0,0.0
group_02,FM-1,pouring_room,pouring_room_mcg_pro1,mix_132e75f34470,67.43301540037224,67.40363141266282,4.993395289875947,58.286737159274736,76.74207150271428,1.0,0.0
group_02,FM-1,pouring_room,pouring_room_mcg_r,mix_0ba76f420c1d,65.37276336084004,65.29427779214149,4.910220985931296,56.154365613599616,74.42473055310013,1.0,0.0
group_02,FM-1,pouring_room,pouring_room_mcg_t,mix_be2ccd4c43ff,30.0679501258658,30.106188661212805,4.995129203174115,20.47297216657709,39.50193076424911,1.0,0.0
group_02,FM-1,pouring_room,pouring_room_mcg_v,mix_e08faaf8bbb3,51.63878687819703,51.618939759673445,4.96582104203327,42.46160751830391,60.99566299343155,1.0,0.0
group_02,FM-1,pouring_room,pouring_room_mcg_x,mix_cbf8555ee2b2,49.824004779509956,49.90106755079454,4.861584546059227,40.8719601942371,59.12546435632541,1.0,0.0
