Model,Delta Top-1 pp,History Helps,History Hurts,Delta Spearman,Delta MAE
GPT-5.5,11.616161616161616,48,25,0.34592370629169045,-8.02020202020202
Claude Sonnet 5,15.151515151515149,52,22,0.3395630565460102,-5.429292929292929
Llama 3.1 70B,1.0101010101010082,19,17,0.033211949658617124,-0.8692929292929291
Centaur,1.5151515151515165,21,18,0.011104994095603851,N/A
