model_key,model_label,paired_examples,accuracy_non_history,accuracy_personalised_history,delta_top1_accuracy,delta_top1_percentage_points,delta_top1_ci_low,delta_top1_ci_high,history_helps,history_hurts,mcnemar_exact_p,delta_spearman_mean,delta_spearman_ci_low,delta_spearman_ci_high,delta_mae,delta_mae_ci_low,delta_mae_ci_high
gpt,GPT-5.5,198,0.22727272727272727,0.3434343434343434,0.11616161616161616,11.616161616161616,0.020202020202020204,0.20707070707070707,48,25,0.009542211425865475,0.34592370629169045,0.2192929969729897,0.4678421442140954,-8.02020202020202,-10.624242424242425,-5.536363636363636
claude_sonnet,Claude Sonnet 5,198,0.20707070707070707,0.35858585858585856,0.1515151515151515,15.151515151515149,0.06565656565656566,0.23232323232323232,52,22,0.0006428073490507031,0.3395630565460102,0.22391688515102506,0.45307118795633206,-5.429292929292929,-7.423232323232323,-3.4252525252525254
llama_3_1_70b_instruct,Llama 3.1 70B,198,0.2474747474747475,0.25757575757575757,0.010101010101010083,1.0101010101010082,-0.05555555555555555,0.07575757575757576,19,17,0.8679394004284404,0.033211949658617124,-0.030487231178074906,0.100219208745652,-0.8692929292929291,-1.8724242424242425,0.08747474747474733
centaur,Centaur,198,0.2474747474747475,0.26262626262626265,0.015151515151515166,1.5151515151515165,-0.045454545454545456,0.08080808080808081,21,18,0.7492586247608415,0.011104994095603851,-0.020707070707070705,0.0448176537134055,,,
