term,mean,sd,hdi_3,hdi_97,mcse,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,50.302,5.297,40.279,60.146,0.225,0.135,553.0,885.0,1.01
episode[EDR-2],2.202,2.05,-1.86,5.874,0.036,0.03,3221.0,2941.0,1.0
episode[FM-1],-6.675,2.044,-10.641,-2.893,0.038,0.035,2919.0,2859.0,1.0
group[group_02],5.995,7.106,-7.258,18.819,0.29,0.173,600.0,1035.0,1.01
