song_id,group,episode,stimulus_id,mix_id,observed_winner_credit,observed_winner_trials,tied_winner_rows,song_episode_trials,observed_winner_share_fractional_ties,comparison_scope
lead_me,group_01,EDR-2,lead_me_pxl_l4,mix_c7d9a071ba25,1.5,2,1,17,0.08823529411764706,in-sample descriptive fit only
lead_me,group_01,FM-1,lead_me_du_d,mix_f1f7973e5bac,6.0,6,0,17,0.35294117647058826,in-sample descriptive fit only
lead_me,group_01,FM-1,lead_me_mcg_pro2,mix_d3e3580b6e30,5.0,5,0,17,0.29411764705882354,in-sample descriptive fit only
lead_me,group_01,FM-1,lead_me_du_e,mix_271852ba8676,2.0,2,0,17,0.11764705882352941,in-sample descriptive fit only
lead_me,group_01,FM-1,lead_me_pxl_l1,mix_d5b28dfc8a93,2.0,2,0,17,0.11764705882352941,in-sample descriptive fit only
lead_me,group_01,FM-1,lead_me_pxl_l4,mix_c7d9a071ba25,2.0,2,0,17,0.11764705882352941,in-sample descriptive fit only
pouring_room,group_02,EDR-1,pouring_room_mcg_pro1,mix_132e75f34470,6.4,8,2,16,0.4,in-sample descriptive fit only
pouring_room,group_02,EDR-1,pouring_room_mcg_r,mix_0ba76f420c1d,4.4,6,2,16,0.275,in-sample descriptive fit only
pouring_room,group_02,EDR-1,pouring_room_mcg_v,mix_e08faaf8bbb3,4.4,6,2,16,0.275,in-sample descriptive fit only
pouring_room,group_02,EDR-1,pouring_room_mcg_t,mix_be2ccd4c43ff,0.4,2,2,16,0.025,in-sample descriptive fit only
pouring_room,group_02,EDR-1,pouring_room_mcg_x,mix_cbf8555ee2b2,0.4,2,2,16,0.025,in-sample descriptive fit only
pouring_room,group_02,EDR-2,pouring_room_mcg_pro1,mix_132e75f34470,7.4,9,2,16,0.4625,in-sample descriptive fit only
pouring_room,group_02,EDR-2,pouring_room_mcg_r,mix_0ba76f420c1d,4.733333333333333,7,3,16,0.29583333333333334,in-sample descriptive fit only
pouring_room,group_02,EDR-2,pouring_room_mcg_t,mix_be2ccd4c43ff,1.7333333333333334,4,3,16,0.10833333333333334,in-sample descriptive fit only
pouring_room,group_02,EDR-2,pouring_room_mcg_x,mix_cbf8555ee2b2,1.4,3,2,16,0.0875,in-sample descriptive fit only
pouring_room,group_02,EDR-2,pouring_room_mcg_v,mix_e08faaf8bbb3,0.7333333333333334,3,3,16,0.04583333333333334,in-sample descriptive fit only
pouring_room,group_02,FM-1,pouring_room_mcg_x,mix_cbf8555ee2b2,6.4,8,2,16,0.4,in-sample descriptive fit only
pouring_room,group_02,FM-1,pouring_room_mcg_pro1,mix_132e75f34470,3.4,5,2,16,0.2125,in-sample descriptive fit only
pouring_room,group_02,FM-1,pouring_room_mcg_r,mix_0ba76f420c1d,3.4,5,2,16,0.2125,in-sample descriptive fit only
pouring_room,group_02,FM-1,pouring_room_mcg_v,mix_e08faaf8bbb3,2.4,4,2,16,0.15,in-sample descriptive fit only
pouring_room,group_02,FM-1,pouring_room_mcg_t,mix_be2ccd4c43ff,0.4,2,2,16,0.025,in-sample descriptive fit only
