model_name,elpd_loo,se,p_loo,pareto_k_gt_0_7,pareto_k_max,loo_valid,elpd_diff_from_best
stimulus_model,-4686.598147180355,18.623320926290095,47.3864204579113,0,0.3038047960888204,True,0.0
primary_feature,-4686.613066757319,18.632769272755493,47.366934137727185,0,0.300837546611232,True,-0.014919576963620784
