model_name,group,episode,song_id,stimulus_id,mix_id,z_RMS,z_CF,z_SW,mean,median,sd,hdi_3,hdi_97,probability_above_zero,probability_below_zero
primary_feature,group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s1,mix_9ffcd672af17,-0.5659114167269081,-0.579304038497624,-0.4851205015292653,48.80413475512959,48.8215139981277,4.861175208233673,39.60130194867098,57.80217394371235,1.0,0.0
primary_feature,group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s2,mix_6f8b655d7999,0.5329997864789321,-1.1874673519330532,-0.7637519766505488,60.12825121401568,60.04964368986332,4.867045149272268,51.10070422704927,69.48985274259455,1.0,0.0
primary_feature,group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s3,mix_65f41f41d3ab,0.3234844364321996,-1.065060189455143,-1.1651773700507613,55.99080309444286,56.0245664336201,4.878672611843672,46.922363705314766,65.06208666882412,1.0,0.0
primary_feature,group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,-0.3583378408524605,-0.1527662554529231,0.7972705919658362,43.121883646227786,43.03579962681113,4.902789495393346,33.615917530602346,52.04573553195989,1.0,0.0
primary_feature,group_01,EDR-1,id_like_to_know,id_like_to_know_pxl_s7,mix_b393d3919c78,-0.867056238017743,-0.6188407399054331,-0.3229009373128245,52.54923047589287,52.578767592248255,4.949854961118096,43.28255398699141,61.63581975880999,1.0,0.0
primary_feature,group_01,EDR-1,lead_me,lead_me_du_d,mix_f1f7973e5bac,0.7402857811167308,-1.548717422055362,0.3280479404435016,53.27589581709963,53.18082372153856,4.851816011970501,44.24713429081418,62.27344934301319,1.0,0.0
primary_feature,group_01,EDR-1,lead_me,lead_me_du_e,mix_271852ba8676,-1.0250576971995913,0.5199952869185839,-0.8666083508697964,35.8322598188936,35.85666185603765,4.804861808136497,26.800244742881855,44.619667113355796,1.0,0.0
primary_feature,group_01,EDR-1,lead_me,lead_me_mcg_pro2,mix_d3e3580b6e30,2.9805308263561203,0.8594252384169624,-0.9263284806752846,58.86152417345021,58.86922678072058,4.965651398040088,49.67438440315427,68.26694123343832,1.0,0.0
primary_feature,group_01,EDR-1,lead_me,lead_me_pxl_l1,mix_d5b28dfc8a93,-0.0024436394808062,-0.3677713699084406,-1.2816942263900757,45.179818620685545,45.204308547951506,4.865557008211082,36.46819352856225,54.40560878713088,1.0,0.0
primary_feature,group_01,EDR-1,lead_me,lead_me_pxl_l4,mix_c7d9a071ba25,-0.0552007785055364,-0.8412121981784734,0.8321106863211235,47.446468625709585,47.4090822989198,4.865711718675739,38.88765611458828,57.02281399173004,1.0,0.0
primary_feature,group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s1,mix_9ffcd672af17,-0.5659114167269081,-0.579304038497624,-0.4851205015292653,51.03518519106387,51.029690146089386,4.842038653338637,41.9408007065676,60.14712444355166,1.0,0.0
primary_feature,group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s2,mix_6f8b655d7999,0.5329997864789321,-1.1874673519330532,-0.7637519766505488,62.359301649949956,62.24271085333199,4.921060877070664,52.80746061106838,71.58338782282686,1.0,0.0
primary_feature,group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s3,mix_65f41f41d3ab,0.3234844364321996,-1.065060189455143,-1.1651773700507613,58.22185353037714,58.23690481552207,4.899339947375022,48.976856645408304,67.28567032316406,1.0,0.0
primary_feature,group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,-0.3583378408524605,-0.1527662554529231,0.7972705919658362,45.35293408216206,45.301640727923605,4.948258199368592,36.02422147680252,54.60951458516912,1.0,0.0
primary_feature,group_01,EDR-2,id_like_to_know,id_like_to_know_pxl_s7,mix_b393d3919c78,-0.867056238017743,-0.6188407399054331,-0.3229009373128245,54.78028091182716,54.73748653943554,4.915789213260048,44.882517137145236,63.14302669943656,1.0,0.0
primary_feature,group_01,EDR-2,lead_me,lead_me_du_d,mix_f1f7973e5bac,0.7402857811167308,-1.548717422055362,0.3280479404435016,55.50694625303392,55.534481980859596,4.867261702092207,46.524861238125695,64.67142797971566,1.0,0.0
primary_feature,group_01,EDR-2,lead_me,lead_me_du_e,mix_271852ba8676,-1.0250576971995913,0.5199952869185839,-0.8666083508697964,38.063310254827876,38.13234956281917,4.788235855986892,29.036942573401568,46.75233936421848,1.0,0.0
primary_feature,group_01,EDR-2,lead_me,lead_me_mcg_pro2,mix_d3e3580b6e30,2.9805308263561203,0.8594252384169624,-0.9263284806752846,61.092574609384485,61.074081227978525,5.006001206486648,51.977723993835525,70.68197443104154,1.0,0.0
primary_feature,group_01,EDR-2,lead_me,lead_me_pxl_l1,mix_d5b28dfc8a93,-0.0024436394808062,-0.3677713699084406,-1.2816942263900757,47.41086905661984,47.373723765293136,4.8555907749763,37.69022016721779,55.84999545084364,1.0,0.0
