song,artist,candidate_pool_mix_count,reviewed_union_mix_count,available_candidate_mixes,reviewed_union_mixes,candidate_pool_min_pairwise_distance,candidate_pool_median_pairwise_distance,candidate_pool_max_pairwise_distance,candidate_pool_near_duplicate_count,candidate_pool_rating_range,minimum_rating_count,technical_problematic_mixes,stereo_imbalance_qc_mixes,best_reviewed_five_mix_set,best_reviewed_five_min_distance,best_reviewed_five_median_distance,best_reviewed_five_max_distance,best_reviewed_five_rating_range,best_reviewed_five_similar_subset,best_reviewed_five_range_broadening
Lead Me,The DoneFors,20,6,CNS-C|DU-D|PXL-L1|QUT-A|DU-E|PXL-L4|QUT-pro|PXL-L3|DU-A|QUT-F|DU-F|DU-B|CNS-B|UCP-A2|DU-C|PXL-L2|McG-pro2|McG-H|McG-B|QUT-H,DU-D|DU-E|QUT-F|PXL-L1|PXL-L4|McG-pro2,1.23314937975,2.3063360120649996,3.85178415888,0,0.384150682142,0,,,DU-D|DU-E|PXL-L1|PXL-L4|McG-pro2,2.51973487833,3.19132996589,3.49499417947,0.25885199708999995,DU-D|DU-E|PXL-L1,PXL-L4|McG-pro2
In The Meantime,Fredy V,20,6,UCP-A4|QUT-B|DU-K|DU-H|DU-I|QUT-pro|QUT-C|McG-D|DU-J|McG-H|DU-N|QUT-A|PXL-S5|McG-A|QUT-J|DU-L|QUT-G|PXL-S7|DU-M|McG-F,QUT-B|DU-H|DU-I|DU-K|QUT-pro|DU-N,0.585604419418,2.03641088863,5.56099797932,1,0.628518657994,0,DU-J|QUT-A,DU-J|QUT-A,QUT-B|DU-H|DU-I|DU-K|QUT-pro,2.10556575572,3.39419507544,5.56099797932,0.448325994554,DU-H|DU-I|QUT-pro,DU-K|QUT-B
Pouring Room,The DoneFors,9,6,McG-R|McG-Q|McG-pro1|McG-U|McG-W|McG-pro|McG-T|McG-X|McG-V,McG-R|McG-T|McG-X|McG-pro1|McG-U|McG-V,1.915750571e-16,2.00055412702,3.07136962966,1,0.4258082975790001,0,McG-W,McG-W,McG-R|McG-T|McG-X|McG-pro1|McG-V,1.69525800496,2.1478566173,3.07136962966,0.4258082975790001,McG-R|McG-T|McG-X,McG-V|McG-pro1
Red To Blue,Broken Crank,10,6,McG-C|McG-H|McG-B|McG-pro1|McG-D|McG-pro|McG-G|McG-F|McG-A|McG-E,McG-B|McG-G|McG-F|McG-C|McG-H|McG-pro1,1.915750571e-16,1.31564122338,3.21748310589,3,0.39676627466900005,0,McG-B,McG-B,McG-B|McG-G|McG-F|McG-C|McG-pro1,1.70609122427,2.3723237670749997,3.21748310589,0.269667453641,McG-B|McG-G|McG-C,McG-F|McG-pro1
I'd Like To Know,Filthybird,7,6,PXL-S3|PXL-S2|PXL-S5|PXL-S1|PXL-S6|PXL-S4|PXL-S7,PXL-S3|PXL-S5|PXL-S1|PXL-S2|PXL-S6|PXL-S7,0.949392070054,1.85592731216,3.48430981082,1,0.246210387232,30,,,PXL-S3|PXL-S5|PXL-S1|PXL-S2|PXL-S7,1.36762958502,2.190067924005,3.48430981082,0.246210387232,PXL-S3|PXL-S5|PXL-S2,PXL-S1|PXL-S7
New Skin,Torres,7,6,DU-Q|DU-R|DU-O|DU-P|DU-U|DU-T|DU-S,DU-Q|DU-R|DU-O|DU-U|DU-T|DU-S,0.836949409196,1.80081476423,3.38852224907,1,0.393212924146,53,,,DU-Q|DU-R|DU-O|DU-T|DU-S,1.5188586309,2.373060719195,3.38852224907,0.393212924146,DU-Q|DU-O|DU-S,DU-R|DU-T
No Prize,Dawn Langstroth,9,6,McG-K|McG-M|McG-P|McG-I|McG-L|McG-pro2|McG-N|McG-J|McG-O,McG-L|McG-pro2|McG-N|McG-K|McG-P|McG-O,0.582884902312,1.383381360145,4.19652132421,1,0.268802580837,38,,,McG-L|McG-pro2|McG-N|McG-K|McG-P,1.06714306959,2.08759067071,4.19652132421,0.268802580837,McG-L|McG-K|McG-P,McG-pro2|McG-N
Vermont,The Districts,7,6,PXL-L1|DU-P2|PXL-L2|DU-O2|PXL-L4|PXL-L5|PXL-L3,DU-P2|DU-O2|PXL-L3|PXL-L1|PXL-L4|PXL-L5,0.896004763486,1.51985612085,3.44842795802,1,0.331883260659,13,,,DU-P2|DU-O2|PXL-L3|PXL-L4|PXL-L5,1.19093495482,1.9284809108099998,3.44842795802,0.3142311998849999,DU-P2|PXL-L4,PXL-L5|PXL-L3|DU-O2
