song,original_mix_name,audio_path,do_not_duplicate_audio
Pouring Room,McG-R,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Pouring Room\McG-R_28sec.wav,path_reference_only
Pouring Room,McG-T,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Pouring Room\McG-T_28sec.wav,path_reference_only
Pouring Room,McG-X,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Pouring Room\McG-X_28sec.wav,path_reference_only
Pouring Room,McG-pro1,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Pouring Room\McG-pro1_28sec.wav,path_reference_only
Pouring Room,McG-V,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Pouring Room\McG-V_28sec.wav,path_reference_only
