design_version,scenario,n_participants,replication,rows,ratings_per_participant,runtime_seconds,sampler,draws,tune,chains,cores,target_accept,divergences,max_rhat,min_bulk_ess,min_tail_ess,max_treedepth_warnings,clipped_rating_count,operational_success,strong_convergence,feature_coefficient_rmse,feature_coefficient_mae,feature_hdi_coverage,feature_sign_recovery,mean_feature_hdi_width,mean_fixed_posterior_sd,participant_icc_bias,participant_icc_squared_error,participant_icc_covered,participant_icc_hdi_width,stimulus_icc_bias,stimulus_icc_squared_error,stimulus_icc_covered,stimulus_icc_hdi_width,cell_mean_rmse,cell_mean_hdi_coverage,mean_cell_hdi_width,winner_accuracy,posterior_probability_true_winner,true_winner_probability_gt_0_50,draw_level_tie_rate,final_probability_tie_rate
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,20,1,600,30,11.8204411000479,nutpie,400,400,2,1,0.95,0,1.02,72.0,123.0,0,5,True,False,1.38588260958654,1.2776953047051347,0.6666666666666666,0.6666666666666666,3.749716908329708,1.638027897299741,0.0148593521442765,0.0002208003461476,True,0.3003796047780512,0.014731133179291,0.000217006284746,True,0.1158236861515181,3.5173614421410955,0.9166666666666666,12.434438475031868,0.75,0.6565625,0.75,0.0003125,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,20,2,600,30,6.857791100163013,nutpie,400,400,2,1,0.95,0,1.02,113.0,175.0,0,4,True,False,0.2579033702397577,0.2521983907277787,1.0,1.0,4.553219367002388,1.7844267964147065,0.0517263388640505,0.0026756141322785,True,0.3244416888884149,0.0383347846114209,0.001469555711204,True,0.1475062134286854,1.6387614548214158,1.0,13.65677081708761,0.75,0.75046875,0.75,0.0003125,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,20,3,600,30,6.107997399987653,nutpie,400,400,2,1,0.95,0,1.03,73.0,133.0,0,3,True,False,0.9457648674623308,0.6065487221146285,0.6666666666666666,1.0,2.335679166432978,1.3861774080161091,0.1045378880363293,0.0109281700350961,True,0.2964589669938727,-0.0405141420019339,0.0016413957021528,False,0.0434400909681073,2.2977558727356926,1.0,12.826991483120109,0.5,0.4365624999999999,0.25,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,20,4,600,30,7.677517799893394,nutpie,400,400,2,1,0.95,0,1.05,58.0,109.0,0,12,True,False,0.8308070142197971,0.7831533752707331,0.6666666666666666,1.0,2.222660229767573,1.428209481173987,0.1556855554232544,0.0242379921674472,True,0.3211586847594783,-0.0419061517350824,0.0017561255532437,False,0.041403265877101,2.848252878387717,1.0,13.725319201445252,0.75,0.6818749999999999,0.5,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,20,5,600,30,7.371732999803498,nutpie,400,400,2,1,0.95,0,1.04,100.0,109.0,0,3,True,False,0.4487212297465791,0.442687414309759,1.0,1.0,2.9933586517678745,1.38926412555195,0.0193750144325925,0.0003753911842631,True,0.3118239146049426,-0.0141668815949555,0.0002007005341254,True,0.0842461627309317,3.5318128665786848,0.9833333333333332,11.830808435623386,1.0,0.7604687499999998,0.75,0.0003125,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,20,6,600,30,7.640805399976671,nutpie,400,400,2,1,0.95,0,1.03,142.0,185.0,0,6,True,False,0.9900249464825852,0.9519078887849254,1.0,1.0,4.355981598557024,1.554672295051877,-0.1686255781883116,0.0284345856193424,False,0.2332647505680734,0.0743673496712553,0.0055305026971267,True,0.1843154817769495,1.4212573897559535,1.0,9.626718549614145,1.0,0.8553125000000001,1.0,0.000625,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,20,7,600,30,8.135308200027794,nutpie,400,400,2,1,0.95,0,1.03,111.0,216.0,0,8,True,False,0.6208980253034107,0.469824358355542,1.0,1.0,4.139487121053236,1.4840791261521022,-0.0913760668674479,0.0083495855961643,True,0.2832158446313195,0.0530650495547622,0.0028158994842493,True,0.1775731195439001,2.8559157218270146,0.9,10.01643892444297,0.75,0.7107812500000001,0.75,0.0003125,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,20,8,600,30,7.010986499954015,nutpie,400,400,2,1,0.95,0,1.02,133.0,205.0,0,2,True,False,0.7487652889660373,0.7375691221714931,1.0,1.0,2.994802380032125,1.1709973114901409,-0.2592151524596383,0.0671924952646735,False,0.1896119320448101,-0.0055360744799766,3.064812064784913e-05,True,0.1035952823083227,2.816549924229355,0.8,7.985488867955195,0.5,0.580625,0.5,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,20,9,600,30,10.375402099918574,nutpie,400,400,2,1,0.95,0,1.04,65.0,128.0,0,18,True,False,0.3847881270094875,0.3178196504907491,1.0,1.0,3.167844989613865,1.6139290562014128,0.1423405922830921,0.0202608442115014,False,0.2789995664841915,-0.0172272172077042,0.0002967770127214,True,0.0694946842330313,3.3156003535863348,0.95,14.201807193248492,1.0,0.708125,1.0,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,20,10,600,30,8.045332099776715,nutpie,400,400,2,1,0.95,0,1.02,127.0,210.0,0,8,True,False,0.5643328343557561,0.507563475526173,1.0,1.0,3.2996556758137694,1.3793244442692645,-0.1760002678250101,0.0309760942744752,False,0.2535679181630135,0.008475017147149,7.182591564447104e-05,True,0.1179904288261717,2.3568257101543457,0.95,9.621421438488374,0.5,0.4778125,0.5,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,30,1,900,30,8.668811099836603,nutpie,400,400,2,1,0.95,0,1.04,97.0,102.0,0,26,True,False,1.0130190772789556,0.974500343377908,1.0,1.0,3.5587469143121524,1.364650217712244,-0.0227442637521457,0.0005173015336271,True,0.2549195455609541,0.0195297182071309,0.0003814098932499,True,0.1310850975165169,4.756343862101196,0.5666666666666667,9.237203235650382,1.0,0.948125,1.0,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,30,2,900,30,7.275141899939626,nutpie,400,400,2,1,0.95,0,1.02,60.0,102.0,0,10,True,False,0.8185024765027329,0.7803575252763683,1.0,1.0,2.0726465702938244,1.123149909501364,0.0624825773258597,0.003904072469282,True,0.2715150173678549,-0.0395392503909049,0.0015633523214746,False,0.0397021931795843,3.929780178255632,0.7833333333333333,9.954334428684565,0.75,0.7559375,0.75,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,30,3,900,30,8.129395599942654,nutpie,400,400,2,1,0.95,0,1.03,83.0,113.0,0,25,True,False,0.3450308241819462,0.2931021410136102,1.0,1.0,2.831258289679219,1.288716746897252,0.0266822853705018,0.0007119443525928,True,0.266904506635756,-0.0205010893083009,0.0004202946628269,True,0.0709852688889053,3.5122392468141257,0.85,10.453898731737906,0.75,0.7306250000000002,0.75,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,30,4,900,30,8.436958399834111,nutpie,400,400,2,1,0.95,0,1.05,82.0,60.0,0,9,True,False,1.1530932417327295,1.0330630387068949,0.6666666666666666,1.0,3.325613483349487,1.3553625856118774,0.029784672583086,0.0008871267208816,True,0.2672864316365578,0.006852862057467,4.696171837867167e-05,True,0.1027951279212727,2.236307569586186,0.9833333333333332,9.938236302828363,0.75,0.48484375,0.75,0.0003125,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,30,5,900,30,7.895017599919811,nutpie,400,400,2,1,0.95,0,1.02,105.0,142.0,0,5,True,False,0.1063492169633172,0.0902893340396594,1.0,1.0,3.182844973836939,1.1666023789371551,-0.1088568388057605,0.0118498113547833,False,0.2159869409297016,0.0110515278291779,0.000122136267359,True,0.1031684552278265,2.6551216790074004,0.7833333333333333,8.021524359863342,1.0,0.76203125,1.0,0.0003125,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,30,6,900,30,8.378201900050044,nutpie,400,400,2,1,0.95,0,1.02,120.0,106.0,0,9,True,False,1.1676903498706772,1.023951974319835,1.0,1.0,4.567951345179579,1.6139651830206236,-0.0657331186335773,0.0043208428852959,True,0.2405522422297421,0.0848539049557676,0.0072001851862424,False,0.1836210662113835,2.370565330321204,1.0,9.1796879220944,0.5,0.4278124999999999,0.5,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,30,7,900,30,7.632857099873945,nutpie,400,400,2,1,0.95,0,1.05,48.0,135.0,0,32,False,False,0.4875135679133384,0.4219096159681557,1.0,1.0,3.418836672644495,1.2971968924174566,0.0031296871495968,9.794941654351512e-06,True,0.2493576556571943,0.0092625113264094,8.579411607186398e-05,True,0.1093455268263271,4.225635602148437,0.7833333333333333,10.40053330521006,0.75,0.60921875,0.5,0.000625,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,30,8,900,30,11.683649000013247,nutpie,400,400,2,1,0.95,0,1.02,139.0,215.0,0,6,True,False,1.3877153501691526,1.355961993959033,1.0,1.0,3.841001891328181,1.3710297919847665,-0.0773965541718949,0.005990226597683,True,0.2252652916935559,0.025394061928549,0.0006448583812309,True,0.1102443699278816,1.5342561602767386,1.0,9.126691348032004,0.5,0.600625,0.5,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,30,9,900,30,8.157380899880081,nutpie,400,400,2,1,0.95,0,1.05,42.0,50.0,0,14,False,False,0.4117927925353546,0.3472810990991726,1.0,1.0,3.126292879671617,1.4721159263204957,0.1631086157693229,0.0266044205381846,False,0.2493499037055047,-0.0147877359666809,0.0002186771350202,True,0.071240988413413,2.9040861365076824,0.9833333333333332,12.766701725361775,0.75,0.69203125,0.75,0.0003125,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,30,10,900,30,8.703016399871558,nutpie,400,400,2,1,0.95,0,1.03,87.0,124.0,0,10,True,False,0.7038195713457783,0.6588400049065419,1.0,1.0,3.3535028558090487,1.3311036595469177,0.0502294533751254,0.0025229979863638,True,0.260817089429108,-0.0044233013014149,1.9565594403099464e-05,True,0.0875812115243561,3.8271711489301783,0.8333333333333334,10.789205022741596,0.75,0.8487500000000002,0.75,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,40,1,1200,30,7.644046199973673,nutpie,400,400,2,1,0.95,0,1.02,58.0,72.0,0,7,True,False,0.631808003001623,0.5401293280817164,1.0,1.0,2.508511957644165,1.02098001676995,-0.0393005260118145,0.0015445313448053,True,0.2150207402981176,-0.0205629857989554,0.000422836384968,True,0.0647395943684714,1.6855094937138426,0.95,7.615401732184083,0.5,0.59203125,0.5,0.000625,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,40,2,1200,30,7.673248900100589,nutpie,400,400,2,1,0.95,0,1.06,33.0,130.0,0,21,False,False,0.6638798964698605,0.5712321347011069,1.0,1.0,3.3214196905002717,1.2913242317768336,0.0613837732038408,0.0037679676127405,True,0.2310934457071494,0.0020047612109689,4.019067513005641e-06,True,0.0952137411245609,2.6270452301456784,0.9833333333333332,9.164825684058476,0.75,0.69171875,0.75,0.0003125,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,40,3,1200,30,8.92986509995535,nutpie,400,400,2,1,0.95,0,1.03,81.0,140.0,0,30,True,False,0.8555103886794834,0.7477662936646322,1.0,1.0,4.19411813193307,1.3684622534238322,0.0052376673623609,2.7433159398741385e-05,True,0.1972922806180365,0.0335317230419329,0.0011243764501608,True,0.1193018110264039,2.29286048319125,0.8666666666666667,8.494610617677662,1.0,0.9518749999999998,1.0,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,40,4,1200,30,7.944055899977684,nutpie,400,400,2,1,0.95,0,1.02,94.0,110.0,0,22,True,False,0.9899247175216958,0.8905373344324578,1.0,1.0,3.50849389538342,1.2384851662972178,-0.0483461882015072,0.0023373539136155,True,0.2555508542556348,0.0239055860470365,0.0005714770442522,True,0.1240278195514748,1.9393335258797084,0.9666666666666668,7.94361806888303,0.75,0.8384375000000001,0.75,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,40,5,1200,30,7.980894400039688,nutpie,400,400,2,1,0.95,0,1.03,90.0,98.0,0,5,True,False,0.8007631342082373,0.6566807513931588,1.0,1.0,3.79238808621138,1.316618936696843,-0.0285848280297216,0.0008170923934887,True,0.2273264226226815,0.0386248383639793,0.0014918781386435,True,0.1297359705421983,1.3830093066751252,1.0,8.164061717946272,0.5,0.61015625,0.5,0.0003125,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,40,6,1200,30,10.39281120011583,nutpie,400,400,2,1,0.95,0,1.06,40.0,83.0,0,34,False,False,1.010282696786443,0.8602689176704751,1.0,1.0,4.504702889394708,1.6032021645495746,0.1049954726478953,0.0110240492765549,True,0.2548037458825294,0.0361971961673209,0.0013102370103755,True,0.1313138347796997,1.659602118558491,0.9833333333333332,10.439436700593676,1.0,0.833125,1.0,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,40,7,1200,30,10.561663900036365,nutpie,400,400,2,1,0.95,0,1.02,100.0,103.0,0,8,True,False,1.0453004792766571,0.9147084625931716,1.0,1.0,3.310181614536785,1.1901465590715845,-0.0503586924313123,0.0025359979033915,True,0.2284877214863632,0.0149945413677076,0.0002248362708278,True,0.1061053973288038,1.9111247945187693,0.9166666666666666,7.779506760683175,0.75,0.6945312499999999,0.75,0.0003125,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,40,8,1200,30,8.327750699827448,nutpie,400,400,2,1,0.95,0,1.04,98.0,127.0,0,19,True,False,1.0076771903868913,0.940576930750277,0.6666666666666666,1.0,3.569105978833297,1.3984626474939086,0.0436492817092055,0.0019052597937295,True,0.2307261729845566,0.0147222005912123,0.0002167431902478,True,0.0963337465530621,2.767774955533219,0.8833333333333333,8.895496990194165,1.0,0.856875,0.75,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,40,9,1200,30,8.517229399876669,nutpie,400,400,2,1,0.95,0,1.02,75.0,112.0,0,19,True,False,1.0244991211157894,0.8938492147570495,1.0,1.0,3.9176599333435305,1.3961271069618837,0.0594713402833648,0.0035368403150997,True,0.2209153839377984,0.0187739775168739,0.000352462231804,True,0.1145478042495105,1.2505454107746286,1.0,9.859642371072908,1.0,0.9812499999999998,1.0,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,40,10,1200,30,7.285637299995869,nutpie,400,400,2,1,0.95,0,1.03,62.0,77.0,0,34,True,False,0.5143306103421635,0.4356951896160428,1.0,1.0,2.5731068411854774,1.130118841658484,0.0305252186515719,0.0009317889737262,True,0.2157448470848068,-0.0257292458038775,0.0006619940896363,True,0.0511656789532137,3.097178452675408,0.8666666666666667,8.660562220083937,1.0,0.7321874999999999,0.75,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,50,1,1500,30,9.42892639990896,nutpie,400,400,2,1,0.95,0,1.06,47.0,114.0,0,18,False,False,0.9853275695211215,0.9380571010743006,1.0,1.0,3.5440573237171407,1.2006414373750758,0.0441561980232517,0.0019497698238686,True,0.2045395750155427,0.0050580597945551,2.558396888529561e-05,True,0.0933953289951419,1.6536642579395051,1.0,8.222959256070544,1.0,0.98875,1.0,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,50,2,1500,30,8.28582420013845,nutpie,400,400,2,1,0.95,0,1.03,100.0,169.0,0,34,True,False,0.4725606344987216,0.3177277684375796,1.0,1.0,3.642329397804304,1.2784540284900654,-0.0117335195042652,0.0001376754799569,True,0.1900601877828054,0.0119803804202314,0.0001435295150134,True,0.100948538922018,1.8906736398051165,1.0,7.743117795724191,1.0,0.8232812500000001,1.0,0.000625,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,50,3,1500,30,8.495652799960226,nutpie,400,400,2,1,0.95,0,1.03,120.0,138.0,0,21,True,False,0.6349839781716303,0.6232913566598159,1.0,1.0,4.051338815837074,1.3226990410507031,-0.0140082324555133,0.0001962305765276,True,0.1893159673156091,0.0358721438352664,0.001286810703338,True,0.1375652813491659,1.4191727133621612,1.0,7.83155948529434,0.5,0.59703125,0.5,0.0003125,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,50,4,1500,30,11.973334999987856,nutpie,400,400,2,1,0.95,0,1.04,68.0,73.0,0,14,True,False,1.0999931442342794,0.9772718747869628,0.6666666666666666,1.0,3.0414672669153915,1.189983196670353,0.0760920338614814,0.0057899976171768,True,0.2035409959195794,-0.0147517711304692,0.0002176147514857,True,0.0702198718304122,2.8054199155160617,0.8166666666666667,8.228214200262558,1.0,0.80953125,1.0,0.0003125,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,50,5,1500,30,7.964527199976146,nutpie,400,400,2,1,0.95,0,1.12,13.0,78.0,0,10,False,False,1.1168159424881174,1.017414880767266,1.0,1.0,3.720899350253188,1.206849490941431,-0.0238352279939009,0.0005681180935212,True,0.1912633842944326,0.0227087812970224,0.0005156887479959,True,0.1147213580703257,1.647173992238136,0.9666666666666668,7.491528085464997,0.75,0.6790625,0.75,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,50,6,1500,30,8.091121499892324,nutpie,400,400,2,1,0.95,0,1.02,82.0,94.0,0,7,True,False,0.2671370289030194,0.2660226434091102,1.0,1.0,3.4531918474252983,1.158744998818063,-0.0396057152921182,0.0015686126838003,True,0.190491059090392,0.0155126167374191,0.000240641278042,True,0.1134188132411724,1.992835682507199,0.95,7.500524219753836,0.5,0.5681250000000001,0.5,0.0004166666666666,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,50,7,1500,30,9.580266400007533,nutpie,400,400,2,1,0.95,0,1.04,58.0,116.0,0,5,True,False,0.48117236988054,0.4047019655105206,1.0,1.0,2.5016399269453493,0.9493144491764264,-0.0229148246001625,0.0005250891864562,True,0.1892853963506806,-0.0187739112079763,0.0003524597420449,True,0.0590980808541217,1.680838256502278,0.9833333333333332,7.447023932629691,1.0,0.7248958333333334,0.75,0.0004166666666666,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,50,8,1500,30,8.010208300082013,nutpie,400,400,2,1,0.95,0,1.08,36.0,86.0,0,20,False,False,1.0901931054922456,0.9852432206340148,0.6666666666666666,1.0,2.5237162051396607,1.0650362160159237,0.0770569539815694,0.0059377741569177,True,0.2019760830247716,-0.0273957554450079,0.0007505274164026,True,0.0507057574317113,1.239643894757949,1.0,8.046574340901167,1.0,0.788125,1.0,0.000625,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,50,9,1500,30,7.869629400083795,nutpie,400,400,2,1,0.95,0,1.03,82.0,87.0,0,17,True,False,0.733858923034965,0.6518747367025676,1.0,1.0,3.5231128234243347,1.1139339482128772,-0.048965256827576,0.0023975963761904,True,0.1930869338532003,0.0229012830400242,0.0005244687648793,True,0.1176494051372373,1.4424211908066868,0.9666666666666668,6.973604722498029,1.0,0.8107812500000002,1.0,0.00125,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,50,10,1500,30,8.589379199780524,nutpie,400,400,2,1,0.95,0,1.02,91.0,171.0,0,9,True,False,0.4899500031051736,0.4731019474714444,1.0,1.0,3.521495823391017,1.2916242261178577,0.0291029954850365,0.000846984346202,True,0.1842440178947655,0.0230854657842607,0.0005329387304762,True,0.1178886061552499,1.295491599685494,1.0,7.7506853372662,0.75,0.7023437500000002,0.75,0.000625,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,60,1,1800,30,9.69575689989142,nutpie,400,400,2,1,0.95,0,1.05,57.0,153.0,0,20,True,False,0.6300526747260724,0.5962281183913306,1.0,1.0,2.621025890758785,0.968153462613924,-0.0224120294982744,0.0005022990662315,True,0.1776687014376264,-0.0114153157803641,0.0001303094343654,True,0.0709152946358841,1.54909938768417,1.0,6.385289915194977,1.0,0.7765624999999999,1.0,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,60,2,1800,30,9.912927699973809,nutpie,400,400,2,1,0.95,0,1.05,51.0,132.0,0,17,True,False,1.2924698762325242,1.2258834977559443,1.0,0.6666666666666666,3.8166613338196,1.21112025348369,-0.007183925585101,5.160878681226879e-05,True,0.1836094465202507,0.0290319065360634,0.0008428515971187,True,0.1259307967116214,1.20042146169101,1.0,6.847769332153368,0.75,0.59484375,0.5,0.0003125,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,60,3,1800,30,8.064258300000802,nutpie,400,400,2,1,0.95,0,1.05,43.0,65.0,0,23,False,False,0.3353100158919873,0.3268046609779356,1.0,1.0,3.3702041834427434,1.1607431300750553,0.047870176602258,0.0022915538079313,True,0.1800047903139879,0.0024062401897793,5.78999185090919e-06,True,0.0861544906048809,1.5316423111782986,0.9833333333333332,7.193756748296683,1.0,0.9431250000000002,1.0,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,60,4,1800,30,10.250333599979058,nutpie,400,400,2,1,0.95,0,1.05,71.0,145.0,0,21,True,False,0.5407533138083159,0.5052404359150559,1.0,1.0,3.528680020641956,1.1635618898256448,0.0129091614795296,0.0001666464501045,True,0.1748126873643956,0.0164081481695016,0.0002692273263523,True,0.099937098493078,1.5940880948520637,1.0,7.216365952950539,0.75,0.8014062499999998,0.75,0.0003125,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,60,5,1800,30,8.73995009995997,nutpie,400,400,2,1,0.95,0,1.03,82.0,87.0,0,34,True,False,1.0504506670892182,0.6961530492989226,1.0,1.0,3.546937347757494,1.219632765682682,0.0246096770599266,0.0006056362049938,True,0.1761793661031938,0.0128259237642366,0.000164504320406,True,0.1093072943427032,1.1094953686110076,1.0,7.524347545714653,0.75,0.808125,0.75,0.0,0.0
phase3c_final_5mix_3episode_20stimulus_additive_feature_v1,moderate_expected,60,6,1800,30,8.729457800043747,nutpie,400,400,2,1,0.95,0,1.06,45.0,78.0,0,31,False,False,0.8422537450682981,0.721888303796809,1.0,1.0,3.289840011983083,1.1602114664599084,0.0741073017799,0.0054918921770971,True,0.1837615176574175,-0.00447591686225,2.0033831757774542e-05,True,0.0784175771320617,1.987712829766498,0.9833333333333332,8.08704898324117,1.0,0.7940625,1.0,0.0,0.0
