scenario,n_participants,n_completed,participant_icc_bias_mean,participant_icc_rmse,participant_icc_covered_mean,participant_icc_hdi_width_mean,stimulus_icc_bias_mean,stimulus_icc_rmse,stimulus_icc_covered_mean,stimulus_icc_hdi_width_mean
higher_noise,20,10,0.025778806028268497,0.08244529936989929,1.0,0.3143432240972385,0.005479197516738778,0.01729195863147192,1.0,0.07975032213525203
higher_noise,30,10,-0.00777992269261866,0.04529447046852432,1.0,0.2543805052771978,0.004284975625109489,0.018180347539878097,1.0,0.07280787199977676
higher_noise,40,10,-0.013628298894834457,0.0429529367930145,0.9,0.22439365148822157,0.015920041557069452,0.030157316384766875,0.8,0.08124930777897008
higher_noise,50,10,0.014087997609327945,0.04745726055798794,1.0,0.1914354452344769,0.008987835990638574,0.016677672545560737,0.9,0.06919635724986686
higher_noise,60,10,-0.02598242592135421,0.05229339876413794,0.8,0.1734677400457239,0.0030553447102224358,0.021075584358442,0.9,0.05890874783488087
higher_noise,80,10,-0.014811902098405577,0.03806639999443032,0.9,0.15585008864204314,0.0043292699948421914,0.012487349317229762,1.0,0.06165455821209607
moderate_expected,20,10,-0.020669232415681256,0.13915874849659626,0.6,0.27929228719161675,0.006962286714422579,0.037457224958426405,0.8,0.10853884158447187
moderate_expected,30,10,0.006068651621011419,0.0757090083017526,0.8,0.2501954624845929,0.007769320933720021,0.032715799357890575,0.8,0.10097693056374671
moderate_expected,40,10,0.013867251918388359,0.05331820954097253,1.0,0.22769616148776742,0.01364625927041994,0.025260363968931457,1.0,0.10324853984773992
moderate_expected,50,10,0.00653454046778029,0.044629416689687645,1.0,0.1937803600541779,0.0076197293125325905,0.021424900509835032,1.0,0.09756110419865563
moderate_expected,60,10,0.018460794866744977,0.034837323680355345,1.0,0.1804490062086538,0.00943557663898149,0.020739623006480867,1.0,0.09656636951162674
moderate_expected,80,10,-0.02385038780615166,0.04196775164825363,0.9,0.15314642264977024,0.026447466061167713,0.03862804462767835,1.0,0.11180048793037774
smaller_effects_harder,20,10,0.013621121129665228,0.0798570784298581,0.9,0.3210126038954848,0.00789048220725619,0.029290664089157793,1.0,0.1127798100899899
smaller_effects_harder,30,10,0.00708091125040187,0.09173816275959489,0.8,0.2535100435379329,0.01704025055975388,0.031114735950970338,1.0,0.11210151624226054
smaller_effects_harder,40,10,-0.019165016338633767,0.053469563917657024,1.0,0.21874042348869152,0.019427116498232668,0.03435013600336727,0.9,0.11090765710741683
smaller_effects_harder,50,10,0.0009470825208212519,0.06250988318969296,0.8,0.19246134475014998,0.0033789399185471204,0.027374988276529375,0.9,0.0880941942499427
smaller_effects_harder,60,10,0.017111735821451438,0.04547009411566154,0.9,0.18607818099433948,0.007677445198271511,0.018724735086334588,1.0,0.09283025852331518
smaller_effects_harder,80,10,0.01505450527179363,0.05112320094295119,0.9,0.15670541606439153,0.0074975275940979014,0.028174763074057176,0.9,0.08837061195430207
