parameter,true_value,posterior_mean,posterior_sd,hdi_3%,hdi_97%,bias,absolute_error,squared_error,covered,sign_recovered,hdi_width,scenario,n_participants,replication
episode[EDR-2],-1.4,-0.9466786739053852,0.992888389454498,-2.766763363998149,0.9170789780034104,0.4533213260946148,0.4533213260946148,0.2055002246921801,True,True,3.68384234200156,moderate_expected,20,1
episode[FM-1],2.0,1.171177651520851,1.0201987977724551,-0.6980098208046559,3.119381039739634,-0.828822348479149,0.828822348479149,0.686946485338492,True,True,3.8173908605442897,moderate_expected,20,1
group[group_02],1.2,7.244993796828453,4.846814468247834,-2.784238261533924,14.985794942342778,6.044993796828453,6.044993796828453,36.54195000369448,True,True,17.7700332038767,moderate_expected,20,1
z_RMS,2.2,1.4782345349144868,0.919239303739892,-0.1238393899416403,3.371064427189846,-0.7217654650855134,0.7217654650855134,0.5209453865901075,True,True,3.494903817131486,moderate_expected,20,1
z_CF,-1.7,-2.8079387889116747,1.0286530545081016,-4.745525472076854,-0.8889551547270562,-1.1079387889116747,1.1079387889116747,1.2275283599750686,True,True,3.8565703173497976,moderate_expected,20,1
z_SW,1.9,-0.1033816601182159,1.0203733700756656,-2.0211729588288745,1.876503631678966,-2.003381660118216,2.003381660118216,4.013538076098018,False,False,3.897676590507841,moderate_expected,20,1
episode[EDR-2],-1.4,-0.3039463350426749,0.9738145110074884,-2.070028635427136,1.5610315134537012,1.0960536649573251,1.0960536649573251,1.2013336364663845,True,True,3.631060148880837,moderate_expected,20,2
episode[FM-1],2.0,1.3562873873052588,0.9492442055373956,-0.5116125607896465,3.0090604661541605,-0.6437126126947412,0.6437126126947412,0.4143659277422899,True,True,3.5206730269438067,moderate_expected,20,2
group[group_02],1.2,3.021828147170993,5.11535517750332,-8.176225152046099,11.08190030469518,1.821828147170993,1.821828147170993,3.319057797824493,True,True,19.25812545674128,moderate_expected,20,2
z_RMS,2.2,2.5087574925384324,1.174556621330261,0.4221398198494483,4.886182346933509,0.3087574925384322,0.3087574925384322,0.09533118919862,True,True,4.464042527084061,moderate_expected,20,2
z_CF,-1.7,-1.9682582257540973,1.2944424301305109,-4.231622787887879,0.4403444529543596,-0.2682582257540973,0.2682582257540973,0.0719624756847362,True,True,4.671967240842239,moderate_expected,20,2
z_SW,1.9,2.0795794538908066,1.199147832979261,-0.0593272639873438,4.464321069093521,0.1795794538908066,0.1795794538908066,0.0322487802597203,True,True,4.523648333080865,moderate_expected,20,2
episode[EDR-2],-1.4,-2.5548635733690213,0.969581287546642,-4.526151488928773,-0.9313217189225448,-1.1548635733690211,1.1548635733690211,1.333709873094665,True,True,3.594829770006228,moderate_expected,20,3
episode[FM-1],2.0,0.5337597271841561,0.9601236948034528,-1.2921842999167923,2.264263977550605,-1.466240272815844,1.466240272815844,2.1498605376270805,True,True,3.556448277467398,moderate_expected,20,3
group[group_02],1.2,-0.991015976671174,4.548830760222984,-8.381909394958383,8.100964253051854,-2.191015976671174,2.191015976671174,4.800551010028338,True,False,16.482873648010237,moderate_expected,20,3
z_RMS,2.2,3.832741840189259,0.5790644459326529,2.716673013525454,4.932696844937524,1.6327418401892588,1.6327418401892588,2.665845916704608,False,True,2.216023831412069,moderate_expected,20,3
z_CF,-1.7,-1.7863450080257064,0.6714186362689455,-3.1023797273723925,-0.5508999998829975,-0.0863450080257064,0.0863450080257064,0.0074554604109593,True,True,2.551479727489395,moderate_expected,20,3
z_SW,1.9,2.00055931812892,0.5880456233219774,1.002806060007079,3.2423400004045497,0.1005593181289201,0.1005593181289201,0.0101121764625533,True,True,2.239533940397471,moderate_expected,20,3
episode[EDR-2],-1.4,0.1292461755170695,0.921150105945748,-1.4850466609446966,1.912770353926516,1.5292461755170694,1.5292461755170694,2.338593865333584,True,False,3.397817014871213,moderate_expected,20,4
episode[FM-1],2.0,4.42225632641996,0.950214560460828,2.802793941983274,6.323416472522427,2.4222563264199595,2.4222563264199595,5.867325710881517,False,True,3.5206225305391534,moderate_expected,20,4
group[group_02],1.2,3.5454469051348974,4.921862761466,-5.360170832264515,13.55282927773691,2.3454469051348976,2.3454469051348976,5.50112118480687,True,True,18.913000110001427,moderate_expected,20,4
z_RMS,2.2,3.301209433918102,0.6052713192487567,2.2513215156120694,4.496471130346055,1.1012094339181018,1.1012094339181018,1.2126622173502262,False,True,2.245149614733986,moderate_expected,20,4
z_CF,-1.7,-0.8771364187116242,0.5815691449682459,-1.947536009432696,0.2425980513583117,0.8228635812883758,0.8228635812883758,0.6771044734107314,True,True,2.190134060791008,moderate_expected,20,4
z_SW,1.9,1.4746128893942778,0.5891889949543451,0.4228442137141237,2.655541227491848,-0.4253871106057221,0.4253871106057221,0.1809541938694848,True,True,2.232697013777724,moderate_expected,20,4
episode[EDR-2],-1.4,-0.9387802938826584,0.9145528443285164,-2.624045328416289,0.8429707084562859,0.4612197061173414,0.4612197061173414,0.2127236173109667,True,True,3.4670160368725758,moderate_expected,20,5
episode[FM-1],2.0,1.6606507868974472,0.9514517308785232,-0.0076438591380034,3.5137852205659805,-0.3393492131025528,0.3393492131025528,0.1151578884333218,True,True,3.521429079703984,moderate_expected,20,5
group[group_02],1.2,-5.560245661130982,4.100141472349644,-12.625833269188377,2.8774849852109137,-6.760245661130982,6.760245661130982,45.70092139884027,True,False,15.50331825439929,moderate_expected,20,5
z_RMS,2.2,1.7035580496882852,0.8063455346490244,0.038172304228863,3.17594148608763,-0.496441950311715,0.496441950311715,0.2464546100292993,True,True,3.1377691818587667,moderate_expected,20,5
z_CF,-1.7,-2.038993935454926,0.819177484879922,-3.402025752809636,-0.3920738895714279,-0.338993935454926,0.338993935454926,0.1149168882752185,True,True,3.009951863238208,moderate_expected,20,5
z_SW,1.9,2.392626357162636,0.7439156862260718,1.1505131203976582,3.982868030604307,0.4926263571626359,0.4926263571626359,0.2426807277713289,True,True,2.8323549102066488,moderate_expected,20,5
episode[EDR-2],-1.4,-1.8147280687353209,0.9850511673040256,-3.5527950639056654,0.1095180570254392,-0.414728068735321,0.414728068735321,0.1719993709969291,True,True,3.662313120931104,moderate_expected,20,6
episode[FM-1],2.0,1.5977535698780891,0.9169403503996272,-0.0266063055198584,3.379513476593722,-0.4022464301219108,0.4022464301219108,0.1618021905458213,True,True,3.4061197821135805,moderate_expected,20,6
group[group_02],1.2,1.0716726249303823,3.963701014629705,-5.935236711524141,8.5173889429762,-0.1283273750696176,0.1283273750696176,0.0164679151922583,True,True,14.45262565450034,moderate_expected,20,6
z_RMS,2.2,1.1721064659692635,1.0699270985296236,-1.010735577063061,3.088630279034273,-1.027893534030737,1.027893534030737,1.0565651173021973,True,True,4.099365856097334,moderate_expected,20,6
z_CF,-1.7,-2.2872642048777703,1.212661518945138,-4.551072917264983,0.0397301970748031,-0.5872642048777703,0.5872642048777703,0.3448792463307197,True,True,4.590803114339786,moderate_expected,20,6
z_SW,1.9,3.1405659274462687,1.1797526205031434,1.1085827505754442,5.486358575809396,1.2405659274462688,1.2405659274462688,1.539003820340621,True,True,4.377775825233952,moderate_expected,20,6
episode[EDR-2],-1.4,-1.5785534445083436,0.8926237038241066,-3.388756019896689,-0.0734620088270028,-0.1785534445083436,0.1785534445083436,0.0318813325457941,True,True,3.3152940110696867,moderate_expected,20,7
episode[FM-1],2.0,3.910502834571544,0.8881515421535495,2.432198347537341,5.748708794532988,1.910502834571544,1.910502834571544,3.650021080905903,False,True,3.3165104469956463,moderate_expected,20,7
group[group_02],1.2,4.751489991323533,3.802180707981886,-2.253607251340401,11.79797219912469,3.5514899913235327,3.5514899913235327,12.613081158471228,True,True,14.051579450465091,moderate_expected,20,7
z_RMS,2.2,2.510315631499137,1.0499841281143956,0.3241643739698312,4.337851891959931,0.3103156314991366,0.3103156314991366,0.0962957911527079,True,True,4.0136875179901,moderate_expected,20,7
z_CF,-1.7,-1.6280056893151766,1.1851403018147015,-3.4956520861492946,0.9220448365273644,0.0719943106848233,0.0719943106848233,0.0051831807709828,True,True,4.417696922676659,moderate_expected,20,7
z_SW,1.9,0.872836867117334,1.0863943730239738,-1.176146872265711,2.8109300502272383,-1.027163132882666,1.027163132882666,1.0550641015533335,True,True,3.987076922492949,moderate_expected,20,7
episode[EDR-2],-1.4,0.2512515769799701,1.017964602311091,-1.4920439259466445,2.282506374513551,1.65125157697997,1.65125157697997,2.726631770478838,True,False,3.774550300460196,moderate_expected,20,8
episode[FM-1],2.0,3.247139179717811,0.9996999470116704,1.2441416846352231,4.98917792891165,1.247139179717811,1.247139179717811,1.5553561335872146,True,True,3.7450362442764265,moderate_expected,20,8
group[group_02],1.2,4.019472610730849,2.603792664860483,-0.8125465307894855,8.809127900757435,2.819472610730849,2.819472610730849,7.94942580266143,True,True,9.62167443154692,moderate_expected,20,8
