scenario,n_participants,n_completed,operational_success_mean,operational_success_sd,operational_success_se,operational_success_p10,operational_success_p90,strong_convergence_mean,strong_convergence_sd,strong_convergence_se,strong_convergence_p10,strong_convergence_p90,feature_coefficient_rmse_mean,feature_coefficient_rmse_sd,feature_coefficient_rmse_se,feature_coefficient_rmse_p10,feature_coefficient_rmse_p90,feature_coefficient_mae_mean,feature_coefficient_mae_sd,feature_coefficient_mae_se,feature_coefficient_mae_p10,feature_coefficient_mae_p90,feature_hdi_coverage_mean,feature_hdi_coverage_sd,feature_hdi_coverage_se,feature_hdi_coverage_p10,feature_hdi_coverage_p90,feature_sign_recovery_mean,feature_sign_recovery_sd,feature_sign_recovery_se,feature_sign_recovery_p10,feature_sign_recovery_p90,mean_fixed_posterior_sd_mean,mean_fixed_posterior_sd_sd,mean_fixed_posterior_sd_se,mean_fixed_posterior_sd_p10,mean_fixed_posterior_sd_p90,mean_feature_hdi_width_mean,mean_feature_hdi_width_sd,mean_feature_hdi_width_se,mean_feature_hdi_width_p10,mean_feature_hdi_width_p90,participant_icc_bias_mean,participant_icc_bias_sd,participant_icc_bias_se,participant_icc_bias_p10,participant_icc_bias_p90,participant_icc_squared_error_mean,participant_icc_squared_error_sd,participant_icc_squared_error_se,participant_icc_squared_error_p10,participant_icc_squared_error_p90,participant_icc_covered_mean,participant_icc_covered_sd,participant_icc_covered_se,participant_icc_covered_p10,participant_icc_covered_p90,participant_icc_hdi_width_mean,participant_icc_hdi_width_sd,participant_icc_hdi_width_se,participant_icc_hdi_width_p10,participant_icc_hdi_width_p90,stimulus_icc_bias_mean,stimulus_icc_bias_sd,stimulus_icc_bias_se,stimulus_icc_bias_p10,stimulus_icc_bias_p90,stimulus_icc_squared_error_mean,stimulus_icc_squared_error_sd,stimulus_icc_squared_error_se,stimulus_icc_squared_error_p10,stimulus_icc_squared_error_p90,stimulus_icc_covered_mean,stimulus_icc_covered_sd,stimulus_icc_covered_se,stimulus_icc_covered_p10,stimulus_icc_covered_p90,stimulus_icc_hdi_width_mean,stimulus_icc_hdi_width_sd,stimulus_icc_hdi_width_se,stimulus_icc_hdi_width_p10,stimulus_icc_hdi_width_p90,cell_mean_rmse_mean,cell_mean_rmse_sd,cell_mean_rmse_se,cell_mean_rmse_p10,cell_mean_rmse_p90,cell_mean_hdi_coverage_mean,cell_mean_hdi_coverage_sd,cell_mean_hdi_coverage_se,cell_mean_hdi_coverage_p10,cell_mean_hdi_coverage_p90,mean_cell_hdi_width_mean,mean_cell_hdi_width_sd,mean_cell_hdi_width_se,mean_cell_hdi_width_p10,mean_cell_hdi_width_p90,winner_accuracy_mean,winner_accuracy_sd,winner_accuracy_se,winner_accuracy_p10,winner_accuracy_p90,posterior_probability_true_winner_mean,posterior_probability_true_winner_sd,posterior_probability_true_winner_se,posterior_probability_true_winner_p10,posterior_probability_true_winner_p90,true_winner_probability_gt_0_50_mean,true_winner_probability_gt_0_50_sd,true_winner_probability_gt_0_50_se,true_winner_probability_gt_0_50_p10,true_winner_probability_gt_0_50_p90,draw_level_tie_rate_mean,draw_level_tie_rate_sd,draw_level_tie_rate_se,draw_level_tie_rate_p10,draw_level_tie_rate_p90,final_probability_tie_rate_mean,final_probability_tie_rate_sd,final_probability_tie_rate_se,final_probability_tie_rate_p10,final_probability_tie_rate_p90,runtime_seconds_mean,runtime_seconds_sd,runtime_seconds_se,runtime_seconds_p10,runtime_seconds_p90,participant_icc_rmse,stimulus_icc_rmse
higher_noise,20,10,0.9,0.31622776601683794,0.09999999999999999,0.9,1.0,0.2,0.42163702135578396,0.13333333333333333,0.0,1.0,0.8190241429938043,0.28749530032326986,0.09091399656156753,0.5275732807196382,1.0857171500314575,0.7196860822761015,0.24489360974598248,0.07744215912177137,0.4641070211725608,1.0381512455723632,0.9666666666666666,0.10540925533894599,0.03333333333333333,0.9666666666666667,1.0,0.9666666666666666,0.10540925533894599,0.03333333333333333,0.9666666666666667,1.0,1.815026306213488,0.18237517579755835,0.05767209441938996,1.6626370658330374,2.0541447146090808,3.689081972452147,0.5441587531938221,0.17207810688099023,3.0098980397258286,4.138305095909362,0.025778806028268497,0.08254749843406166,0.026103811020081743,-0.07037126094636897,0.12958560929932256,0.006797227388192316,0.010051486062947845,0.0031785589828353784,0.0001427868122707855,0.017061645139192814,1.0,0.0,0.0,1.0,1.0,0.3143432240972385,0.01878264290301524,0.005939593205112525,0.2966495521569463,0.3355289201214842,0.005479197516738778,0.017288089280874212,0.005466973851990494,-0.01586991977365802,0.022804279516804558,0.00029901183331253623,0.00032756724638713293,0.00010358585854529016,3.1012516406346574e-06,0.0005364748472954998,1.0,0.0,0.0,1.0,1.0,0.07975032213525203,0.025866278136848088,0.008179635350385647,0.05029567594420446,0.1074138323940091,3.739790001633078,1.3692191806377616,0.4329851226804846,2.7792510241391573,4.78543353630608,0.95,0.07370277311900889,0.023306863292670035,0.8583333333333334,1.0,15.477063076128832,1.9504682553985664,0.6167922190914479,13.278092145666601,17.179789726807954,0.675,0.20581815058714115,0.06508541396588878,0.475,0.7749999999999999,0.5812916666666667,0.19457938924793733,0.06153140557479595,0.32309375,0.7513020833333333,0.575,0.3129163892586431,0.09895285072531597,0.225,0.7749999999999999,0.00010416666666666,0.00013888888888888333,4.3920523057892395e-05,0.0,0.0003125,0.0,0.0,0.0,0.0,0.0,7.969430340034887,1.1068778855136416,0.3500255209894202,7.1162264901446175,9.281144040031357,0.08244529936989929,0.01729195863147192
higher_noise,30,10,0.7,0.48304589153964794,0.15275252316519466,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7822998383117137,0.42988746229564084,0.13594235184039816,0.2676492142388231,1.3505880819432408,0.7111131129551455,0.43005041069953065,0.13599388065013623,0.22147444289480545,1.3315545888013853,0.9666666666666666,0.10540925533894599,0.03333333333333333,0.9666666666666667,1.0,1.0,0.0,0.0,1.0,1.0,1.5048797045624798,0.16572685981989085,0.05240743464982974,1.2527390180474418,1.68162941327224,3.3853257323032198,0.67018014264997,0.21192956933904575,2.4401845079617464,3.990054494115505,-0.00777992269261866,0.047034997111145685,0.014873772061066024,-0.04011855241598789,0.038120504021018776,0.0020515890550240217,0.0031603510031446213,0.0009993907375534963,3.063596346490795e-05,0.007955753976817241,1.0,0.0,0.0,1.0,1.0,0.2543805052771978,0.011475786379794038,0.0036289622901687245,0.2405326911030836,0.2672784765139269,0.004284975625109489,0.018623880147183716,0.005889388013509245,-0.01828190311710749,0.026004983474658586,0.00033052503667075153,0.00039813276773476746,0.0001259006357188661,1.5404270128600065e-05,0.0006875426947426597,1.0,0.0,0.0,1.0,1.0,0.07280787199977676,0.023949397771859778,0.007573464554843853,0.04038970721630148,0.09864767360842619,3.1911379748479813,1.5080521131203004,0.47688795076900437,2.003844404376561,3.9386722002243197,0.9083333333333334,0.16296822382080697,0.051535077350585816,0.8416666666666667,1.0,11.913613091826022,1.1387381634147178,0.36010062549475313,10.672438619076361,12.923553690192389,0.65,0.21081851067789198,0.06666666666666667,0.475,0.7749999999999999,0.621109375,0.16078852074992148,0.050845794717899656,0.41489062499999996,0.8261250000000001,0.6,0.17480147469502527,0.055277079839256664,0.475,0.75,9.375e-05,0.00015095184110614,4.773516348912334e-05,0.0,0.0003125,0.0,0.0,0.0,0.0,0.0,8.390989869995973,1.2051678704494486,0.3811075433474991,7.176018580049276,9.988502580020576,0.04529447046852432,0.018180347539878097
higher_noise,40,10,0.7,0.48304589153964794,0.15275252316519466,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9811282226227673,0.391365157213054,0.12376052936231262,0.48054724867088827,1.3947308354478718,0.7923786341007301,0.28939281037445214,0.0915140419260474,0.42934978616152913,1.0740828091150105,0.8999999999999998,0.16101529717988267,0.05091750772173156,0.6666666666666666,1.0,0.9333333333333332,0.1405456737852613,0.044444444444444446,0.6666666666666666,1.0,1.4492734924582067,0.1583148358332275,0.050063546862863975,1.2905823089620516,1.6645751360701933,3.6653642964206092,0.7876477609931056,0.24907609186701407,3.0232810897704776,4.904479765387812,-0.013628298894834457,0.042936959582596496,0.01357785880835975,-0.05941683034079578,0.026177590710052958,0.0018449547791446988,0.003400992393917121,0.0010754882269686688,6.026039224158073e-05,0.0037662344157765467,0.9,0.31622776601683794,0.09999999999999999,0.9,1.0,0.22439365148822157,0.013670224147705978,0.004322904443178494,0.20551905617355892,0.23836744480134422,0.015920041557069452,0.026998271721478888,0.008537603152798837,-0.0026832986014555596,0.06283042957656519,0.0009094637315309285,0.0016490372481630746,0.000521471365065163,7.192353709770403e-07,0.003947882369658076,0.8,0.42163702135578396,0.13333333333333333,0.0,1.0,0.08124930777897008,0.032035800694621606,0.010130609686220855,0.06128839255456647,0.12995496845671078,2.823042196752035,0.9341218686328643,0.2953952717052448,1.8136861575690575,3.959940457789049,0.9216666666666665,0.08608422519347254,0.02722222222222222,0.8083333333333333,1.0,10.63786011554858,0.8036121718645368,0.2541244818526617,9.530169690119335,11.644495306810525,0.8,0.15811388300841897,0.049999999999999996,0.725,1.0,0.74428125,0.11234007247496566,0.035525050152928055,0.6149375000000001,0.86515625,0.8,0.15811388300841897,0.049999999999999996,0.725,1.0,0.00025,0.0003227486121839514,0.00010206207261596574,0.0,0.000625,0.0,0.0,0.0,0.0,0.0,9.876408870052547,4.113117325760805,1.30068190329049,7.289692639978602,12.199727850174527,0.0429529367930145,0.030157316384766875
higher_noise,50,10,0.9,0.31622776601683794,0.09999999999999999,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.7593610683399854,0.3394190447591753,0.10733372626776312,0.46820361076985545,1.161951810464035,0.6445345163562625,0.2472681280797334,0.07819304774981944,0.46143958691075315,0.9934132523516108,0.9666666666666666,0.10540925533894599,0.03333333333333333,0.9666666666666667,1.0,0.9666666666666666,0.10540925533894599,0.03333333333333333,0.9666666666666667,1.0,1.363500232693234,0.1366608076478693,0.04321594190454251,1.2354959861182593,1.5434143837291834,3.4395716944853474,0.5459686324168533,0.17265044094444967,3.0286252959642583,4.029217910621563,0.014087997609327945,0.047769352134656475,0.015105995509614084,-0.038629073675243056,0.06414889171609685,0.002252191579668758,0.002763452390777909,0.000873880376029588,0.0001142593021024135,0.0045871576152504675,1.0,0.0,0.0,1.0,1.0,0.1914354452344769,0.0075254086018166026,0.00237974315051636,0.18435381283076482,0.19984466238176324,0.008987835990638574,0.014808539793808626,0.004682871456967547,-0.003673837549473367,0.027350714614236212,0.0002781447615369503,0.00029834263264980065,9.43442242304286e-05,3.3528512320557727e-06,0.0007481806888267573,0.9,0.31622776601683794,0.09999999999999999,0.9,1.0,0.06919635724986686,0.01967943899780709,0.006223185030741176,0.05019580347246035,0.09270781380036265,2.363500126756597,0.9782512856535716,0.30935021866532847,1.4872427312763157,3.611341153034802,0.9316666666666666,0.11095822815393966,0.03508807261030695,0.83,1.0,9.831852599593487,0.7460355297290021,0.2359171489353906,9.045676127310271,10.239625322028036,0.875,0.13176156917368248,0.041666666666666664,0.75,1.0,0.754984375,0.10863992698271219,0.03435496140997547,0.6717031249999998,0.8612812500000002,0.85,0.17480147469502527,0.055277079839256664,0.725,1.0,9.375e-05,0.00015095184110614,4.773516348912334e-05,0.0,0.0003125,0.0,0.0,0.0,0.0,0.0,8.92310353992507,0.8996577084062597,0.28449674730913926,7.976023739902303,9.87549582994543,0.04745726055798794,0.016677672545560737
higher_noise,60,10,0.3,0.4830458915396479,0.15275252316519464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7275340729978672,0.33699475904072657,0.10656709981083155,0.36392492007923577,1.029136377719585,0.6411466256850679,0.3145263852254588,0.09946197615319821,0.26250022527167355,0.9569308173136779,0.8666666666666666,0.23306863292670035,0.07370277311900889,0.6333333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.164452027264793,0.17146257408514531,0.05422122675844207,1.0525112271859773,1.394969931720286,3.0541561685009175,0.8188384159242641,0.2589394429964964,2.361962141627047,3.9945465505495354,-0.02598242592135421,0.04783667929698675,0.01512728622775004,-0.08741936665495502,0.018555482634775917,0.0027345995543051433,0.003280845702627648,0.001037494507187884,8.87596652733039e-06,0.0076430962957280205,0.8,0.42163702135578396,0.13333333333333333,0.0,1.0,0.1734677400457239,0.01676391249044383,0.005301214596554818,0.1589630534634898,0.1946712281566487,0.0030553447102224358,0.021980929227944666,0.00695098014472716,-0.018429792162906217,0.03371255286697939,0.00044418025604980513,0.0005989584568143712,0.0001894072947353013,1.453793246272944e-06,0.0011456424560469195,0.9,0.31622776601683794,0.09999999999999999,0.9,1.0,0.05890874783488087,0.026050443827296925,0.008237873655253232,0.031505584079730545,0.09368070140443607,2.276831844413306,0.7511734323451245,0.23754189640169904,1.3878757574942107,2.8034892782214724,0.9233333333333332,0.10219806477837262,0.03231786571610886,0.8466666666666667,1.0,8.298494328820766,0.555108350463136,0.17554067356424943,7.753804865988662,9.015617709493236,0.825,0.1687371394276382,0.053359368645273735,0.725,1.0,0.788796875,0.1342010350406791,0.04243809350806133,0.6703125,0.942125,0.825,0.1687371394276382,0.053359368645273735,0.725,1.0,0.0001875,0.0002635231383473649,8.333333333333332e-05,0.0,0.000625,0.0,0.0,0.0,0.0,0.0,12.39043226998765,4.121113495808727,1.303210514281435,8.682383409910836,16.853162919939493,0.05229339876413794,0.021075584358442
higher_noise,80,10,0.4,0.5163977794943223,0.16329931618554522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7918502332071616,0.3848592407580291,0.12170317793584791,0.35510300496611064,1.094873112908379,0.6825209497247929,0.34839792182573964,0.11017309650386259,0.29966669999238277,1.0224074610134728,0.9,0.22498285257018433,0.07114582486036498,0.6333333333333333,1.0,0.9666666666666666,0.10540925533894599,0.03333333333333333,0.9666666666666667,1.0,1.1291154916461583,0.10433042695501846,0.03299217784356838,1.0175974087324848,1.2539529517739458,3.1383307031968197,0.5332880973038634,0.1686405036537708,2.613389129674373,3.767911056462903,-0.014811902098405577,0.03696332062949871,0.011688828307230476,-0.0645755959339754,0.02294620715647036,0.0014490508085359644,0.0017161493776848,0.0005426940838564509,1.9576801708079477e-05,0.004171572993606008,0.9,0.31622776601683794,0.09999999999999999,0.9,1.0,0.15585008864204314,0.00939335381939305,0.002970439293712396,0.14419608935282813,0.1644442035882056,0.0043292699948421914,0.012346448624887044,0.0039042898668896903,-0.007457578666536772,0.018890067534206984,0.00015593389297051857,0.00016889514203770065,5.340933345767861e-05,3.8107264046630335e-06,0.0003576554690489975,1.0,0.0,0.0,1.0,1.0,0.06165455821209607,0.01682979320531477,0.005322047907842048,0.0453962305500913,0.08192058746791686,2.1647642433275704,0.6830573651279928,0.2160017046357727,1.4328502017138822,3.0681629758241633,0.885,0.14346892811104897,0.04536885862938733,0.6783333333333333,1.0,7.377340996437051,0.4428726884105516,0.14004864088593988,6.922025913354732,8.031139971970852,0.85,0.24152294576982394,0.07637626158259732,0.7,1.0,0.773828125,0.13254743258868015,0.041915178498785746,0.649453125,0.9195312499999999,0.825,0.23717082451262844,0.075,0.7,1.0,0.000125,0.00030190368221227995,9.547032697824665e-05,0.0,0.0003749999999999998,0.0,0.0,0.0,0.0,0.0,13.330206519993954,5.2301470380002,1.6539177137663852,9.931691179890185,17.780703029944558,0.03806639999443032,0.012487349317229762
moderate_expected,20,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7177888313372283,0.3356396173315638,0.10613856637550677,0.37209965133251455,1.0296107127929806,0.6346967702456917,0.3117003377489817,0.09856830147305434,0.3112575245144521,0.9844866303769462,0.9,0.1610152971798827,0.050917507721731564,0.6666666666666666,1.0,0.9666666666666666,0.10540925533894599,0.03333333333333333,0.9666666666666667,1.0,1.4829107941621291,0.17205603448810422,0.05440889541588922,1.3584917309913522,1.6526677872112376,3.3812406088370537,0.8042839946682373,0.2543369308770351,2.3243772727664376,4.3757053754015605,-0.020669232415681256,0.14505914546405438,0.045871729510409444,-0.18432175628847292,0.1436750885971083,0.01936515728313893,0.020350412129229743,0.006435365365148283,0.00035993210045155,0.03459773437349502,0.6,0.5163977794943222,0.1632993161855452,0.0,1.0,0.27929228719161675,0.042722962517800944,0.013510186994625294,0.22889946871574707,0.32148698517237195,0.006962286714422579,0.03879533570607534,0.01226816234220547,-0.04065334297524875,0.0551952795664115,0.001403043701586162,0.0017304377030619028,0.0005472124490705738,6.770813614480884e-05,0.003087359805537039,0.8,0.42163702135578396,0.13333333333333333,0.0,1.0,0.10853884158447187,0.05061042971923689,0.01600442312726646,0.04323640845900667,0.17824735576720505,2.6600093614217606,0.7321061711830423,0.2315122990003542,1.6170110483148696,3.5188065845848544,0.9499999999999998,0.06431020501550123,0.020336672464136802,0.89,1.0,11.592620338605741,2.138332200345113,0.6762000147170046,9.457828181435056,13.772968000625577,0.75,0.2041241452319315,0.06454972243679027,0.5,1.0,0.6618593749999999,0.12961183054317796,0.04098685962202212,0.4736875,0.7699531249999998,0.675,0.23717082451262844,0.075,0.475,1.0,0.0001875,0.0002185018433687816,6.909634979907083e-05,0.0,0.00034374999999999987,0.0,0.0,0.0,0.0,0.0,8.104331469954923,1.72046556210389,0.5440589812130164,6.782811730145477,10.519905999931506,0.13915874849659626,0.037457224958426405
moderate_expected,30,10,0.8,0.4216370213557839,0.13333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7594526468493983,0.4190346836334323,0.13251040188897273,0.3211626634600833,1.1896928499005246,0.697925707066718,0.40396352203052677,0.12774448212400716,0.2728208603162151,1.0653529342321086,0.9666666666666666,0.10540925533894599,0.03333333333333333,0.9666666666666667,1.0,1.0,0.0,0.0,1.0,1.0,1.338389329195015,0.13981098622850635,0.044212115839651456,1.162257131993576,1.4863008519905085,3.3278695876104543,0.6452580830594417,0.20404852211019447,2.7553971177406793,3.9136968367133207,0.006068651621011419,0.07954750785633065,0.025155130701614303,-0.08054258263528145,0.07254518117020597,0.005731853938034845,0.008147208653957927,0.0025763735919141642,0.0004665508744298252,0.013325272273123426,0.8,0.42163702135578396,0.13333333333333333,0.0,1.0,0.2501954624845929,0.01840017413182819,0.0058186459600288384,0.22433745661717047,0.2677092902096875,0.007769320933720021,0.033498941606077574,0.010593295468018417,-0.0224049054165613,0.03134004623127084,0.0010703235276257534,0.00220205615793968,0.0006963512994688862,4.4222105981114446e-05,0.002127035607951378,0.8,0.42163702135578396,0.13333333333333333,0.0,1.0,0.10097693056374671,0.03889922462469964,0.012301014902855938,0.0678569613179732,0.13633869438600354,3.195150691394878,1.0150610525701818,0.32099048902496863,2.166102428655241,4.278706428143713,0.8566666666666667,0.13904435743076138,0.043969686527576386,0.7616666666666667,1.0,9.986801638220438,1.2727877012695732,0.4024908113861836,9.016174649215138,10.986954693003613,0.75,0.16666666666666666,0.05270462766947298,0.5,1.0,0.686,0.15923627540937405,0.0503549316415483,0.479140625,0.8586875000000002,0.725,0.18446619684315543,0.05833333333333332,0.5,1.0,0.00015625,0.0002209708691207961,6.987712429686842e-05,0.0,0.00034374999999999987,0.0,0.0,0.0,0.0,0.0,8.496042989916168,1.2063231366697744,0.38147287060350743,7.597085579880513,9.001079659885725,0.0757090083017526,0.032715799357890575
moderate_expected,40,10,0.8,0.42163702135578396,0.13333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8543976237788845,0.1931917321498985,0.06109258987068572,0.620060263735677,1.0265792569318761,0.7451444557660089,0.1823671170029553,0.05766954600477585,0.5296859142351491,0.9172953094088822,0.9666666666666666,0.10540925533894599,0.03333333333333333,0.9666666666666667,1.0,1.0,0.0,0.0,1.0,1.0,1.2953927924700113,0.16270517065647908,0.051451892636086745,1.1192049591696307,1.4189365991994751,3.5199689018966103,0.6378888891794718,0.20171817839218667,2.566647352831346,4.225176607679234,0.013867251918388359,0.05426816943954299,0.017161101987689914,-0.04854743862448771,0.06574494314824623,0.002842831468655054,0.003106736374303952,0.0009824363032493895,0.0007381264700797042,0.004493575779121938,1.0,0.0,0.0,1.0,1.0,0.22769616148776742,0.01765743771246266,0.0055837720813935315,0.2132478943301095,0.25487845671983994,0.01364625927041994,0.022406982933586287,0.0070857101562654045,-0.02107961179944761,0.03643996038698674,0.0006380859878428906,0.0005055793221648318,0.00015987821959249197,0.00019547077797432057,0.0013284011232023,1.0,0.0,0.0,1.0,1.0,0.10324853984773992,0.027126250904808448,0.008578073724039804,0.06338220282694564,0.12989375696594843,2.0613983771666122,0.6149298272397296,0.19445788552513976,1.3697629170850756,2.800715305247438,0.9416666666666668,0.05400617248673214,0.01707825127659932,0.8666666666666667,1.0,8.701716286337739,0.9159941659464236,0.2896627887816942,7.763096257833266,9.917621804024986,0.825,0.20581815058714115,0.06508541396588878,0.5,1.0,0.77821875,0.13487504263849595,0.04265123342499733,0.60834375,0.9548124999999998,0.775,0.18446619684315546,0.05833333333333333,0.5,1.0,0.00015625,0.00022097086912079613,6.987712429686843e-05,0.0,0.00034374999999999987,0.0,0.0,0.0,0.0,0.0,8.525720299989917,1.1309152211990139,0.35762679395420227,7.608205309975892,10.409696470107884,0.05331820954097253,0.025260363968931457
moderate_expected,50,10,0.7,0.48304589153964794,0.15275252316519466,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7371992699329815,0.31447199652803354,0.09944477693691485,0.4520182739391514,1.1016754240596631,0.6654707495453582,0.29535221975029047,0.09339857263974854,0.31255725593473266,0.9884603866473399,0.9333333333333332,0.1405456737852613,0.044444444444444446,0.6666666666666666,1.0,1.0,0.0,0.0,1.0,1.0,1.1777281032868776,0.11301926400670251,0.035739829373706754,1.0534640393319739,1.2947317076111422,3.3523248780852755,0.5077382012176995,0.16056091709248085,2.5215085773202297,3.7539432968115762,0.00653454046778029,0.04653654018244104,0.014716146140046142,-0.04054166944566398,0.0761885258734902,0.00199178483406177,0.0021728911328262233,0.0006871285087314328,0.00019037506687053,0.00580477527115089,1.0,0.0,0.0,1.0,1.0,0.1937803600541779,0.006998040253641376,0.002212974635904918,0.1887812585050891,0.2036408538291757,0.0076197293125325905,0.021107294343691657,0.0066747125369654514,-0.01963609563167946,0.024364133589361268,0.0004590263618563295,0.000363301952231953,0.00011488616474386647,0.00013173496040058956,0.0008041557450961398,1.0,0.0,0.0,1.0,1.0,0.09756110419865563,0.028701958273917583,0.009076356145269455,0.058258848511880665,0.1198562736746415,1.7067335143120588,0.45578739186675515,0.14413262870866506,1.2899068291927396,2.074094105808085,0.9683333333333334,0.05635535401295893,0.017821127702606045,0.9366666666666666,1.0,7.723579137586556,0.389256385537222,0.1230936772062247,7.399682011616525,8.223484750489746,0.85,0.21081851067789198,0.06666666666666667,0.5,1.0,0.7491927083333334,0.122686797696972,0.038796971955473186,0.594140625,0.839828125,0.825,0.20581815058714115,0.06508541396588878,0.5,1.0,0.00045833333333332,0.0003615115301339009,0.00011431998356357225,0.0,0.0006874999999999997,0.0,0.0,0.0,0.0,0.0,8.828887039981783,1.254207296600118,0.396615171525873,7.955037419986911,9.819573260005564,0.044629416689687645,0.021424900509835032
