song_id,song_title,group,episode,stimulus_id,mix_id,original_mix_name,true_expected_rating,posterior_mean_expected_rating,posterior_sd_expected_rating,hdi_3%,hdi_97%,absolute_error,squared_error,covered,hdi_width,scenario,n_participants,replication
lead_me,Lead Me,group_01,EDR-1,lead_me_du_d,mix_f1f7973e5bac,DU-D,72.42933085336777,69.68344813399344,3.3974928939020663,63.787224784541145,75.85424040634773,2.745882719374336,7.539871908558599,True,12.067015621806584,moderate_expected,20,1
lead_me,Lead Me,group_01,EDR-2,lead_me_du_d,mix_f1f7973e5bac,DU-D,71.02933085336777,68.73676946008806,3.422240067901888,61.898846132270485,74.56583464765191,2.292561393279712,5.255837741956614,True,12.666988515381426,moderate_expected,20,1
lead_me,Lead Me,group_01,FM-1,lead_me_du_d,mix_f1f7973e5bac,DU-D,74.42933085336777,70.85462578551429,3.4130824113500524,64.37903935333023,76.46773484061592,3.574705067853486,12.778516322137396,True,12.08869548728569,moderate_expected,20,1
lead_me,Lead Me,group_01,EDR-1,lead_me_du_e,mix_271852ba8676,DU-E,70.7372885310232,65.6062310684768,3.4977468448880904,58.95100693378711,71.96837262351619,5.131057462546394,26.32775068395304,True,13.017365689729075,moderate_expected,20,1
lead_me,Lead Me,group_01,EDR-2,lead_me_du_e,mix_271852ba8676,DU-E,69.33728853102319,64.65955239457142,3.4853625600070064,58.39680597095171,71.4432894767423,4.67773613645177,21.881215362266733,True,13.046483505790585,moderate_expected,20,1
lead_me,Lead Me,group_01,FM-1,lead_me_du_e,mix_271852ba8676,DU-E,72.7372885310232,66.77740871999765,3.4448961388149604,60.369335545671376,73.25426429824824,5.959879811025544,35.52016736186988,True,12.884928752576869,moderate_expected,20,1
lead_me,Lead Me,group_01,EDR-1,lead_me_pxl_l1,mix_d5b28dfc8a93,PXL-L1,67.32409434433063,65.88712857750468,3.3265441155672257,59.76671256780743,71.85711941188863,1.4369657668259492,2.0648706150296885,True,12.0904068440812,moderate_expected,20,1
lead_me,Lead Me,group_01,EDR-2,lead_me_pxl_l1,mix_d5b28dfc8a93,PXL-L1,65.92409434433063,64.9404499035993,3.3147066521306496,58.77903736894048,71.03487115751952,0.9836444407313252,0.9675563857816416,True,12.25583378857904,moderate_expected,20,1
lead_me,Lead Me,group_01,FM-1,lead_me_pxl_l1,mix_d5b28dfc8a93,PXL-L1,69.32409434433063,67.05830622902553,3.295741560832539,60.84726786999333,73.2830766610947,2.2657881153050994,5.133795783457835,True,12.435808791101373,moderate_expected,20,1
lead_me,Lead Me,group_01,EDR-1,lead_me_pxl_l4,mix_c7d9a071ba25,PXL-L4,58.82210808455184,59.07793711879811,3.368446256573655,52.49024478111632,65.3045095526802,0.2558290342462754,0.0654484947633819,True,12.814264771563884,moderate_expected,20,1
lead_me,Lead Me,group_01,EDR-2,lead_me_pxl_l4,mix_c7d9a071ba25,PXL-L4,57.42210808455183,58.13125844489273,3.3705600106870603,51.89190049835917,64.58401478087741,0.7091503603408995,0.5028942335716277,True,12.69211428251824,moderate_expected,20,1
lead_me,Lead Me,group_01,FM-1,lead_me_pxl_l4,mix_c7d9a071ba25,PXL-L4,60.82210808455184,60.24911477031896,3.3743478048245805,54.31147295171017,66.95427771195112,0.5729933142328818,0.328321338155582,True,12.64280476024095,moderate_expected,20,1
lead_me,Lead Me,group_01,EDR-1,lead_me_mcg_pro2,mix_d3e3580b6e30,McG-pro2,69.48621699897541,64.92794846232371,3.4295676464262423,58.44857386742697,71.08082197241201,4.558268536651696,20.77781205222879,True,12.632248104985038,moderate_expected,20,1
lead_me,Lead Me,group_01,EDR-2,lead_me_mcg_pro2,mix_d3e3580b6e30,McG-pro2,68.0862169989754,63.98126978841832,3.441103322528525,57.25943418127098,70.28401576362494,4.104947210557079,16.85059160146034,True,13.024581582353951,moderate_expected,20,1
lead_me,Lead Me,group_01,FM-1,lead_me_mcg_pro2,mix_d3e3580b6e30,McG-pro2,71.48621699897541,66.09912611384456,3.428559261981336,59.22239573898311,71.84643231117893,5.387090885130846,29.02074820465984,True,12.62403657219582,moderate_expected,20,1
id_like_to_know,I'd Like To Know,group_01,EDR-1,id_like_to_know_pxl_s3,mix_65f41f41d3ab,PXL-S3,71.10488524385973,65.31484363215344,3.3956920511730084,59.40242860490497,71.97817134826018,5.790041611706286,33.52458186529033,True,12.575742743355208,moderate_expected,20,1
id_like_to_know,I'd Like To Know,group_01,EDR-2,id_like_to_know_pxl_s3,mix_65f41f41d3ab,PXL-S3,69.70488524385972,64.36816495824807,3.392726301436199,57.8267086742067,69.99877390093164,5.336720285611648,28.480583406858862,True,12.17206522672494,moderate_expected,20,1
id_like_to_know,I'd Like To Know,group_01,FM-1,id_like_to_know_pxl_s3,mix_65f41f41d3ab,PXL-S3,73.10488524385973,66.4860212836743,3.3932898622002283,60.34764347375971,72.60657436430841,6.618863960185422,43.80936012344145,False,12.258930890548704,moderate_expected,20,1
id_like_to_know,I'd Like To Know,group_01,EDR-1,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,PXL-S5,72.38638421215857,65.93744070271009,3.380435857292796,58.98397566905714,71.30057557868128,6.448943509448483,41.58887238805772,False,12.316599909624138,moderate_expected,20,1
