baseline_model,participant_id,group,n_trials,n_unique_winner_trials,n_tied_human_trials,strict_unique_winner_accuracy,tie_compatible_accuracy,top2_hit_rate,mean_spearman,mean_ndcg,mae,rmse,mean_predicted_winner_probability,mean_observed_winner_probability_mass,mean_entropy,mean_top2_margin,mean_expected_draws_outside_0_100_prop,predicted_exact_tie_count
categorical_design,P001,group_01,6,6,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.8872216682493749,17.81053902665085,20.14997400332084,0.7901666666666668,0.13033333333333333,0.6177025293092769,0.6270000000000001,0.0,0
categorical_design,P002,group_01,6,6,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.2333333333333333,0.9097436983595023,20.065573875619638,23.204812258218563,0.7925000000000001,0.33066666666666666,0.6244679840775845,0.64,0.0,0
categorical_design,P003,group_01,6,6,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.8776143845010932,24.938036081151488,28.170353539143107,0.7756666666666666,0.26733333333333337,0.6317148265294187,0.5951666666666666,0.0,0
categorical_design,P004,group_01,6,6,0,0.3333333333333333,0.3333333333333333,0.5,0.20678021598280927,0.8284148290584108,28.72798451396172,32.1347423638652,0.7741666666666666,0.26933333333333337,0.6313753622001171,0.5930000000000001,9.999999999999999e-05,0
categorical_design,P005,group_02,6,6,0,0.0,0.0,0.0,-0.26666666666666666,0.8887095258906933,21.837722580824458,26.093374810875385,0.8155,0.0036666666666666666,0.40639981565738825,0.6389999999999999,0.0001333333333333333,0
categorical_design,P006,group_01,6,6,0,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.45,0.9315720608296921,20.023620935825015,23.550956956983843,0.8045,0.18683333333333332,0.5947164358866811,0.6603333333333333,0.0,0
categorical_design,P007,group_02,6,6,0,0.5,0.5,0.5,0.6940480156078057,0.9284573389741114,24.324213585025458,27.79733692191977,0.7968333333333334,0.4123333333333334,0.4361072767886052,0.6041666666666666,0.00023333333333333333,0
categorical_design,P008,group_01,6,6,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3833333333333333,0.9162454058876737,19.115056964526573,23.411544676033458,0.7896666666666667,0.31616666666666665,0.6257058270723522,0.6273333333333334,0.0,0
categorical_design,P009,group_02,6,6,0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.7166666666666665,0.9601668050469033,21.792927500976123,24.540262784771375,0.7958333333333334,0.4833333333333334,0.43459320340726354,0.6016666666666667,0.0,0
categorical_design,P010,group_01,6,4,2,0.0,0.16666666666666666,0.16666666666666666,-0.21181848464596076,0.9420037222542429,17.74137803008188,20.002414743242774,0.8063333333333335,0.1718333333333333,0.581598372189071,0.655,0.010566666666666667,0
