metric,categorical_design,primary_acoustic,primary_acoustic_minus_categorical_design
strict_unique_winner_accuracy,0.3021978021978022,0.3021978021978022,0.0
tie_compatible_accuracy,0.3434343434343434,0.3434343434343434,0.0
top2_hit_rate,0.5959595959595959,0.6161616161616161,0.02020202020202022
mean_spearman,0.355458914561066,0.36369433566170767,0.008235421100641682
mean_ndcg,0.9167306461139716,0.9180051483534446,0.0012745022394730077
mae,22.97650004451442,23.001028394865997,0.02452835035157719
rmse,27.59352702530551,27.591188212475792,-0.0023388128297163746
mean_predicted_winner_probability,0.798681818181818,0.8171616161616162,0.01847979797979815
mean_observed_winner_probability_mass,0.32247474747474747,0.32429797979797986,0.0018232323232323933
mean_entropy,0.521292770577261,0.47398066850516823,-0.04731210207209274
mean_top2_margin,0.6267020202020203,0.65089898989899,0.024196969696969717
