artist,song,mix_id,institution,source_path,reference_mix_id,decoder_backend,original_sample_rate,decoded_channels,original_duration_seconds,estimated_lag_seconds,refined_lag_seconds,alignment_score,second_best_score,confidence_margin,alignment_confidence,aligned_start_seconds,aligned_end_seconds,usable_overlap_seconds,retained_for_excerpt_selection,exclusion_reason,notes
Filthybird,I'd Like To Know,mix_b393d3919c78,PXL,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\IdLikeToKnow\PXL-S7.mp3,mix_65f41f41d3ab,soundfile,48000,2,52.144250,-0.000454,-0.000454,0.860029,0.459137,0.400891,0.895021,0.000454,52.144704,52.144250,true,,
The Districts,Vermont,mix_94dea4d9516e,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\Vermont\DU-O2.mp3,mix_0ae655011992,soundfile,48000,2,53.152208,0.014512,0.014512,0.935961,0.524934,0.411027,0.951971,-0.014512,53.137696,53.152208,true,,
The Districts,Vermont,mix_394fbfb78a5d,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\Vermont\DU-P2.mp3,mix_0ae655011992,soundfile,48000,2,53.152208,0.014512,0.014512,0.858521,0.429008,0.429513,0.893891,-0.014512,53.137696,53.152208,true,,
The Districts,Vermont,mix_0ae655011992,PXL,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\Vermont\PXL-L1.mp3,mix_0ae655011992,soundfile,48000,2,53.152250,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,-0.000000,53.152250,53.152250,true,,
The Districts,Vermont,mix_66c12fb63344,PXL,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\Vermont\PXL-L2.mp3,mix_0ae655011992,soundfile,48000,2,53.152250,-0.000454,-0.000454,0.907080,0.495944,0.411136,0.930310,0.000454,53.152704,53.152250,true,,
The Districts,Vermont,mix_de21d14989c8,PXL,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\Vermont\PXL-L3.mp3,mix_0ae655011992,soundfile,48000,2,53.152250,0.009524,0.009524,0.916348,0.443245,0.473104,0.937261,-0.009524,53.142726,53.152250,true,,
The Districts,Vermont,mix_9b6f253d1335,PXL,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\Vermont\PXL-L4.mp3,mix_0ae655011992,soundfile,48000,2,53.152250,-0.000454,-0.000454,0.913227,0.514207,0.399020,0.934920,0.000454,53.152704,53.152250,true,,
The Districts,Vermont,mix_bd4d7c6e0ea0,PXL,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\Vermont\PXL-L5.mp3,mix_0ae655011992,soundfile,48000,2,53.152250,-0.000454,-0.000454,0.940432,0.496637,0.443794,0.955324,0.000454,53.152704,53.152250,true,,
Torres,New Skin,mix_48521615c4db,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\NewSkin\DU-O.mp3,mix_221967d4097c,soundfile,48000,2,57.136500,-0.000454,-0.000454,0.930518,0.354744,0.575774,0.947889,0.000454,57.136954,57.136500,true,,
Torres,New Skin,mix_59ac406eef54,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\NewSkin\DU-P.mp3,mix_221967d4097c,soundfile,48000,2,57.136500,-0.000454,-0.000454,0.862745,0.340693,0.522052,0.897059,0.000454,57.136954,57.136500,true,,
Torres,New Skin,mix_221967d4097c,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\NewSkin\DU-Q.mp3,mix_221967d4097c,soundfile,48000,2,57.136500,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,-0.000000,57.136500,57.136500,true,,
Torres,New Skin,mix_42350ee2e7ab,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\NewSkin\DU-R.mp3,mix_221967d4097c,soundfile,48000,2,57.136500,-0.000454,-0.000454,0.734208,0.329860,0.404348,0.800656,0.000454,57.136954,57.136500,true,,
Torres,New Skin,mix_c512d63997c6,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\NewSkin\DU-S.mp3,mix_221967d4097c,soundfile,48000,2,57.136500,-0.010431,-0.010431,0.850188,0.344113,0.506075,0.887641,0.010431,57.146931,57.136500,true,,
Torres,New Skin,mix_c09620e345d0,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\NewSkin\DU-T.mp3,mix_221967d4097c,soundfile,48000,2,57.136500,-0.000454,-0.000454,0.782781,0.359668,0.423113,0.837086,0.000454,57.136954,57.136500,true,,
Torres,New Skin,mix_768a004d1c8d,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\NewSkin\DU-U.mp3,mix_221967d4097c,soundfile,48000,2,57.136500,-0.000454,-0.000454,0.903470,0.365398,0.538073,0.927603,0.000454,57.136954,57.136500,true,,
