artist,song,selection_status,institution_basis,role,valid_human_mix_count,notes
The DoneFors,Lead Me,approved,multi_institution,approved_song_1,37,Approved excerpt preserved: 9.573107-37.573107 seconds.
Fredy V,In The Meantime,approved,multi_institution,approved_song_2,36,Approved excerpt preserved: 35.300431-63.300431 seconds.
Broken Crank,Red To Blue,proposed,single_institution_fallback,revised_song_3,10,Selected under corrected priority favouring valid human mix count.
The DoneFors,Pouring Room,proposed,single_institution_fallback,revised_song_4,10,Selected under corrected priority favouring valid human mix count.
