original_path,final_path,filename,sha256_before,sha256_after,classification,action,reason,reference_count_before,validation_status,notes
outputs/stimulus_selection/excerpt_manual_review_checklist.csv,outputs/stimulus_selection/02_excerpt_selection/tables/excerpt_manual_review_checklist.csv,excerpt_manual_review_checklist.csv,1ba1aef5b3e3165cc6d9649b70f6e412c2c2a4d24443ace8fe6422994993d4fe,1ba1aef5b3e3165cc6d9649b70f6e412c2c2a4d24443ace8fe6422994993d4fe,02_excerpt_selection,moved,alignment/excerpt table,2,PASS,
outputs/stimulus_selection/excerpt_selection_report.md,outputs/stimulus_selection/02_excerpt_selection/reports/excerpt_selection_report.md,excerpt_selection_report.md,6f07715e5ee0610eae58fe0fb6c77a7ec793adc8c004499d0d828d810e23adac,6f07715e5ee0610eae58fe0fb6c77a7ec793adc8c004499d0d828d810e23adac,02_excerpt_selection,moved,alignment/excerpt report,7,PASS,
outputs/stimulus_selection/fallback_song_ranking.csv,outputs/stimulus_selection/01_dataset_and_song_selection/tables/fallback_song_ranking.csv,fallback_song_ranking.csv,bbfcbd6208fa528c4c8f48f298c5f435b894cf8ab080671d1ded41a6381d4733,bbfcbd6208fa528c4c8f48f298c5f435b894cf8ab080671d1ded41a6381d4733,01_dataset_and_song_selection,moved,dataset and song-selection table,0,PASS,
outputs/stimulus_selection/feature_extraction_report.md,outputs/stimulus_selection/03_feature_extraction/reports/feature_extraction_report.md,feature_extraction_report.md,d431c399fde07c104bf264ce997ae5e2381c2a2de5da7f927bbf293aa9389918,d431c399fde07c104bf264ce997ae5e2381c2a2de5da7f927bbf293aa9389918,03_feature_extraction,moved,feature extraction report,5,PASS,
outputs/stimulus_selection/feature_quality_checks.csv,outputs/stimulus_selection/03_feature_extraction/tables/feature_quality_checks.csv,feature_quality_checks.csv,6ce64f06982962c23bd6cc29c6abddac00deb6d86b69be9ff019b8cbde1cd2af,6ce64f06982962c23bd6cc29c6abddac00deb6d86b69be9ff019b8cbde1cd2af,03_feature_extraction,moved,feature extraction table,6,PASS,
outputs/stimulus_selection/feature_schema.json,outputs/stimulus_selection/03_feature_extraction/tables/feature_schema.json,feature_schema.json,734d71c22c007ebb3aa8606847466b7dee9f4257f7f821159141efa87c23b012,734d71c22c007ebb3aa8606847466b7dee9f4257f7f821159141efa87c23b012,03_feature_extraction,moved,feature extraction table,3,PASS,
outputs/stimulus_selection/feature_summary_by_song.csv,outputs/stimulus_selection/03_feature_extraction/tables/feature_summary_by_song.csv,feature_summary_by_song.csv,a503aff50784441bbd9cbc7cd888574b8b3283ed9bc33e8c0355f347ca8013f1,a503aff50784441bbd9cbc7cd888574b8b3283ed9bc33e8c0355f347ca8013f1,03_feature_extraction,moved,feature extraction table,3,PASS,
outputs/stimulus_selection/final_excerpt_decision.csv,outputs/stimulus_selection/02_excerpt_selection/tables/final_excerpt_decision.csv,final_excerpt_decision.csv,f9c305187bb45163a17c357a519a11673691e30cca23a87b71f7dff16c9fecbf,f9c305187bb45163a17c357a519a11673691e30cca23a87b71f7dff16c9fecbf,02_excerpt_selection,moved,alignment/excerpt table,3,PASS,
outputs/stimulus_selection/final_excerpt_decision.md,outputs/stimulus_selection/02_excerpt_selection/reports/final_excerpt_decision.md,final_excerpt_decision.md,a2ae9d7e9d3dc6d93b3eab8022721b52dc9b3cca251f2f9798b52cbad8c37bc3,a2ae9d7e9d3dc6d93b3eab8022721b52dc9b3cca251f2f9798b52cbad8c37bc3,02_excerpt_selection,moved,alignment/excerpt report,3,PASS,
outputs/stimulus_selection/final_mix_selection_report.md,outputs/stimulus_selection/04_mix_selection/reports/final_mix_selection_report.md,final_mix_selection_report.md,24ef158b2c6312205fbf20a2cf60afff5e58a48e18ccee250b49dbc449d60cf4,24ef158b2c6312205fbf20a2cf60afff5e58a48e18ccee250b49dbc449d60cf4,04_mix_selection,moved,computational mix-selection report,4,PASS,
