artist,song,original_mix_name,original_dataset_filename,mix_id,stereo_imbalance,absolute_stereo_imbalance,within_song_median_absolute_stereo_imbalance,within_song_robust_scale,robust_qc_score,qc_flag,qc_reason,review_required,review_priority
Dawn Langstroth,No Prize,McG-K,McG-K.mp3,mix_176dff701046,-0.0201637241989,0.0201637241989,0.0408569388092,0.0330437445021,-0.626236975321,false,,false,normal
Dawn Langstroth,No Prize,McG-M,McG-M.mp3,mix_22ae53b1c0f8,-0.00359229720198,0.00359229720198,0.0408569388092,0.0330437445021,-1.12773664634,false,,false,normal
Dawn Langstroth,No Prize,McG-P,McG-P.mp3,mix_331b5d620be9,-0.0664325803518,0.0664325803518,0.0408569388092,0.0330437445021,0.773993441964,false,,false,normal
Dawn Langstroth,No Prize,McG-I,McG-I.mp3,mix_58fa089225bc,-0.0408569388092,0.0408569388092,0.0408569388092,0.0330437445021,0,false,,false,normal
Dawn Langstroth,No Prize,McG-L,McG-L.mp3,mix_5df0d210127a,-0.0910623818636,0.0910623818636,0.0408569388092,0.0330437445021,1.51936300836,false,,false,normal
Dawn Langstroth,No Prize,McG-pro2,McG-pro2.mp3,mix_6cbe1fdaeb7b,0.01035876479,0.01035876479,0.0408569388092,0.0330437445021,-0.922963619248,false,,false,normal
Dawn Langstroth,No Prize,McG-N,McG-N.mp3,mix_76cfb2bccc8d,-0.0616512745619,0.0616512745619,0.0408569388092,0.0330437445021,0.629297195763,false,,false,normal
Dawn Langstroth,No Prize,McG-J,McG-J.mp3,mix_7df159240700,-0.0205911099911,0.0205911099911,0.0408569388092,0.0330437445021,-0.613303035822,false,,false,normal
Dawn Langstroth,No Prize,McG-O,McG-O.mp3,mix_f959e52ab387,-0.0631446391344,0.0631446391344,0.0408569388092,0.0330437445021,0.674490759477,false,,false,normal
Filthybird,I'd Like To Know,PXL-S3,PXL-S3.mp3,mix_65f41f41d3ab,-0.00842856336385,0.00842856336385,0.0537673681974,0.0335312637606,-1.35213528357,false,,false,normal
Filthybird,I'd Like To Know,PXL-S2,PXL-S2.mp3,mix_6f8b655d7999,0.0224525164813,0.0224525164813,0.0537673681974,0.0335312637606,-0.933900133907,false,,false,normal
Filthybird,I'd Like To Know,PXL-S5,PXL-S5.mp3,mix_82d60d7c7fc5,0.0736307501793,0.0736307501793,0.0537673681974,0.0335312637606,0.592383935294,false,,false,normal
Filthybird,I'd Like To Know,PXL-S1,PXL-S1.mp3,mix_9ffcd672af17,0.0607972890139,0.0607972890139,0.0537673681974,0.0335312637606,0.209652724893,false,,false,normal
Filthybird,I'd Like To Know,PXL-S6,PXL-S6.mp3,mix_ab8babdfa183,-0.0656843408942,0.0656843408942,0.0537673681974,0.0335312637606,0.355398853496,false,,false,normal
Filthybird,I'd Like To Know,PXL-S4,PXL-S4.mp3,mix_b05651ab273c,0.0135617638007,0.0135617638007,0.0537673681974,0.0335312637606,-1.1990482877,false,,false,normal
Filthybird,I'd Like To Know,PXL-S7,PXL-S7.mp3,mix_b393d3919c78,-0.0537673681974,0.0537673681974,0.0537673681974,0.0335312637606,0,false,,false,normal
The Districts,Vermont,PXL-L1,PXL-L1.mp3,mix_0ae655011992,0.0288572981954,0.0288572981954,0.0160412136465,0.02,0.640804227445,false,,false,normal
The Districts,Vermont,DU-P2,DU-P2.mp3,mix_394fbfb78a5d,-0.0160412136465,0.0160412136465,0.0160412136465,0.02,0,false,,false,normal
The Districts,Vermont,PXL-L2,PXL-L2.mp3,mix_66c12fb63344,-0.0202880613506,0.0202880613506,0.0160412136465,0.02,0.212342385205,false,,false,normal
The Districts,Vermont,DU-O2,DU-O2.mp3,mix_94dea4d9516e,-0.00799365527928,0.00799365527928,0.0160412136465,0.02,-0.402377918361,false,,false,normal
The Districts,Vermont,PXL-L4,PXL-L4.mp3,mix_9b6f253d1335,0.0153486188501,0.0153486188501,0.0160412136465,0.02,-0.03462973982,false,,false,normal
The Districts,Vermont,PXL-L5,PXL-L5.mp3,mix_bd4d7c6e0ea0,-0.0275270938873,0.0275270938873,0.0160412136465,0.02,0.57429401204,false,,false,normal
The Districts,Vermont,PXL-L3,PXL-L3.mp3,mix_de21d14989c8,0.00247370568104,0.00247370568104,0.0160412136465,0.02,-0.678375398273,false,,false,normal
Torres,New Skin,DU-Q,DU-Q.mp3,mix_221967d4097c,0.0601652488112,0.0601652488112,0.0601652488112,0.0752013405097,0,false,,false,normal
Torres,New Skin,DU-R,DU-R.mp3,mix_42350ee2e7ab,-0.0662170574069,0.0662170574069,0.0601652488112,0.0752013405097,0.0804747435974,false,,false,normal
Torres,New Skin,DU-O,DU-O.mp3,mix_48521615c4db,-0.00482537038624,0.00482537038624,0.0601652488112,0.0752013405097,-0.735889520717,false,,false,normal
Torres,New Skin,DU-P,DU-P.mp3,mix_59ac406eef54,-0.00944263953716,0.00944263953716,0.0601652488112,0.0752013405097,-0.674490759477,false,,false,normal
Torres,New Skin,DU-U,DU-U.mp3,mix_768a004d1c8d,0.200626522303,0.200626522303,0.0601652488112,0.0752013405097,1.86780278835,false,,false,normal
Torres,New Skin,DU-T,DU-T.mp3,mix_c09620e345d0,-0.0783838406205,0.0783838406205,0.0601652488112,0.0752013405097,0.242264189519,false,,false,normal
Torres,New Skin,DU-S,DU-S.mp3,mix_c512d63997c6,-0.00775506952778,0.00775506952778,0.0601652488112,0.0752013405097,-0.696931450001,false,,false,normal
