song,triplet_id,condition,minimum_acoustic_distance,mean_acoustic_distance,acoustic_score
Red To Blue,RedToBlue_SimilarRatings_00059,Similar Ratings,2.59969815564,2.74048811256,0.990141444634
Red To Blue,RedToBlue_SimilarRatings_00066,Similar Ratings,2.20895117647,2.6095128006,0.816401800379
Red To Blue,RedToBlue_SimilarRatings_00075,Similar Ratings,2.40210411945,2.56433410661,0.884061281355
Red To Blue,RedToBlue_SimilarRatings_00035,Similar Ratings,2.20895117647,2.38834564219,0.779736440508
Red To Blue,RedToBlue_SimilarRatings_00040,Similar Ratings,2.19547731062,2.40621465482,0.777456562842
Red To Blue,RedToBlue_SimilarRatings_00031,Similar Ratings,2.19547731062,2.5654681551,0.803857801345
Red To Blue,RedToBlue_SimilarRatings_00069,Similar Ratings,2.17469013793,2.69677620418,0.817538625108
Red To Blue,RedToBlue_SimilarRatings_00052,Similar Ratings,2.25877221386,2.79995537769,0.867357277936
Red To Blue,RedToBlue_SimilarRatings_00065,Similar Ratings,2.17469013793,2.32546138202,0.755981603363
Red To Blue,RedToBlue_SimilarRatings_00029,Similar Ratings,2.25877221386,2.5618877136,0.827890131729
Red To Blue,RedToBlue_WideRatings_00059,Wide Ratings,2.59969815564,2.74048811256,0.990141444634
Red To Blue,RedToBlue_WideRatings_00023,Wide Ratings,2.23642122835,2.47348397246,0.80453844179
Red To Blue,RedToBlue_WideRatings_00075,Wide Ratings,2.40210411945,2.56433410661,0.884061281355
Red To Blue,RedToBlue_WideRatings_00082,Wide Ratings,2.00224974868,2.31301259983,0.686827121692
Red To Blue,RedToBlue_WideRatings_00016,Wide Ratings,2.07673702912,2.59336515177,0.76228478263
Red To Blue,RedToBlue_WideRatings_00069,Wide Ratings,2.17469013793,2.69677620418,0.817538625108
Red To Blue,RedToBlue_WideRatings_00052,Wide Ratings,2.25877221386,2.79995537769,0.867357277936
Red To Blue,RedToBlue_WideRatings_00015,Wide Ratings,2.07673702912,2.1626161318,0.69087468746
Red To Blue,RedToBlue_WideRatings_00073,Wide Ratings,1.72551509663,2.39387696154,0.59256484553
Red To Blue,RedToBlue_WideRatings_00029,Wide Ratings,2.25877221386,2.5618877136,0.827890131729
