artist,song,mix_i_original_name,mix_j_original_name,mix_i_id,mix_j_id,combined_euclidean_distance,scalar_only_distance,bark_only_distance,rms_excluded_distance,combined_manhattan_distance,near_duplicate_flag
Broken Crank,Red To Blue,McG-D,McG-G,mix_8978729ff911,mix_b4b312ffa4d6,2.59274283166,0.803449482923,2.46511344963,2.6008236247,4.78812689797,0
Broken Crank,Red To Blue,McG-D,McG-F,mix_8978729ff911,mix_dcc6aef84d67,2.40210411945,1.88274691016,1.49176682929,2.49899513877,5.60746878145,0
Broken Crank,Red To Blue,McG-D,McG-A,mix_8978729ff911,mix_e2654ec905ad,1.4245096116,0.721349949709,1.22836553338,1.43269316256,3.24229655249,0
Broken Crank,Red To Blue,McG-D,McG-E,mix_8978729ff911,mix_f4f9bdec5b71,1.58546730451,0.318859494815,1.55307282386,1.58542482639,3.09787778078,0
Broken Crank,Red To Blue,McG-pro,McG-G,mix_906e7f7daf44,mix_b4b312ffa4d6,2.17469013793,0.809010402733,2.01860827411,2.1128096909,4.80564140704,0
Broken Crank,Red To Blue,McG-pro,McG-F,mix_906e7f7daf44,mix_dcc6aef84d67,3.21748310589,2.5235981343,1.99590831284,3.32433513638,6.81796061839,0
Broken Crank,Red To Blue,McG-pro,McG-A,mix_906e7f7daf44,mix_e2654ec905ad,1.62859994591,1.08358890416,1.21580132859,1.27910242963,3.25778612476,0
Broken Crank,Red To Blue,McG-pro,McG-E,mix_906e7f7daf44,mix_f4f9bdec5b71,1.72551509663,0.916289345634,1.46212728029,1.60739596796,3.61887840486,0
Broken Crank,Red To Blue,McG-G,McG-F,mix_b4b312ffa4d6,mix_dcc6aef84d67,2.69815536873,1.9315739314,1.88389610684,2.80523516898,6.20790435923,0
Broken Crank,Red To Blue,McG-G,McG-A,mix_b4b312ffa4d6,mix_e2654ec905ad,1.70079267594,0.51269836208,1.62167694565,1.64172188662,3.37392654198,0
Broken Crank,Red To Blue,McG-G,McG-E,mix_b4b312ffa4d6,mix_f4f9bdec5b71,2.00224974868,0.664701776548,1.88869680053,2.01620718137,4.51866243008,0
Broken Crank,Red To Blue,McG-F,McG-A,mix_dcc6aef84d67,mix_e2654ec905ad,2.31775532025,2.16122119445,0.837324711915,2.41299725702,4.76708231225,0
Broken Crank,Red To Blue,McG-F,McG-E,mix_dcc6aef84d67,mix_f4f9bdec5b71,2.23863268209,2.10350810091,0.765982998989,2.38433465127,4.65243898741,0
