artist,song,original_mix_name,original_dataset_filename,mix_id,stereo_imbalance,absolute_stereo_imbalance,within_song_median_absolute_stereo_imbalance,within_song_robust_scale,robust_qc_score,qc_flag,qc_reason,review_required,review_priority
Fredy V,In The Meantime,McG-H,McG-H.mp3,mix_96c30e75e4a7,-0.0227246899158,0.0227246899158,0.026425822638,0.0222289218885,-0.166500775016,false,,false,normal
Fredy V,In The Meantime,DU-I,DU-I.mp3,mix_9baa86357fd4,-0.0380811542273,0.0380811542273,0.026425822638,0.0222289218885,0.524331843343,false,,false,normal
Fredy V,In The Meantime,QUT-G,QUT-G.mp3,mix_a31f439e1e87,0.0138504179195,0.0138504179195,0.026425822638,0.0222289218885,-0.565722655448,false,,false,normal
Fredy V,In The Meantime,McG-G,McG-G.mp3,mix_c45aea9558f2,-0.0234036389738,0.0234036389738,0.026425822638,0.0222289218885,-0.135957275812,false,,false,normal
Fredy V,In The Meantime,QUT-B,QUT-B.mp3,mix_c7bdcba64775,0.000562923552934,0.000562923552934,0.026425822638,0.0222289218885,-1.16347968718,false,,false,normal
Fredy V,In The Meantime,QUT-pro,QUT-pro.mp3,mix_cdaef40f2b94,-0.0385963246226,0.0385963246226,0.026425822638,0.0222289218885,0.547507524011,false,,false,normal
Fredy V,In The Meantime,McG-F,McG-F.mp3,mix_ce153583405d,0.00027927046176,0.00027927046176,0.026425822638,0.0222289218885,-1.17624022917,false,,false,normal
Fredy V,In The Meantime,UCP-A3,UCP-A3.mp3,mix_d58db5dccea3,-0.0492231622338,0.0492231622338,0.026425822638,0.0222289218885,1.02557108753,false,,false,normal
Fredy V,In The Meantime,McG-D,McG-D.mp3,mix_da9f94cae537,-0.034795936197,0.034795936197,0.026425822638,0.0222289218885,0.376541588521,false,,false,normal
Fredy V,In The Meantime,UCP-A5,UCP-A5.mp3,mix_e858d5cf22ea,0.0180305745453,0.0180305745453,0.026425822638,0.0222289218885,-0.377672301645,false,,false,normal
Fredy V,In The Meantime,UCP-A4,UCP-A4.mp3,mix_efdedc0a36e7,-0.0182541050017,0.0182541050017,0.026425822638,0.0222289218885,-0.367616462791,false,,false,normal
Fredy V,In The Meantime,PXL-S6,PXL-S6.mp3,mix_f44b598b8cf8,0.0029649368953,0.0029649368953,0.026425822638,0.0222289218885,-1.05542166464,false,,false,normal
The DoneFors,Lead Me,UCP-A5,UCP-A5.mp3,mix_0255886c8875,0.073404096067,0.073404096067,0.0521329641342,0.0524336325008,0.405677251761,false,,false,normal
The DoneFors,Lead Me,UCP-A3,UCP-A3.mp3,mix_06852a8a8947,0.0055069187656,0.0055069187656,0.0521329641342,0.0524336325008,-0.889239275342,false,,false,normal
The DoneFors,Lead Me,DU-E,DU-E.mp3,mix_271852ba8676,0.0436125770211,0.0436125770211,0.0521329641342,0.0524336325008,-0.162498509196,false,,false,normal
The DoneFors,Lead Me,McG-E,McG-E.mp3,mix_28932c4bb152,-0.0120436698198,0.0120436698198,0.0521329641342,0.0524336325008,-0.764572134379,false,,false,normal
The DoneFors,Lead Me,QUT-E,QUT-E.mp3,mix_345e90b3c215,0.00736099667847,0.00736099667847,0.0521329641342,0.0524336325008,-0.853878804888,false,,false,normal
The DoneFors,Lead Me,DU-F,DU-F.mp3,mix_3a41a8db47bc,0.0728241205215,0.0728241205215,0.0521329641342,0.0524336325008,0.394616115658,false,,false,normal
The DoneFors,Lead Me,PXL-L3,PXL-L3.mp3,mix_3bc79ea82599,0.130332604051,0.130332604051,0.0521329641342,0.0524336325008,1.49140229633,false,,false,normal
The DoneFors,Lead Me,McG-D,McG-D.mp3,mix_4181778a6cfd,0.12736313045,0.12736313045,0.0521329641342,0.0524336325008,1.43476930221,false,,false,normal
The DoneFors,Lead Me,McG-H,McG-H.mp3,mix_427e3b105a59,0.0450452305377,0.0450452305377,0.0521329641342,0.0524336325008,-0.135175330383,false,,false,normal
The DoneFors,Lead Me,QUT-F,QUT-F.mp3,mix_4e2cf7c970a8,0.0952272340655,0.0952272340655,0.0521329641342,0.0524336325008,0.821882213303,false,,false,normal
The DoneFors,Lead Me,QUT-H,QUT-H.mp3,mix_542ca972e5f6,-0.102294452488,0.102294452488,0.0521329641342,0.0524336325008,0.956666283859,false,,false,normal
The DoneFors,Lead Me,McG-B,McG-B.mp3,mix_5aa762fa5def,-0.0219697598368,0.0219697598368,0.0521329641342,0.0524336325008,-0.575264441138,false,,false,normal
The DoneFors,Lead Me,UCP-A4,UCP-A4.mp3,mix_5d42d0f1628e,-0.0542847178876,0.0542847178876,0.0521329641342,0.0524336325008,0.0410376632473,false,,false,normal
The DoneFors,Lead Me,QUT-D,QUT-D.mp3,mix_5e09465de0ed,0.0888076350093,0.0888076350093,0.0521329641342,0.0524336325008,0.699449363431,false,,false,normal
The DoneFors,Lead Me,CNS-B,CNS-B.mp3,mix_7734100f29f3,0.0687446296215,0.0687446296215,0.0521329641342,0.0524336325008,0.316813173053,false,,false,normal
The DoneFors,Lead Me,McG-C,McG-C.mp3,mix_7b5a2d66116b,0.039342943579,0.039342943579,0.0521329641342,0.0524336325008,-0.243927798727,false,,false,normal
The DoneFors,Lead Me,DU-B,DU-B.mp3,mix_7cdfb2503e88,-0.0496885962784,0.0496885962784,0.0521329641342,0.0524336325008,-0.046618319945,false,,false,normal
The DoneFors,Lead Me,CNS-C,CNS-C.mp3,mix_824f6c7e53d0,0.148149594665,0.148149594665,0.0521329641342,0.0524336325008,1.83120310288,false,,false,normal
The DoneFors,Lead Me,CNS-A,CNS-A.mp3,mix_8617440e42f5,-0.112906612456,0.112906612456,0.0521329641342,0.0524336325008,1.15905851689,false,,false,normal
The DoneFors,Lead Me,QUT-A,QUT-A.mp3,mix_864280f1b98b,-0.0423912964761,0.0423912964761,0.0521329641342,0.0524336325008,-0.185790440095,false,,false,normal
The DoneFors,Lead Me,DU-A,DU-A.mp3,mix_8f1477339518,-0.0203399658203,0.0203399658203,0.0521329641342,0.0524336325008,-0.606347430028,false,,false,normal
The DoneFors,Lead Me,PXL-L2,PXL-L2.mp3,mix_92e2bdebe300,0.092840410769,0.092840410769,0.0521329641342,0.0524336325008,0.776361367566,false,,false,normal
The DoneFors,Lead Me,McG-A,McG-A.mp3,mix_9346b5d4ade2,-0.0248056594282,0.0248056594282,0.0521329641342,0.0524336325008,-0.521178934257,false,,false,normal
The DoneFors,Lead Me,DU-C,DU-C.mp3,mix_a321c1267965,0.0167669635266,0.0167669635266,0.0521329641342,0.0524336325008,-0.674490759477,false,,false,normal
The DoneFors,Lead Me,UCP-A2,UCP-A2.mp3,mix_a5df7e0b4222,0.0635225251317,0.0635225251317,0.0521329641342,0.0524336325008,0.217218614356,false,,false,normal
The DoneFors,Lead Me,CNS-5,CNS-5.mp3,mix_b5102e72a550,-0.0104535510764,0.0104535510764,0.0521329641342,0.0524336325008,-0.794898447235,false,,false,normal
