song,feature,count,mean,standard_deviation,minimum,percentile_25,median,percentile_75,maximum,iqr
Dawn Langstroth - No Prize,rms_left,9,0.110723488033,0.0415848096688,0.039384752512,0.0928680002689,0.115018993616,0.135323032737,0.16351903975,0.0424550324681
Dawn Langstroth - No Prize,rms_right,9,0.107315952165,0.0425176143729,0.0370270684361,0.0868904963136,0.112722702324,0.127031624317,0.163320794702,0.0401411280034
Dawn Langstroth - No Prize,rms_mean,9,0.109019719478,0.0420265402445,0.0382059104741,0.089879244566,0.113870844245,0.131177335978,0.162479221821,0.041298091412
Dawn Langstroth - No Prize,crest_factor_left,9,16.0199551052,1.87603392004,13.1853113174,14.8884067535,15.809668541,17.4752826691,18.3561058044,2.5868759156
Dawn Langstroth - No Prize,crest_factor_right,9,16.2128326628,1.86240653836,13.7411966324,14.6507434845,15.6493091583,17.8611412048,18.7417812347,3.2103977203
Dawn Langstroth - No Prize,crest_factor_mean,9,16.116394043,1.82736761629,13.6817169189,14.6995239258,15.6479530334,17.6682128906,18.5489425659,2.9686889648
Dawn Langstroth - No Prize,stereo_width,9,0.0623100250959,0.0401899407229,0.018613839522,0.0280233938247,0.0415331944823,0.0895322337747,0.129983052611,0.06150883995
Dawn Langstroth - No Prize,stereo_imbalance,9,-0.0396817979248,0.033432828348,-0.0910623818636,-0.0631446391344,-0.0408569388092,-0.0201637241989,0.01035876479,0.0429809149355
Filthybird - I'd Like To Know,rms_left,7,0.0582867860794,0.00318353195083,0.05479311198,0.0559769049286,0.056609429419,0.0609177164734,0.0628157183528,0.0049408115447
Filthybird - I'd Like To Know,rms_right,7,0.0586922088904,0.00407900532677,0.0530055426061,0.0559307839721,0.0595968663692,0.0613540057093,0.0636734738946,0.00542322173715
Filthybird - I'd Like To Know,rms_mean,7,0.0584894972188,0.00334133604138,0.0548074841499,0.0558123812079,0.0574779175222,0.0611358601599,0.0632445961237,0.005323478952
Filthybird - I'd Like To Know,crest_factor_left,7,15.7516216551,1.11798712048,14.3201150894,14.9930047989,15.8110942841,16.2184514999,17.7072296143,1.22544670105
Filthybird - I'd Like To Know,crest_factor_right,7,16.3561306,1.04438591997,15.2082977295,15.4482879638,16.3033218384,17.0890111924,17.9066963196,1.6407232285
Filthybird - I'd Like To Know,crest_factor_mean,7,16.0538759232,1.02422794951,14.7642059326,15.2206463814,16.2593574524,16.7137088776,17.4848575592,1.4930624962
Filthybird - I'd Like To Know,stereo_width,7,0.0665759039777,0.0390473994963,0.0243665315211,0.0485000349581,0.0540374852717,0.0718802139163,0.146866813302,0.0233801789582
Filthybird - I'd Like To Know,stereo_imbalance,7,0.00608029243139,0.0529519407368,-0.0656843408942,-0.0310979657806,0.0135617638007,0.0416249027476,0.0736307501793,0.0727228685282
The Districts - Vermont,rms_left,7,0.0545352500464,0.00206157989889,0.0503606162965,0.0541498418897,0.0547944270074,0.0559119619429,0.0564680993557,0.00176212005325
The Districts - Vermont,rms_right,7,0.0543640458158,0.00270572822552,0.0495591461658,0.0533172693103,0.054011747241,0.0564646422863,0.0574136041105,0.00314737297595
The Districts - Vermont,rms_mean,7,0.0544496481972,0.00233957060758,0.0499598830938,0.053909920156,0.054050359875,0.0563603155315,0.0565968230367,0.0024503953755
The Districts - Vermont,crest_factor_left,7,16.7493577685,2.19486921194,11.9639701843,16.8831386567,17.3421783447,17.9082145691,18.3566493988,1.02507591245
The Districts - Vermont,crest_factor_right,7,16.8097805296,1.91770500681,12.5755414963,16.9343824386,17.6591587067,17.8311748504,17.9026489258,0.8967924118
The Districts - Vermont,crest_factor_mean,7,16.7795693534,2.04612832002,12.2697563171,16.9087600708,17.5682487488,17.8359050751,18.129650116,0.9271450043
The Districts - Vermont,stereo_width,7,0.0683782781874,0.0279396322184,0.0502257682383,0.0541953258217,0.0560029521585,0.0679684262723,0.128091722727,0.0137731004506
The Districts - Vermont,stereo_imbalance,7,-0.00359577163388,0.0203080499444,-0.0275270938873,-0.0181646374986,-0.00799365527928,0.00891116226557,0.0288572981954,0.0270757997641
Torres - New Skin,rms_left,7,0.0557324827782,0.0036809405498,0.048307813704,0.0548506565392,0.0567676462233,0.0581297315657,0.0590911433101,0.0032790750265
Torres - New Skin,rms_right,7,0.0564796003912,0.00336749825028,0.0532619394362,0.0544600952417,0.0548825226724,0.0577662438155,0.0627600625157,0.00330614857375
Torres - New Skin,rms_mean,7,0.0561060410525,0.00238724795932,0.0537555962801,0.0546553749591,0.0554380081594,0.0566561650485,0.0609256029129,0.00200079008935
Torres - New Skin,crest_factor_left,7,17.2063391549,2.31075265385,13.6511116028,15.8997936249,17.011713028,18.7344799042,20.5130023956,2.8346862793
Torres - New Skin,crest_factor_right,7,17.0039900371,1.96088830211,14.7840385437,16.0443015099,16.4356784821,17.4088659287,20.9018783569,1.3645644188
Torres - New Skin,crest_factor_mean,7,17.1051643916,2.07823259049,14.2175750732,15.9832801819,16.7012290955,18.0716733933,20.7074394226,2.0883932114
Torres - New Skin,stereo_width,7,0.141876864646,0.0545324570342,0.0675235539675,0.109138477594,0.13639472425,0.170166976749,0.230608865619,0.0610284991558
Torres - New Skin,stereo_imbalance,7,0.0134525419479,0.0942561901841,-0.0783838406205,-0.037829848472,-0.00775506952778,0.0276699392125,0.200626522303,0.0654997876845
