artist,song,reference_mix_id,retained_mix_count,excluded_mix_count,common_aligned_start_seconds,common_aligned_end_seconds,common_overlap_seconds,target_excerpt_seconds,sufficient_overlap,minimum_alignment_confidence,notes
Broken Crank,Red To Blue,mix_5143d2ee3859,10,1,0.005442,65.152208,65.146766,28.000000,true,0.700000,reference selected near median duration/common sample rate: McG-C
The DoneFors,Pouring Room,mix_0ba76f420c1d,9,1,0.020408,52.144208,52.123800,28.000000,true,0.700000,reference selected near median duration/common sample rate: McG-R
